scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Scaling and power-laws in ecological systems,433,2005
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Predicting insect pest status under climate change scenarios: combining experimental data and population dynamics modelling,157,2009
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Biogeographic patterns of Chilean littoral fishes,125,2000
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Metabolic ecology: linking individuals to ecosystems,74,2004
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Priority areas for the conservation of coastal marine vertebrates in Chile,47,2005
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Scaling metabolic rate fluctuations,43,2007
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Response of the epibenthic macrofaunal community to a strong upwelling-driven hypoxic event in a shallow bay of the southern Humboldt Current System,38,2012
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Impacts of climate change on marine fisheries and aquaculture in Chile,36,2017
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Thermal constraints on daily patterns of aggregation and density along an intertidal gradient in the periwinkle Echinolittorina peruviana,32,2008
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",DNA barcoding of marine polychaetes species of southern Patagonian fjords,26,2011
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Evaluating habitat suitability for the establishment of Monochamus spp. through climate-based niche modeling,24,2014
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Dispersal and transient dynamics in metapopulations,24,2003
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change","Recovery of black-necked swans, macrophytes and water quality in a Ramsar wetland of southern Chile: Assessing resilience following sudden anthropogenic disturbances",23,2018
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Increased outbreak frequency associated with changes in the dynamic behaviour of populations of two aphid species,21,2012
QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile",@santotomas.cl,"Macroecology, Complexity Theory, Conservation Biology, Ecophysiology, Climate Change",Distribution and abundance: scaling patterns in exotic and native bird species,20,2005
