scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Improved luminosity determination in pp collisions at  using the ATLAS detector at the LHC,6426,2013
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Muon reconstruction performance of the ATLAS detector in proton–proton collision data at =13 TeV,5007,2016
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Performance of the ATLAS trigger system in 2015,4474,2017
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Performance of pile-up mitigation techniques for jets in  collisions at  TeV using the ATLAS detector,4411,2016
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Topological cell clustering in the ATLAS calorimeters and its performance in LHC Run 1,2341,2017
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Electron efficiency measurements with the ATLAS detector using 2012 LHC proton–proton collision data,2296,2017
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Search for the  decay of the Standard Model Higgs boson in associated  production with the ATLAS detector,1981,2014
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Combined Measurement of the Higgs Boson Mass in  Collisions at  and 8 TeV with the ATLAS and CMS Experiments,1976,2015
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Jet energy measurement and its systematic uncertainty in proton–proton collisions at  TeV with the ATLAS detector,1937,2015
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Measurements of Higgs boson production and couplings in diboson final states with the ATLAS detector at the LHC,1917,2013
8XKXZJUAAAAJ,Giovanna Cottin,Universidad Adolfo Ibañez,@uai.cl,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs",Jet energy scale measurements and their systematic uncertainties in proton-proton collisions at  TeV with the ATLAS detector,1909,2017
