scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Albiglutide and cardiovascular outcomes in patients with type 2 diabetes and cardiovascular disease (Harmony Outcomes): a double-blind, randomised placebo-controlled trial",1149,2018
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Harvest of Empire: A History of Latinos in America: Second Revised and Updated Edition,1122,2022
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Phase II trial of bicalutamide in patients with androgen receptor–positive, estrogen receptor–negative metastatic breast cancer",746,2013
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",A quantitative analysis of NSAID-induced small bowel pathology by capsule enteroscopy,596,2005
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Long-term angiographic and clinical outcome after percutaneous transluminal coronary angioplasty and intracoronary radiation therapy in humans,525,1997
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",R-ESHAP as salvage therapy for patients with relapsed or refractory diffuse large B-cell lymphoma: the influence of prior exposure to rituximab on outcome. A GEL/TAMO study.,215,2008
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Early diagnosis of pancreatic cancer: neutrophil gelatinase-associated lipocalin as a marker of pancreatic intraepithelial neoplasia,210,2008
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Pensar la música desde América Latina: Problemas e interrogantes: Problemas e Interrogantes,208,2013
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Historia social de la música popular en Chile, 1950-1970",156,2009
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Dialysis outcomes in Colombia (DOC) study: a comparison of patient survival on peritoneal dialysis vs hemodialysis in Colombia,156,2008
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Musicología popular en América Latina: síntesis de sus logros, problemas y desafíos",143,2001
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Ultimate bearing capacity of rock masses based on the modified Hoek–Brown criterion,122,2000
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Human sperm penetration into zona‐free hamster oocytes as a test to evaluate the sperm fertilizing ability,121,1979
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Evaluation of volatiles from ripening papaya (Carica papaya L., var. Maradol roja)",102,2004
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Broth medium for the successful culture of the fish pathogen Piscirickettsia salmonis,95,2012
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Patient preferences for biologic agents in rheumatoid arthritis: a discrete-choice experiment,90,2013
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Mineralogical and chemical modifications in soils affected by a forest fire in the Mediterranean area,90,1997
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Energy-efficient PEO process of aluminium alloys,88,2014
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Global characteristics and outcomes of SARS-CoV-2 infection in children and adolescents with cancer (GRCCC): a cohort study,87,2021
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Fertilizing capacity of human spermatozoa evaluated by actual penetration of foreign eggs,77,1978
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",The effects of age and reproductive status on serum and blood parameters in Merino breed sheep,71,1997
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Adjuvant radiochemotherapy in the treatment of completely resected, locally advanced gastric cancer",66,2001
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Ondansetron and droperidol in the prevention of postoperative nausea and vomiting.,65,1999
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Rickettsiosis, una enfermedad letal emergente y re-emergente en Colombia",63,2012
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Los estudios de música popular y la renovación de la musicología en América Latina:¿ La gallina o el huevo?,61,2008
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Outcome of BEAM‐autologous and BEAM‐alemtuzumab allogeneic transplantation in relapsed advanced stage follicular lymphoma,60,2008
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",En busca de la música chilena: Crónica y antología de una historia sonora,60,2005
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Correlation of arsenic and fluoride in the groundwater for human consumption in a semiarid region of Mexico,59,2017
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",A decision aid to support informed choices for patients recently diagnosed with prostate cancer: a randomized controlled trial,58,2015
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Des/encuentros de la música popular chilena 1970-1990,53,2017
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Mapping natural radioactivity of soils in the eastern Canary Islands,53,2017
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Comparing methodologies for the characterization of water drops emitted by an irrigation sprinkler,53,2009
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Searching for sustainable land use practices in Honduras: lessons from a program of participatory research with hillside farmers,53,1999
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Caracterización de las principales causas y agentes de la deforestación a nivel nacional período 2005-2015,52,2018
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Estado actual del estudio del síndrome de burnout en el deporte,52,2016
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad","Crystal structure of the ternary semiconductor compound thallium gallium sulfide, TlGaS2",51,2007
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Personalidad y burnout en jugadores profesionales de e-sports,50,2017
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Stroke prophylaxis in atrial fibrillation: searching for management improvement opportunities in the emergency department: the HERMES-AF study,50,2015
GB57rNQAAAAJ,Juan Pablo González,Universidad Alberto Hurtado SJ / P. Universidad Católica de Chile,@uahurtado.cl,"Musicología, Música popular latinoamericana, Música y sociedad",Reduction in catheter-related bloodstream infections in critically ill patients through a multiple system intervention,50,2010
