scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Safety and efficacy of the intravenous infusion of umbilical cord mesenchymal stem cells in patients with heart failure: a phase 1/2 randomized controlled trial (RIMECARD trial …,319,2017
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Expression of human cytokines dramatically improves reconstitution of specific human-blood lineage cells in humanized mice,279,2009
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Umbilical cord-derived mesenchymal stromal cells (MSCs) for knee osteoarthritis: repeated MSC dosing is superior to a single MSC dose and to hyaluronic acid in a controlled …,231,2019
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Current status of cell-based therapies for respiratory virus infections: applicability to COVID-19,222,2020
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Antimicrobial activity of mesenchymal stem cells: current status and new perspectives of antimicrobial peptide-based therapies,221,2017
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Efficient new cationic liposome formulation for systemic delivery of small interfering RNA silencing tumor necrosis factor α in experimental arthritis,214,2006
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Mesenchymal stem cell treatment for autoimmune diseases: a critical review,203,2012
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Mesenchymal stem cell-derived exosomes from different sources selectively promote neuritic outgrowth,202,2016
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Mesenchymal stem cells repress Th17 molecular program through the PD-1 pathway,189,2012
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Innate immune system and preeclampsia,147,2014
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Combination therapy of menstrual derived mesenchymal stem cells and antibiotics ameliorates survival in sepsis,139,2015
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,"Characterization of menstrual stem cells: angiogenic effect, migration and hematopoietic stem cell support in comparison with bone marrow mesenchymal stem cells",139,2015
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Efficient suppression of murine arthritis by combined anticytokine small interfering RNA lipoplexes,106,2008
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,"Artificial mitochondria transfer: current challenges, advances, and future applications",102,2017
z-hPEtoAAAAJ,Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",@uandes.cl,stem cells,Mitochondrial transfer from MSCs to T cells induces Treg differentiation and restricts inflammatory response,100,2020
