scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Dietary advanced glycation end products and their role in health and disease,325,2015
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Advanced glycation and endothelial functions: a link towards vascular complications in diabetes,209,2004
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Regulation of endothelial nitric oxide synthase expression by albumin-derived advanced glycosylation end products,201,2000
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Fueling inflammation at tumor microenvironment: the role of multiligand/RAGE axis,170,2010
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Is ozone pre-conditioning effect linked to Nrf2/EpRE activation pathway in vivo? A preliminary result,133,2014
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Chlorogenic acid inhibits human platelet activation and thrombus formation,98,2014
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",The receptor for advanced glycation end-products: a complex signaling scenario for a promiscuous receptor,90,2013
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Triggering of peritoneal macrophages with IFN-α/β attenuates the expression of inducible nitric oxide synthase through a decrease in NF-κB activation,89,1998
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Oxidative stress at the vascular wall. Mechanistic and pharmacological aspects,88,2006
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Effects of phycocyanin extract on tumor necrosis factor-α and nitrite levels in serum of mice treated with endotoxin,88,2001
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation","Is senna laxative use associated to cathartic colon, genotoxicity, or carcinogenicity?",86,2009
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Albumin-derived advanced glycation end-products trigger the disruption of the vascular endothelial cadherin complex in cultured human and murine endothelial cells,86,2001
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation","Nitric oxide, an iceberg in cardiovascular physiology:: Far beyond vessel tone control",82,2004
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",The immunobiology of the receptor of advanced glycation end-products: trends and challenges,71,2013
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",HMGB1 enhances the protumoral activities of M2 macrophages by a RAGE-dependent mechanism,67,2016
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Advanced Glycation and ROS: a link between diabetes and heart failure,59,2008
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Gastric tumor microenvironment,54,2020
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Diabetes and cancer: looking at the multiligand/RAGE axis,53,2011
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Role of nitric oxide pathway in the protection against lethal endotoxemia afforded by low doses of lipopolysaccharide,53,1993
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Effect of advanced glycosylation end products on the induction of nitric oxide synthase in murine macrophages,52,1996
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Extracellular matrix glycation and receptor for advanced glycation end-products activation: a missing piece in the puzzle of the association between diabetes and cancer,50,2018
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Activation of phospholipase D by interleukin-8 in human neutrophils,49,1994
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Chlorpromazine inhibits both the constitutive nitric oxide synthase and the induction of nitric oxide synthase after LPS challenge,44,1993
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Pathophysiology of the proatherothrombotic state in the metabolic syndrome,42,2010
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Differential Interleukin-8 Response of Intestinal Epithelial Cell Line to Reactogenic and Nonreactogenic Candidate Vaccine Strains of Vibrio cholerae,42,2001
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",SARS-CoV-2-mediated inflammatory response in lungs: should we look at RAGE?,41,2020
JGTUORMAAAAJ,Armando Rojas,"Profesor Titular, Universidad Católica del Maule",@ucm.cl,"Advanced glycation, Tumor microenvironment, Inflammation",Polyphenols and AGEs/RAGE axis. Trends and challenges,40,2020
