scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Derecho penal: parte general,4086,2000
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Las razones del derecho: teorías de la argumentación jurídica,1494,2017
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Derecho y argumentación,1093,2010
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Manual de derecho penal,946,1998
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Neoconstitucionalismo (s),943,2009
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Curso de argumentación jurídica,825,2013
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Estudios de teoría constitucional,698,2001
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),"Poder Judiciário: crise, acertos e desacertos",557,1995
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Estudios sobre la interpretación jurídica,439,2004
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Autonomías y emancipaciones: América Latina en movimiento,284,2007
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),El canon neoconstitucional,232,2010
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),El principio de proporcionalidad y la interpretación constitucional,199,2008
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Proceso de autonomía en Cherán: Movilizar el derecho,57,2012
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),"Surgimiento, evolución y expansión de la responsabilidad social empresarial: una propuesta de comprensión crítica",53,2008
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Los principios jurídicos según Manuel Atienza y Juan Ruiz Manero,43,1992
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Imperio de la ley y constitucionalismo Un diálogo entre Manuel Atienza y Francisco Laporta,23,2008
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),"La tutela judicial efectiva y su debido proceso de cara a la ley 50-88, sobre drogas y sustancias controlada.",0,2015
eCcV9LAAAAAJ,Alberto Rosario Matos,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",@alu.uct.cl,Derecho Público (Constitucional y Penal),Tutela judicial efectiva y debido proceso de cara a la ley 50-88 sobre drogas y sustacia controlada en el Distrito Judicial de Independencia año 2014,0,2014
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",UV radiation as a potential driving force for zooplankton community structure in Patagonian lakes,97,2006
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","The genus Artemia leach, 1819 (Crustacea: Branchiopoda). I. True and false taxonomical descriptions",80,2010
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Trophic status and conductivity as regulators of daphnids dominance and zooplankton assemblages in lakes and ponds of Torres del Paine National Park,55,2006
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Biodiversity of the hypersaline Urmia Lake national park (NW Iran),54,2014
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Biodiversity of the Hypersaline Urmia Lake National Park,54,
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Estudios limnológicos en lagos y lagunas del Parque Nacional Torres del Paine (51 S, Chile)",46,2009
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Efectos de una zona urbana sobre la comunidad de macroinvertebrados bentónicos de un ecosistema fluvial del sur de Chile,45,2010
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",A null model for explain crustacean zooplankton species associations in central and southern patagonian in land waters,45,2008
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Richness and distribution of zooplanktonic crustacean species in Chilean Andes mountains and southern Patagonia shallow ponds.,45,2005
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Título de la Publicación,43,2008
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Littoral crustaceans in mountain lakes of Huerquehue National Park (38 S, Araucania region, Chile)",42,2007
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Phylogeography of the wild Lager‐brewing ancestor (Saccharomyces eubayanus) in Patagonia,41,2018
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Crustacean (Copepoda and Cladocera) zooplankton richness in Chilean Patagonian lakes,41,2007
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Comparación biométrica del lóbulo frontal en poblaciones americanas de Artemia (Anostraca, Artemiidae)",39,2000
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Chilean crab (Aegla cholchol) as a new source of chitin and chitosan with antifungal properties against Candida spp,34,2020
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Amphipoda and decapoda as potential bioindicators of water quality in an urban stream (38 S, Temuco, Chile)",31,2010
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Fairy shrimp (Branchiopoda: Anostraca) of Chile camarón duende (Branchiopoda: Anostraca) en Chile,31,2008
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",A checklist of Branchiopoda (Anostraca and Cladocera) of Chilean continental waters,27,2015
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Zoogeography of Chilean inland water crustaceans,27,2013
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Ecological role of benthic crustaceans in Chilean North Patagonian lakes and rivers (Araucania region, 39 S)",26,2017
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Efectos de las disponibilidades de recursos energéticos, estructurales y de protección sobre la distribución y abundancia de copépodos y cladóceros zooplanctónicos lacustres …",23,2003
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Aquatic fauna in the driest desert on earth: First report on the crustacean fauna of the Loa River (Atacama Desert, Antofagasta Region, Chile)",22,2012
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Aquatic fauna in the driest desert on earth: first report on the crustacean fauna of the Loa river (Atacama desert, Antofagasta region, Chile)",22,2010
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",Distributional patterns of the South American species of Hyalella (Amphipoda: Hyalellidae),21,2012
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Crustacean species assemblages in mountain shallow ponds: Parque Cañi (38 S, Chile)",21,2010
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Effects of the availability of energetic and protective resources on the abundance of daphniids (Cladocera, Daphniidae) in Chilean Patagonian lakes (39-51 S)",21,2006
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",The Hyalella (Crustacea: Amphipoda) species cloud of the ancient Lake Titicaca originated from multiple colonizations,20,2018
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans","Ecology of benthic crustaceans in the Cautin river (38 S, Araucania region, Chile)",20,2017
jajFVW8AAAAJ,Patricio De los Rios-Escalante [or Patricio De los Ríos],"Profesor Asistente, Universidad Catolica de Temuco",@uct.cl,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans",A null model to explain zooplankton species associations in saline lakes of the South American Altiplano (14-27° S),20,2010
