scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Escherichia coli that Cause Diarrhea: Enterotoxigenic, Enteropathogenic, Enteroinvasive, Enterohemorrhagic, and Enteroadherent",1704,1987
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Patterns of adherence of diarrheagenic Escherichia coli to HEp-2 cells,773,1987
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Characterization of Enteroadherent-Aggregative Escherichia coli, a Putative Agent of Diarrheal Disease",432,1988
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Evaluation of a novel antigen-based rapid detection test for the diagnosis of SARS-CoV-2 in respiratory samples,396,2020
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Seroprevalence of Helicobacter pylori in Chile: Vegetables May Serve as One Route of Transmission,396,1993
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"A Sensitive and Specific DNA Probe to Identify Enteroaggregative Escherichia coli, a Recently Discovered Diarrheal Pathogen",395,1990
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Trace mineral balance during acute diarrhea in infants,254,1988
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Use of DNA probes and HEp-2 cell adherence assay to detect diarrheagenic Escherichia coli,218,1988
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Prospective evaluation of household contacts of persons with hantavirus cardiopulmonary syndrome in Chile,182,2007
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Human hantavirus infections: epidemiology, clinical features, pathogenesis and immunology",177,2014
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Studies with enteroaggregative Escherichia coli in the gnotobiotic piglet gastroenteritis model,154,1992
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,T84 cells in culture as a model for enteroaggregative Escherichia coli pathogenesis,153,1996
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Comparison of two assay methods for patterns of adherence to HEp-2 cells of Escherichia coli from patients with diarrhea,148,1990
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Diagnosis and treatment of new world hantavirus infections,138,2006
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Person-to-person household and nosocomial transmission of Andes hantavirus, Southern Chile, 2011",111,2014
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Accuracy of invasive and noninvasive tests to diagnose Helicobacter pylori infection after antibiotic treatment.,97,1997
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Peridomestic small mammals associated with confirmed cases of human hantavirus disease in southcentral Chile,96,2004
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Incubation period of hantavirus cardiopulmonary syndrome,91,2006
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Morphological studies on fimbriae expressed by Vibrio cholerae 01,85,1988
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Ecology, genetic diversity, and phylogeographic structure of Andes virus in humans and rodents in Chile",82,2009
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,A non-randomized multicentre trial of human immune plasma for treatment of hantavirus cardiopulmonary syndrome caused by Andes virus,74,2015
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"High-dose intravenous methylprednisolone for hantavirus cardiopulmonary syndrome in Chile: a double-blind, randomized controlled clinical trial",74,2013
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Age-specific prevalence of antibodies to hepatitis A in Santiago, Chile: risk factors and shift in age of infection among children and young adults.",74,2002
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Cost-benefit analysis for the use of Haemophilus influenzae type b conjugate vaccine in Santiago, Chile",66,1993
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Neutralizing antibodies in survivors of Sin Nombre and Andes hantavirus infection,59,2006
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Neutralizing antibodies in survivors of Sin Nombre and Andes hantavirus infection,59,2006
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,"Highly Differentiated, Resting Gn-Specific Memory CD8+ T Cells Persist Years after Infection by Andes Hantavirus",56,2010
9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo,@udd.cl,pediatria infectologia virologia,Efficacy of a vancomycin solution to prevent bacteremia associated with an indwelling central venous catheter in neutropenic and non‐neutropenic cancer patients,56,1997
