scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture","Integrated aquaculture: rationale, evolution and state of the art emphasizing seaweed biofiltration in modern mariculture",1258,2004
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Integrating seaweeds into marine aquaculture systems: a key toward sustainability,896,2001
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",A 20-year retrospective review of global aquaculture,801,2021
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Antimicrobial use in aquaculture re‐examined: its relevance to antimicrobial resistance and to animal and human health,777,2013
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Ecological engineering in aquaculture—potential for integrated multi-trophic aquaculture (IMTA) in marine offshore systems,667,2009
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Integrated mariculture: asking the right questions,592,2003
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Global patterns of kelp forest change over the past half-century,587,2016
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture","Seaweed production: overview of the global state of exploitation, farming and emerging research activity",552,2017
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Global ecology of the giant kelp Macrocystis: from ecotypes to ecosystems,459,2007
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Aquaculture as yet another environmental gateway to the development and globalisation of antimicrobial resistance,393,2016
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture","Integrated marine cultivation of Gracilaria chilensis (Gracilariales, Rhodophyta) and salmon cages for reduced environmental impact and increased economic output",390,1997
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",IMTA with Gracilaria vermiculophylla: productivity and nutrient removal performance of the seaweed in a land-based pilot scale system,363,2011
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",A review of the impacts of salmonid farming on marine coastal ecosystems in the southeast Pacific,335,2006
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Ecological engineering in aquaculture: use of seaweeds for removing nutrients from intensive mariculture,318,1999
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture","Salmon aquaculture and coastal ecosystem health in Chile: analysis of regulations, environmental impacts and bioremediation systems",252,2009
pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos",@ulagos.cl,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture",Prospects and challenges for industrial production of seaweed bioactives,237,2015
