scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Observations. Changes in Snow, Ice and Frozen Ground. Chapter 4",1345,2007
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Observations: Cryosphere,1304,2013
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Measurements of sulfur dioxide, ozone and ammonia concentrations in Asia, Africa, and South America using passive samplers",217,2003
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Changes of the 0 C isotherm and the equilibrium line altitude in central Chile during the last quarter of the 20th century/Changements de l'isotherme 0 C et de la ligne d …,198,2005
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Meteorological and climatological aspects of the Southern Patagonia Icefield,168,2002
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Secular trend of the equilibrium-line altitude on the western side of the southern Andes, derived from radiosonde and surface observations",138,2008
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Distribution and characteristics of mesoscale cyclones in the Antarctic: Ross Sea eastward to the Weddell Sea,125,2003
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Satellite observations of katabatic-wind propagation for great distances across the Ross Ice Shelf,111,1992
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Observations: changes in snow, ice and frozen ground Climate Change 2007: The Physical Science Basis. Contribution of Working Group I to the Fourth Assessment Report of the …",110,2007
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Effects of soiling on photovoltaic (PV) modules in the Atacama Desert,108,2018
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",CIMAR-5: A snapshot of the lower troposphere over the subtropical southeast Pacific,99,2001
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Hemispheric atmospheric variations and oceanographic impacts associated with katabatic surges across the Ross Ice Shelf, Antarctica",96,1993
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Mesoscale cyclogenesis dynamics over the southwestern Ross Sea, Antarctica",75,1993
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Cyclonically forced barrier winds along the Transantarctic Mountains near Ross Island,72,1994
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Observations and projections of heat waves in South America,71,2019
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",The solar spectrum in the Atacama Desert,66,2016
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Climatological aspects of mesoscale cyclogenesis over the Ross Sea and Ross Ice Shelf regions of Antarctica,56,1994
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Ultraviolet radiation in the Atacama Desert,52,2018
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Madden–Julian oscillation (MJO) modulation of atmospheric circulation and Chilean winter precipitation,52,2012
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Sixty years of widespread warming in the southern middle and high latitudes (1957–2016),51,2019
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Black carbon and other light-absorbing impurities in snow in the Chilean Andes,48,2019
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting","Recent near-surface trends in the Antarctic Peninsula from observed, reanalysis and regional model data",45,2020
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Decadal changes in the near-surface air temperature in the western side of the Antarctic Peninsula,45,2013
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Climate change 2013: the physical science basis,41,2013
Auy6bPcAAAAJ,Jorge Carrasco,Universidad de Magallanes - Centro de Investigación Gaia Antártica,@umag.cl,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting",Mesoscale cyclone activity over Antarctica during 1991: 1. Marie Byrd Land,40,1997
