scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Understanding the reactivity of captodative ethylenes in polar cycloaddition reactions. A theoretical study,944,2008
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Quantitative characterization of the global electrophilicity power of common diene/dienophile pairs in Diels–Alder reactions,914,2002
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Applications of the conceptual density functional theory indices to organic chemistry reactivity,783,2016
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Understanding the local reactivity in polar organic reactions through electrophilic and nucleophilic Parr functions,640,2013
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A direct evaluation of regional Fukui functions in molecules,497,1999
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",The nucleophilicity N index in organic chemistry,494,2011
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Quantitative characterization of the local electrophilicity of organic molecules. Understanding the regioselectivity on Diels− Alder reactions,464,2002
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",On the condensed Fukui function,418,2000
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","Quantitative characterization of the global electrophilicity pattern of some reagents involved in 1, 3-dipolar cycloaddition reactions",355,2003
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A further exploration of a nucleophilicity index based on the gas-phase ionization potentials,344,2008
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A condensed-to-atom nucleophilicity index. An application to the director effects on the electrophilic aromatic substitutions,210,2009
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","A theoretical study on the regioselectivity of 1, 3-dipolar cycloadditions using DFT-based reactivity indexes",163,2004
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Origin of the synchronicity on the transition structures of polar Diels− Alder reactions. Are these reactions [4+ 2] processes?,158,2003
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Definition of a nucleophilicity scale,156,2006
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Comparison between experimental and theoretical scales of electrophilicity in benzhydryl cations,153,2002
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Global and local reactivity indices for electrophilic/nucleophilic free radicals,146,2013
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Treatment with tocilizumab or corticosteroids for COVID-19 patients with hyperinflammatory state: a multicentre cohort study (SAM-COVID-19),129,2021
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Understanding the high reactivity of the azomethine ylides in [3+ 2] cycloaddition reactions,128,2010
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",The electrophilicity index in organic chemistry,126,2007
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",On the nature of Parr functions to predict the most reactive sites along organic polar reactions,117,2013
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","An Understanding of the Electrophilic/Nucleophilic Behavior of Electro-Deficient 2, 3-Disubstituted 1, 3-Butadienes in Polar Diels− Alder Reactions. A Density Functional Theory …",114,2008
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Condensed-to-atoms electronic Fukui functions within the framework of spin-polarized density-functional theory,110,2005
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","Density functional theory study for the cycloaddition of 1, 3-butadienes with dimethyl acetylenedicarboxylate. Polar stepwise vs concerted mechanisms",108,2002
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Empirical energy− density relationships for the analysis of substituent effects in chemical reactivity,101,2000
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","A Molecular Electron Density Theory Study of the Reactivity and Selectivities in [3 + 2] Cycloaddition Reactions of C,N-Dialkyl Nitrones with Ethylene Derivatives",100,2018
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Reactivity of the carbon–carbon double bond towards nucleophilic additions. A DFT analysis,100,2004
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Understanding the mechanism of non-polar Diels–Alder reactions. A comparative ELF analysis of concerted and stepwise diradical mechanisms,97,2010
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Electronic Contributions to the σp Parameter of the Hammett Equation,95,2003
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Solvent effects on electrophilicity,89,2001
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Universal mathematical identities in density functional theory: Results from three different spin-resolved representations,85,2008
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A molecular electron density theory study of the participation of tetrazines in aza-Diels–Alder reactions,83,2020
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",Ab initio SCF and DFT studies on solvent effects on intramolecular rearrangement reactions,80,2001
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A DFT analysis of the participation of zwitterionic TACs in polar [3+ 2] cycloaddition reactions,78,2014
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity","Characterization of keto-enol tautomerism of acetyl derivatives from the analysis of energy, chemical potential, and hardness",75,2000
-VDn0i0AAAAJ,Patricia Perez,Universidad Andres Bello,@unab.cl,"Theoretical Chemistry, Chemical Reactivity",A new model for C–C bond formation processes derived from the molecular electron density theory in the study of the mechanism of [3+ 2] cycloaddition reactions of carbenoid …,69,2016
