scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Polyphenols rich fraction from Geoffroea decorticans fruits flour affects key enzymes involved in metabolic syndrome, oxidative stress and inflammatory process",130,2016
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Pharmacological properties of chalcones: a review of preclinical including molecular mechanisms and clinical evidence,128,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Chitosan nanoparticles as a promising tool in nanomedicine with particular emphasis on oncological treatment,116,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Phytosterols: From preclinical evidence to potential clinical applications,106,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Insights into Eucalyptus genus chemical constituents, biological activities and health-promoting effects",96,2019
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Antibacterial activity, antioxidant effect and chemical composition of propolis from the Región del Maule, Central Chile",94,2015
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Therapeutic applications of curcumin in diabetes: a review and perspective,91,2022
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Genistein: an integrative overview of its mode of action, pharmacological properties, and health benefits",87,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Chemical composition and antioxidant activity of aloe vera from the Pica Oasis (Tarapacá, Chile) by UHPLC-Q/Orbitrap/MS/MS",73,2018
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Paclitaxel: application in modern oncology and nanomedicine-based cancer therapy,70,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Anticancer potential of alkaloids: a key emphasis to colchicine, vinblastine, vincristine, vindesine, vinorelbine and vincamine",64,2022
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Neuropharmacological effects of quercetin: a literature-based review,63,2021
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Polyphenolic compounds and anthocyanin content of Prosopis nigra and Prosopis alba pods flour and their antioxidant and anti-inflammatory capacities,62,2014
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Ellagic acid: A review on its natural sources, chemical stability, and therapeutic potential",58,2022
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,"Phenolic Compounds in Chilean Mistletoe (Quintral, Tristerix tetrandus) Analyzed by UHPLC–Q/Orbitrap/MS/MS and Its Antioxidant Properties",58,2016
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Antiproliferative activity and new argininyl bufadienolide esters from the “cururú” toad Rhinella (Bufo) schneideri,58,2014
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Chemical profiling and antioxidant activity of Bolivian propolis,57,2016
WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat,@unap.cl,Productos naturales,Fast Detection of Phenolic Compounds in Extracts of Easter Pears (Pyrus communis) from the Atacama Desert by Ultrahigh-Performance Liquid Chromatography …,57,2016
