scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Phylogenetic and functional marker genes to study ammonia-oxidizing microorganisms (AOM) in the environment,201,2010
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Anammox bacteria and the anaerobic oxidation of ammonium in the oxygen minimum zone off northern Chile,160,2009
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",High diversity of ammonia‐oxidizing archaea in permanent and seasonal oxygen‐deficient waters of the eastern South Pacific,125,2010
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",A combination of extreme environmental conditions favor the prevalence of endospore-forming firmicutes,113,2016
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Massive developments of microbial mats following phytoplankton blooms in a naturally eutrophic bay: Implications for nitrogen cycling,86,2001
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Abundance and phylogenetic identity of archaeoplankton in the permanent oxygen minimum zone of the eastern tropical South Pacific,60,2011
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Ammonia-oxidizing β-proteobacteria from the oxygen minimum zone off northern Chile,59,2007
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana","Bacterial Survival under Extreme UV Radiation: A Comparative Proteomics Study of Rhodobacter sp., Isolated from High Altitude Wetlands in Chile",53,2017
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Aerobic ammonium oxidation in the oxycline and oxygen minimum zone of the eastern tropical South Pacific off northern Chile (∼ 20 S),47,2009
hvjk24EAAAAJ,Verónica Molina T.,Universidad de Playa Ancha,@upla.cl,"Ecologia Microbiana, Biogeoquimica, Oceanografia Microbiana",Comparative in silico analysis of PCR primers suited for diagnostics and cloning of ammonia monooxygenase genes from ammonia-oxidizing bacteria,47,2008
