scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","Sloan digital sky survey IV: Mapping the Milky Way, nearby galaxies, and the distant universe",1411,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The 16th data release of the sloan digital sky surveys: first release from the APOGEE-2 southern survey and full release of eBOSS spectra,950,2020
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",VISTA Variables in the Via Lactea (VVV): The public ESO near-IR variability survey of the Milky Way,921,2010
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The 13th data release of the Sloan Digital Sky Survey: First spectroscopic data from the SDSS-IV survey mapping nearby galaxies at Apache Point Observatory,518,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",VVV DR1: The first data release of the Milky Way bulge and southern plane from the near-infrared ESO public survey VISTA variables in the Vía Láctea,420,2012
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","The fifteenth data release of the Sloan Digital Sky Surveys: first release of MaNGA-derived quantities, data visualization tools, and stellar library",389,2019
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS IV MaNGA–spatially resolved diagnostic diagrams: a proof that many galaxies are LIERs,311,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV/MaNGA: spectrophotometric calibration technique,268,2015
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","Pipe3D, a pipeline to analyze integral field spectroscopy data: II. Analysis sequence and CALIFA dataproducts",261,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The APOGEE-2 survey of the orion star-forming complex. II. Six-dimensional structure,257,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: Spatially resolved star formation histories in galaxies as a function of galaxy mass and type,214,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The apache point observatory galactic evolution experiment (apogee) spectrographs,208,2019
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","SDSS-IV MaNGA: the impact of diffuse ionized gas on emission-line ratios, interpretation of diagnostic diagrams and gas metallicity measurements",178,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Suppressing star formation in quiescent galaxies with supermassive black hole winds,178,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","Now you see it, now you don't: the disappearing central engine of the quasar J1011+ 5442",173,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","The seventeenth data release of the Sloan Digital Sky Surveys: Complete release of MaNGA, MaStar, and APOGEE-2 data",169,2022
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","StarHorse: a Bayesian tool for determining stellar masses, ages, distances, and extinctions for field stars",159,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","Life in the fast lane: a direct view of the dynamics, formation, and evolution of the Milky Way’s bar",156,2019
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","From the bulge to the outer disc: StarHorse stellar parameters, distances, and extinctions for stars in APOGEE DR16 and other spectroscopic surveys",123,2020
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The correlation between mixing length and metallicity on the giant branch: implications for ages in the Gaia era,111,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: environmental dependence of stellar age and metallicity gradients in nearby galaxies,107,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS IV MaNGA: the global and local stellar mass assemby histories of galaxies,105,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: the spatially resolved stellar initial mass function in∼ 400 early-type galaxies,104,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA–the spatially resolved transition from star formation to quiescence,100,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The Open Cluster Chemical Abundances and Mapping Survey. IV. Abundances for 128 Open Clusters Using SDSS/APOGEE DR16,98,2020
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass–size plane,98,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",APOGEE chemical abundances of globular cluster giants in the inner Galaxy,98,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: stellar population gradients as a function of galaxy environment,93,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",APOGEE Chemical Abundances of the Sagittarius Dwarf Galaxy,92,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Close companions around young stars,90,2019
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Do galaxy global relationships emerge from local ones? The SDSS IV MaNGA surface mass density–metallicity relation,89,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: variation of the stellar initial mass function in spiral and early-type galaxies,84,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Galactic Doppelgängers: the chemical similarity among field stars and among stars with a common birth origin,80,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy","Baade’s window and APOGEE-Metallicities, ages, and chemical abundances",80,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Atypical Mg-poor Milky Way field stars with globular cluster second-generation-like chemical patterns,76,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Discovery of a metal-poor field giant with a globular cluster second-generation abundance pattern,75,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: properties of galaxies with kinematically decoupled stellar and gaseous components,75,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The clustering of luminous red galaxies at z∼ 0.7 from EBOSS and BOSS data,67,2017
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Spatial variations in the Milky Way disc metallicity–age relation,64,2019
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Metallicity and α-element Abundance Gradients along the Sagittarius Stream as Seen by APOGEE,61,2020
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",The chemical compositions of accreted and in situ galactic globular clusters according to SDSS/APOGEE,58,2020
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",APOGEE chemical abundance patterns of the massive Milky Way satellites,57,2021
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Age-resolved chemistry of red giants in the solar neighbourhood,55,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",Milky Way demographics with the VVV survey-II. Color transformations and near-infrared photometry for 136 million stars in the southern Galactic disk,53,2013
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: modelling the metallicity gradients of gas and stars–radially dependent metal outflow versus IMF,47,2018
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",VISTA Variables in the Vía Láctea (VVV): Current Status and First Results,46,2010
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",SDSS-IV MaNGA: Bulge–Disc Decomposition of IFU Datacubes (BUDDI),44,2016
TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena,@userena.cl,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy",C IV broad absorption line acceleration in Sloan Digital Sky Survey quasars,43,2016
