scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC,21555,2012
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,The ATLAS simulation infrastructure,7853,2010
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,The ALICE experiment at the CERN LHC,5483,2008
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Measurement of the inclusive isolated prompt photon cross section in p p collisions at s= 7 TeV with the ATLAS detector,5307,2011
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Muon reconstruction performance of the ATLAS detector in proton–proton collision data at =13 TeV,4750,2016
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Performance of the ATLAS Trigger System in 2010,4624,2012
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Measurement of the muon reconstruction performance of the ATLAS detector using 2011 and 2012 LHC proton–proton collision data,4582,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Improved luminosity determination in pp collisions at  using the ATLAS detector at the LHC,4323,2013
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Luminosity Determination in pp Collisions at sqrt (s)= 7 TeV Using the ATLAS Detector at the LHC,3986,2011
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,"Search for top squark pair production in final states with one isolated lepton, jets, and missing transverse momentum in s= 8 TeV pp collisions with the ATLAS detector",3193,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Jet energy measurement and its systematic uncertainty in proton–proton collisions at\ sqrt {s}= 7 TeV with the ATLAS detector,3175,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,3166,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Study of the spin and parity of the Higgs boson in diboson decays with the ATLAS detector,3106,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron performance measurements with the ATLAS detector using the 2010 LHC proton-proton collision data,3021,2012
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Luminosity determination in pp collisions at  = 8 TeV using the ATLAS detector at the LHC,2944,2016
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Performance of missing transverse momentum reconstruction in proton-proton collisions at\ sqrt {s}= 7~\ mbox {TeV} with ATLAS,2816,2012
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Evidence for the H → b b ¯  decay with the ATLAS detector,2696,2017
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,2605,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Study of the spin and parity of the Higgs boson in diboson decays with the ATLAS detector,2596,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Evidence for the spin-0 nature of the Higgs boson using ATLAS data,2415,2013
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Performance of the ATLAS track reconstruction algorithms in dense environments in LHC Run 2,2388,2017
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,"Identification of boosted, hadronically decaying W bosons and comparisons with ATLAS data taken at  TeV",2381,2016
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Jet energy measurement with the ATLAS detector in proton-proton collisions at sqrt (s)= 7 TeV,2342,2011
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,"Expected performance of the ATLAS experiment-detector, trigger and physics",2272,2008
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,2268,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Jet energy scale measurements and their systematic uncertainties in proton-proton collisions at  TeV with the ATLAS detector,2250,2017
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Search for high-mass diboson resonances with boson-tagged jets in proton-proton collisions at s= 8 TeV with the ATLAS detector,2206,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron performance measurements with the ATLAS detector using the 2010 LHC proton-proton collision data,2141,2011
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Performance of the ATLAS muon trigger in pp collisions at  TeV,2060,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Evidence for the Higgs-boson Yukawa coupling to tau leptons with the ATLAS detector,2054,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Search for the b b decay of the Standard Model Higgs boson in associated (W/Z) H production with the ATLAS detector,2038,2015
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Measurement of the Z/γ * boson transverse momentum distribution in pp collisions at s = 7  TeV with the ATLAS detector,1946,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,1894,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Measurement of the distributions of event-by-event flow harmonics in lead-lead collisions at  = 2.76 TeV with the ATLAS detector at the LHC,1892,2013
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,1891,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,1891,2014
16OlurgAAAAJ,Will Brooks,Universidad Técnica Federico Santa Maria,@usm.cl,High Energy and Nuclear Physics,Electron reconstruction and identification efficiency measurements with the ATLAS detector using the 2011 LHC proton–proton collision data,1891,2014
