scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)1,9673,2021
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Regulation of autophagy by cytoplasmic p53,1309,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Guidelines for the use and interpretation of assays for monitoring cell death in higher eukaryotes,793,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Caloric restriction and resveratrol promote longevity through the Sirtuin-1-dependent induction of autophagy,627,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Autophagy mediates pharmacological lifespan extension by spermidine and resveratrol,624,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Autophagy regulation by p53,567,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Control of autophagy by oncogenes and tumor suppressor genes,517,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Spermidine and resveratrol induce autophagy by distinct pathways converging on the acetylproteome,485,2011
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Viral control of mitochondrial apoptosis,472,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Anti-and pro-tumor functions of autophagy,438,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Regulation of autophagy by cytosolic acetyl-coenzyme A,433,2014
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",A dual role of p53 in the control of autophagy,376,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",The IKK complex contributes to the induction of autophagy,345,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",miR-181a and miR-630 regulate cisplatin-induced cancer cell death,338,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity","Senescence, apoptosis or autophagy?",334,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Stimulation of autophagy by the p53 target gene Sestrin2,317,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Mutant p53 protein localized in the cytoplasm inhibits autophagy,312,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity","The inositol 1, 4, 5-trisphosphate receptor regulates autophagy through its interaction with Beclin 1",309,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Mitochondrial gateways to cancer,308,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity","Hierarchical involvement of Bak, VDAC1 and Bax in cisplatin-induced cell death",236,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Hypothalamic PGC-1α protects against high-fat diet exposure by regulating ERα,188,2014
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Targeting post-mitochondrial effectors of apoptosis for neuroprotection,162,2009
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity","p53 inhibits autophagy by interacting with the human ortholog of yeast Atg17, RB1CC1/FIP200",155,2011
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",The life span-prolonging effect of sirtuin-1 is mediated by autophagy,152,2010
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity","Life, death and burial: multifaceted impact of autophagy",147,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",The effects of oestrogens and their receptors on cardiometabolic health,135,2017
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Targeting p53 to mitochondria for cancer therapy,127,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",BH3 mimetics activate multiple pro-autophagic pathways,122,2011
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Prognostic impact of vitamin B6 metabolism in lung cancer,121,2012
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",p53 represses autophagy in a cell cycle-dependent fashion,108,2008
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Sex hormones and cardiometabolic health: role of estrogen and estrogen receptors,106,2017
J3Durw8AAAAJ,Eugenia Morselli,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",@uss.cl,"autophagy, primary cilium, metabolism, obesity",Oncosuppressive functions of autophagy,105,2011
