scholar_id,name,affiliation,email_domain,interests,title,num_citations,pub_year
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Model predictive control for power converters and drives: Advances and trends,1439,2016
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",A review of control and modulation methods for matrix converters,691,2011
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Improved active power filter performance for renewable power generation systems,298,2013
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control","Model predictive current control of two-level four-leg inverters—Part I: Concept, algorithm, and simulation analysis",272,2012
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Finite-set model-predictive control strategies for a 3L-NPC inverter operating with fixed switching frequency,217,2017
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Predictive control of an indirect matrix converter,212,2009
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Current control for an indirect matrix converter with filter resonance mitigation,197,2011
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Multiobjective switching state selector for finite-states model predictive control based on fuzzy decision making in a matrix converter,192,2012
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Model Predictive Approach for a Simple and Effective Load Voltage Control of Four-Leg Inverter With an Output  Filter,189,2014
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Digital predictive current control of a three-phase four-leg inverter,185,2012
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",A comparative assessment of model predictive current control and space vector modulation in a direct matrix converter,158,2012
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Predictive Current Control With Input Filter Resonance Mitigation for a Direct Matrix Converter,154,2011
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",A single-objective predictive control method for a multivariable single-phase three-level NPC converter-based active power filter,142,2015
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",Model predictive current control of two-level four-leg inverters—Part II: Experimental implementation and validation,137,2012
FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK",@utalca.cl,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control",A new power conversion system for megawatt PMSG wind turbines using four-level converters and a simple control scheme based on two-step model predictive strategy—Part I …,113,2013
