organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
7698552169257899008,I3GzTsgAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,13567,"oceanografía, biogeoquímica marina, fiordos, patagonia, sedimentos"
7698552169257899008,3Wz5lUMAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@ucv.cl,9964,"Gravitación, Cosmología"
7698552169257899008,GTvRpIoAAAAJ,"Profesor Asociado, Instituto de Física, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,8015,"Galaxy clusters, observational cosmology"
7698552169257899008,t6WTsxEAAAAJ,"Profesor Titular. Escuela de Ingeniería Industrial, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,7014,"Data Science-Big Data, Statistical Modeling, Machine Learning-Artificial Intelligence, Operational Research, Quality Control"
7698552169257899008,1pGKw9UAAAAJ,"Profesor de Periodismo, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,6359,"journalistic role performance, journalistic cultures, comparative research, professional roles"
7698552169257899008,eWXIjwwAAAAJ,Pontificia Universidad Católica de Valparaiso,pucv,@pucv.cl,5797,Ciencias de la Actividad Física y Deportes
7698552169257899008,FOjm5zgAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,5449,"postharvest physiology, food engineering, food science"
7698552169257899008,RfSpDuEAAAAJ,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,pucv,@pucv.cl,5288,
7698552169257899008,eYwMalQAAAAJ,"Escuela de Agronomía, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,5035,Soil and plant Sciences
7698552169257899008,QyYCFvoAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,4921,"Psicolingüística, Lingüística de Corpus, Géneros del Discurso, Multimodalidad"
7698552169257899008,04ZzYdAAAAAJ,"Associate Professor, Institute of Physics, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,4924,"Astronomy and Astrophysics, Astrophysics of Galaxies, Extragalactic Astronomy"
7698552169257899008,cUKJtaMAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,4279,Psicología/Psychology/Education/Research/
7698552169257899008,iC1zxr4AAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@ucv.cl,4200,"Computer Science, Mathematics, Engineering, Decision Sciences"
7698552169257899008,T70m45sAAAAJ,"Astronomer, Pontificia Universidad Catolica de Valparaiso",pucv,@pucv.cl,4051,Astronomy
7698552169257899008,KfDyRkUAAAAJ,"Profesor Asociado, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,3978,Ciencias y Tecnologías de los alimentos
7698552169257899008,O8xOA28AAAAJ,"Physical Education, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,3775,"physical education, physical activity, active commuting, exercise, body composition"
7698552169257899008,7x2N9moAAAAJ,Profesor Pontificia Universidad Catolica de Valparaiso,pucv,@ucv.cl,3121,genetica molecular
7698552169257899008,Etid-XsAAAAJ,"Professor of Psychology, Pontificia Universidad Catolica de Valparaiso",pucv,@ucv.cl,2983,"teacher education, situated learning"
7698552169257899008,HTEL8I8AAAAJ,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,2920,"Coastal geomorphology, Paleoseismology, Tsunami geology, Written records of old earthquakes and tsunamis"
7698552169257899008,g_QWxVAAAAAJ,Dr. en Psicología Social. Profesor Titular Pontificia Universidad Católica de Valparaíso. Chile,pucv,@pucv.cl,2909,"Trabajo, Subjetividad, Identidad, Psicología Social, Análisis del Discurso"
7698552169257899008,FNkkn0kAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,2880,"Sistema de Corrientes de Borde Oriental, Dinámica Costera, Remolinos de Mesoescala, Acoplamiento Físico-Biológico"
7698552169257899008,F4Q6NTsAAAAJ,Pontificia Universidad Catolica de Valparaiso - PUCV & CEDEUS,pucv,@pucv.cl,2796,"Cartography, GIScience, Urban Planning, Walkability"
7698552169257899008,ytVwClgAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,2738,"Human-Computer Interaction, User eXperience, Customer eXperience"
7698552169257899008,zrNJL2oAAAAJ,"Profesor: Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaiso",pucv,@pucv.cl,2735,"Oceanografía, Olas, Estuarios"
7698552169257899008,-YDTvdYAAAAJ,"Professor of plant breeding, Pontificia Universidad Católica de Valparaiso",pucv,@pucv.cl,2670,"Genetics, plant breeding"
7698552169257899008,wacf2BUAAAAJ,"Professor of Biochemical Engineering, P. Universidad Católica de Valparaíso",pucv,@ucv.cl,2605,"Biochemical Engineering, Biofiltration, Biofuels, Bioethanol"
7698552169257899008,zQBFJuoAAAAJ,Pontificia Universidad Católica de Valparaiso,pucv,@pucv.cl,2599,"Mammalian cell culture, system biology, recombinant protein"
7698552169257899008,ve1fhiAAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,2535,"Zooplancton marino, Plancton gelatinoso, Biodiversidad, Ecología"
7698552169257899008,tbQtxo4AAAAJ,Profesor Titular Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,2521,Oceanografía Pesquera
7698552169257899008,ISWs1VQAAAAJ,PUCV,pucv,@pucv.cl,2271,physics
7698552169257899008,8qV84A4AAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,2146,"Optics, Atmospheric Optics, Optical Turbulence, Metrology, Stochastic Processes"
7698552169257899008,B3oMZV0AAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@ucv.cl,2162,Dinámica Poblacional (Populational Dynamics)
7698552169257899008,oTtpxGcAAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@ucv.cl,2165,Dinamica Poblacional
7698552169257899008,Qpgm5hkAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,2092,"Physiology, kidney, renin, education, hypertension"
7698552169257899008,cQLWq70AAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@pucv.cl,2028,relatividad general
7698552169257899008,CdhGscUAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,2015,Fish immunology
7698552169257899008,qgpudsIAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1977,"construction management, lean construction, lean management, engineering education"
7698552169257899008,4cGeq0AAAAAJ,"Pontificia Universidad Catolica de Valparaiso, UNED, CIEMAT",pucv,@ucv.cl,1944,"Machine Learning, Automatic Control"
7698552169257899008,GJ_61yMAAAAJ,"Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1829,"Desarrollo Sustentable, modelos bioeconómicos, valoración de bienes y servicios ambientales, especies invasoras"
7698552169257899008,q9oUJekAAAAJ,"Facultad de Ciencias, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1810,"Ecology, Evolutionary biology, Conservation Biology, Environmental Sciences"
7698552169257899008,3Bm3kF0AAAAJ,pontificia universidad catolica de valparaiso,pucv,@pucv.cl,1776,
7698552169257899008,5y3VZUsAAAAJ,Profesor asociado Escuela de Psicología Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1761,"psicometría, comprensión lectora, métodos cualitativos, métodos cuantitativos, modelos de diagnóstico cognitivo"
7698552169257899008,sa0Zrl8AAAAJ,Pontificia Universidad Católica de Valparaiso,pucv,@pucv.cl,1688,Microbiología
7698552169257899008,MDwSO5gAAAAJ,"Professor of Chemistry, Pontificia Universidad Catolica de Valparaiso",pucv,@pucv.cl,1640,"photochemistry, materials chemistry, photocatalysis"
7698552169257899008,tJwa1-sAAAAJ,Pontificia Universidad Católica de Valparaíso.,pucv,@pucv.cl,1634,"Air Quality, Climate Change, Adaptation, Renewable Energy, Climate Finance."
7698552169257899008,ymoqnSgAAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@pucv.cl,1583,"Computational Imaging, Compressive Sensing, Signal Processing, Inverse Problems, Adaptive Optics"
7698552169257899008,dy058aIAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1616,"Biocatalysis, Prebiotic, enzyme immobilization, enzymatic reactor, lactulose"
7698552169257899008,lUt0cxwAAAAJ,"Escuela de Negocios y Economía, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1614,"Spatial economics, entrepreneurship, innovation, regional development"
7698552169257899008,nw8TSuUAAAAJ,"Porfesor Jerarquizado, Pontificia Universidad Católica de Valparaíso",pucv,@ucv.cl,1584,"Microbiología, Resistencia a los Antibióticos"
7698552169257899008,MKDk35YAAAAJ,Pontificia Universidad Católica de Valparaiso,pucv,@pucv.cl,1570,"Analytical Chemistry, Chemometric, Environmental chemistry"
7698552169257899008,YVBJgLwAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1530,"convivencia escolar, ciudadanía, afectos, emociones"
7698552169257899008,WB_qsXIAAAAJ,Pontificia Universidad Católica de Valparaiso,pucv,@pucv.cl,1497,Evolutionary epidemiology
7698552169257899008,AqjpTC8AAAAJ,"Profesor Asociado Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1437,"Dinámica de Poblaciones, Evaluación de Recursos Pesqueros, Modelamiento Estadístico, Gestion Pesquera, Investigación Operati"
7698552169257899008,a6-oZHYAAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@pucv.cl,1400,"Control Automatico, Sistemas Distribuidos, Educacion en Ingenieria"
7698552169257899008,QgOhYR8AAAAJ,"Profesor de Comunicación, Pontificia Universidad Católica de Valparaiso",pucv,@pucv.cl,1386,"Comunicacion Política, Análisis del Discurso"
7698552169257899008,PbTuJx0AAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@ucv.cl,1357,Computational Intelligence in Operations. Optimization. Metaheuristics.
7698552169257899008,3vBga50AAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1343,"Procesos de minerales, líquidos iónicos, modelamiento y simulación"
7698552169257899008,rhvJP1wAAAAJ,Pontificia Universidad Catolica de Valparaiso,pucv,@ucv.cl,1314,Peptides
7698552169257899008,UR6tfqAAAAAJ,"Pontificia Universidad Católica de Valparaíso , Chile",pucv,@pucv.cl,1341,"machine learning, operations research, data mining, artificial intelligence"
7698552169257899008,_lu4kN4AAAAJ,Professor at Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1277,"Black hole physics, (Super)gravity, Gauge/Gravity Duality, AdS/CFT correspondence"
7698552169257899008,Xa4T9uYAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1254,"Ecological intensification, agroecology, urban ecology, biodiversity conservation"
7698552169257899008,0EUiosEAAAAJ,"Profesor Instituto de Geografía, Pontificia Universidad Católica de Valparaiso",pucv,@pucv.cl,1246,"Cambio Climático, Geografía física, Riesgos Naturales, Recursos hídricos, Bosques"
7698552169257899008,QbZkhhcAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1244,"Antimicrobial resistance, Pseudomonas aeruginosa, quorum sensing, high risk clones"
7698552169257899008,_k8utMAAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1189,Biotechnology of Microalgae
7698552169257899008,tSRFmKEAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1193,chemical engineering
7698552169257899008,JhgRVPwAAAAJ,"Profesor Adjunto, Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1169,"Geofísica Marina, Batimetría, Sísmica, Montes Submarinos, Tectónica"
7698552169257899008,rnkCpP0AAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@ucv.cl,1173,"Inorganic Chemistry, Crystallography, Spin crossover complexes"
7698552169257899008,E65grJEAAAAJ,"Profesor Instituto de Química, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1136,Electroquímica
7698552169257899008,QMQA218AAAAJ,"Assistant Professor of Industrial Engineering, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1141,"industrial engineering, medical informatics, emergency medicine"
7698552169257899008,aXs7HNYAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1118,"Derecho Administrativo, Derecho Urbanístico, Derecho Administrativo Sancionador, Bienes Públicos, Derecho Público"
7698552169257899008,cIiKKM4AAAAJ,"Escuela de Agronomía, Facultad de Ciencias Agronómicas y de los Alimentos, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1109,"Patología Vegetal, Fitopatología, Sustentabilidad"
7698552169257899008,YWqmc6oAAAAJ,"Professor Civil Law, Pontificia Universidad Catolica de Valparaiso",pucv,@pucv.cl,1079,"contract Law, arbitration law, obligations law, family law, uniform contract law"
7698552169257899008,wu07OKAAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1090,"Convivencia Escolar, Violencia Escolar, Gestión Escolar, Políticas Educativas"
7698552169257899008,NbMzEWUAAAAJ,"Profesor adjunto, Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso.",pucv,@pucv.cl,1072,Ecologia bentónica y oceanografia biológica
7698552169257899008,ewDJu18AAAAJ,Pontificia Universidad Catolica de Valparaiso - CHILE,pucv,@pucv.cl,1099,"estadística temprana, early statistics, statistics education, mathematics education, inferencia y probabilidad"
7698552169257899008,zdIuFAUAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1026,"Bacteriophages, Phage Therapy, Bacteria-Phage Interaction"
7698552169257899008,PHAib6MAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,1006,"análisis del discurso, lingüistica del corpus, lingüística computacional, semántica computacional, procesamiento del lengua"
7698552169257899008,52NbiuUAAAAJ,Pontificia Universidad Católica de Valparaíso,pucv,@pucv.cl,987,"análisis del discurso, educación"
7698552169257899008,Yf3WaggAAAAJ,"Director del Doctorado en Lingüística, Pontificia Universidad Católica de Valparaíso",pucv,@pucv.cl,1002,"lingüística, psicolingüística, relaciones de coherencia, discurso académico"
