organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
10448777709790853120,8XKXZJUAAAAJ,Universidad Adolfo Ibañez,uadolfoi,@uai.cl,144360,"Particle Phenomenology, Beyond the Standard Model, Long-Lived Particles, Higgs"
10448777709790853120,OKfYDv0AAAAJ,Universidad Adolfo Ibáñez,uadolfoi,@uai.cl,19578,"Exoplanets, protoplanetary and debris disks, early-type galaxies, globular clusters"
10448777709790853120,RfGKP34AAAAJ,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",uadolfoi,@uai.cl,12535,Wastewater treatment
10448777709790853120,aShVsHsAAAAJ,"Professor of Marketing, Universidad Adolfo Ibañez",uadolfoi,@uai.cl,10332,"Consumer Behavior, Branding, Decision Making, Information Privacy"
10448777709790853120,Js0nhfIAAAAJ,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",uadolfoi,@uai.cl,7254,"Biophysical forcing, Coastal ecosystems, Biogeography"
10448777709790853120,ZxW_BhoAAAAJ,Universidad Adolfo Ibañez - Queensland University of Technology,uadolfoi,@uai.cl,6087,International marketing
10448777709790853120,S2EpBmkAAAAJ,Professor. School of Business. Universidad Adolfo Ibañez.,uadolfoi,@uai.cl,5926,Optimization under uncertainty.
10448777709790853120,w742qQgAAAAJ,"Associate Professor, Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",uadolfoi,@uai.cl,5488,"Power & Energy Systems, Smartgrids, Microgrids, Applied Optimization."
10448777709790853120,3aaunA0AAAAJ,Universidad Adolfo Ibáñez,uadolfoi,@uai.cl,5381,"Astrophysics, Galactic Centre, Protoplanetary Discs, Super-Massive Black Hole Binaries"
10448777709790853120,724ME-oAAAAJ,"Assistant Professor, Universidad Adolfo Ibáñez",uadolfoi,@uai.cl,5279,exoplanet astronomy
10448777709790853120,lSbD6y8AAAAJ,Universidad Adolfo Ibáñez. Universidad Católica de Chile,uadolfoi,@uai.cl,4991,
10448777709790853120,0ibegmYAAAAJ,"Professor of Bioengineering, Universidad Adolfo Ibáñez",uadolfoi,@uai.cl,4707,"cell mechanics, cell morphogenesis, cell division, fog collection"
10448777709790853120,zmkA7uwAAAAJ,Universidad Adolfo Ibañez,uadolfoi,@uai.cl,4573,Applied Economics
10448777709790853120,xd4Wp9wAAAAJ,"BrainLat, Universidad Adolfo Ibáñez",uadolfoi,@uai.cl,4312,Physical activity and health
10448777709790853120,VQchlPYAAAAJ,"School of Business, Universidad Adolfo Ibanez",uadolfoi,@uai.cl,4312,"Operations, Health Services"
10448777709790853120,3ZKkR_gAAAAJ,Universidad Adolfo Ibañez,uadolfoi,@uai.cl,4063,"ecology, evolution, environmental sciences, evolutionary ecology, marine biology"
10448777709790853120,3ut4Mn0AAAAJ,Universidad Adolfo Ibáñez (Chile),uadolfoi,@uai.cl,3899,"Convex Analysis, Optimization, Game Theory, Transportation"
10448777709790853120,jGAelSwAAAAJ,Universidad Adolfo Ibañez,uadolfoi,@uai.cl,3866,Astronomía
10448777709790853120,Z8zHERAAAAAJ,"Escuela de Negocios, Universidad Adolfo Ibañez",uadolfoi,@uai.cl,3202,"Innovación, Emprendimiento, Desarrollo Sostenible y Economía Politica"
