organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
6615366460316766280,z-hPEtoAAAAJ,"Director of Investigation, Universidad de los Andes, Santiago",uandes,@uandes.cl,4745,stem cells
6615366460316766280,MDYaR_EAAAAJ,"Immunologist, Faculty of Medicine, Universidad de los Andes",uandes,@uandes.cl,3694,"Immunology, Transplantation, Immuneregulation, Inflammation"
6615366460316766280,EydjFV4AAAAJ,Universidad de los Andes,uandes,@uandes.cl,2962,"Cell therapy, inflammation, mesenchymal stem cells"
6615366460316766280,aGar50IAAAAJ,Universidad de los Andes,uandes,@uandes.cl,2928,Neurociencias
6615366460316766280,w6gqxZQAAAAJ,"Vicedecana de Investigación, Universidad de los Andes",uandes,@uandes.cl,2724,Salud Pública
6615366460316766280,tW8cPncAAAAJ,"Professor of Financial Economics, ESE Business School, Universidad de los Andes",uandes,@uandes.cl,2564,"Financial Development, Political Economy, Economic History"
6615366460316766280,D2g6y38AAAAJ,Profesor de Derecho Civil Universidad de los Andes de Santiago de Chile,uandes,@uandes.cl,2517,"Derecho de la persona, derecho de familia, contratos, responsabilidad civil, Tomás Moro y su faceta jurídica"
6615366460316766280,ONsGb6MAAAAJ,"Universidad de los Andes, Santiago de Chile",uandes,@UANDES.CL,2493,
6615366460316766280,p8-bZXkAAAAJ,"Postdoc fellow, Universidad de los Andes, Chile",uandes,@miuandes.cl,2370,"Molecular Biology, Cancer, Reproductive Biology"
6615366460316766280,6JV6CqQAAAAJ,"Facultad de Medicina, Universidad de los Andes",uandes,@uandes.cl,2074,
6615366460316766280,VLin8zEAAAAJ,"Universidad de los Andes, Chile",uandes,@miuandes.cl,2048,"Corporate Finance, Credit Risk, Financial Economics, International Finance, Financial Inclusion"
6615366460316766280,ur_LhQEAAAAJ,Assistant Professor - Universidad de los Andes,uandes,@uandes.cl,1916,"neurodegenerative diseases, protein aggregation, polyglutamine, huntingtin, NFAT5"
6615366460316766280,K4UHS-sAAAAJ,Universidad de los Andes,uandes,@uandes.cl,1857,
6615366460316766280,g99obcwAAAAJ,"Faculty of Education, Universidad de los Andes (Chile). Clinical",uandes,@uandes.cl,1754,"Psychiatry, Mental Health, Child Health, Adolescent Health."
6615366460316766280,rTDvlSYAAAAJ,Universidad de los Andes,uandes,@uandes.cl,1748,"Stem cells, extracellular vesicles, exosomes, cancer"
6615366460316766280,z0lTDXIAAAAJ,Universidad de los Andes,uandes,@uandes.cl,1694,"Ingeniería de Tejidos, Biomateriales"
6615366460316766280,GLwW01cAAAAJ,"Associate Professor, Universidad de los Andes - Chile",uandes,@miuandes.cl,1700,"Earthquake Engineering, Structural Engineering, Structural Health Monitoring, Finite Element Modeling, Bayesian Inference"
6615366460316766280,mofFMcYAAAAJ,"Universidad de Los Andes, Chile",uandes,@miuandes.cl,1560,
6615366460316766280,tfxdgMUAAAAJ,Universidad de los Andes,uandes,@uandes.cl,1552,"Neurodevelopment, Cell Biology, Reproduction, Neural Stem Cells"
6615366460316766280,sr_eelcAAAAJ,Universidad de Los Andes,uandes,@uandes.cl,1522,"Biomedical Research, Renal Physiology"
6615366460316766280,RhG4MfIAAAAJ,"Profesor Titular, Universidad de los Andes (Santiago-Chile)",uandes,@miuandes.cl,1486,"modelación de tráfico, ingeniería y gestión de tránsito, transporte público"
6615366460316766280,Iyw5NZkAAAAJ,"Associate Professor of Psychiatry, Universidad de los Andes, Chile",uandes,@uandes.cl,1479,"Psychiatry, Mood Disorders, Bipolar Disorders, Cardiovascular Disease, Biomarkers"
6615366460316766280,0W-BzeAAAAAJ,"Professor, Universidad de los Andes - Chile",uandes,@miuandes.cl,1413,"Free-space optical communications, Orbital angular momentum, Optical wireless communications, Error-correction"
6615366460316766280,CrKpj-gAAAAJ,"Universidad de los Andes, Universidad de Chile",uandes,@uandes.cl,1385,"Dental Materials, Adhesive Dentistry, Ceramics"
6615366460316766280,BamCl30AAAAJ,Universidad de los Andes - Chile,uandes,@miuandes.cl,1326,"Bioprocess, Fungal Biofiltration, Bioreactors, Gas Biofiltration"
6615366460316766280,RVmOGS0AAAAJ,"Universidad de Los Andes, Chile",uandes,@uandes.cl,1259,International Economics
6615366460316766280,v91PopMAAAAJ,"Escuela de Psicología, Universidad de los Andes",uandes,@uandes.cl,1130,"Clinical Psychology, Psychopathology, Addictions, Personality"
6615366460316766280,S89RtNAAAAAJ,Universidad de los Andes - Chile,uandes,@miuandes.cl,1067,Non-linear physics
6615366460316766280,Rs_HIpMAAAAJ,"Universidad de Los Andes, Chile",uandes,@uandes.cl,1047,"Decision Support Systems, Maritime and Port Logistics, Logistics and Transportation, Optimization, Heuristics"
6615366460316766280,eN5q1XMAAAAJ,"Research Professor, Faculty of Engineering and Applied Sciences, Universidad de los Andes, Chile",uandes,@miuandes.cl,1044,"computer vision, image processing, deep learning, self-supervised models"
6615366460316766280,o2AO2joAAAAJ,Facultad de Ciencias Económicas y Empresariales Universidad de los Andes,uandes,@uandes.cl,1020,"Latinoamerica, Historia de Chile, Historia Economica, Pensamiento Crítico, Relaciones Internacionales"
6615366460316766280,M3vEKGgAAAAJ,UNIVERSIDAD DE LOS ANDES,uandes,@uandes.cl,967,"Immunology, Mesenchymal stem cells, Immunoplasticity, Lymphocytes Treg"
6615366460316766280,RJykzr8AAAAJ,"Profesor de Fisiología Universidad de los Andes, Chile",uandes,@miuandes.cl,934,"Lung, Oxidative stress, Physical exercise, Exhaled breath condensate, extreme enviromments"
6615366460316766280,piLbgUAAAAAJ,"Profesor de Derecho Constitucional, Universidad de los Andes",uandes,@uandes.cl,890,"Derecho Público, Derecho Constitucional"
6615366460316766280,nIQLgFIAAAAJ,Universidad de los Andes-Chile,uandes,@miuandes.cl,876,"Nonlinear dynamics, stochastic physics, surface reactions"
6615366460316766280,vfBklcMAAAAJ,"Associate Professor of Computer Science, Universidad de los Andes, Chile",uandes,@miuandes.cl,793,"Educational Technology, Groupware, Ethics Education, CS Education"
6615366460316766280,piYBGaIAAAAJ,"Universidad de Los Andes, Chile",uandes,@uandes.cl,765,Oral Pathology and Oral Medicine
6615366460316766280,4kKpzOUAAAAJ,Universidad de los Andes,uandes,@miuandes.cl,703,Catalysis
6615366460316766280,TgcEHCAAAAAJ,"Universidad de los Andes, Chile",uandes,@uandes.cl,694,International Trade Productivity and Macroconomics
6615366460316766280,wQwcHlAAAAAJ,Universidad de los Andes Chile,uandes,@uandes.cl,678,
6615366460316766280,AVQV7swAAAAJ,"ESE Business School, Universidad de Los Andes",uandes,@uandes.cl,659,"Organizational Behavior, Motivation, Leadership"
6615366460316766280,PCTMp94AAAAJ,"estudiante neuropsicología, universidad de los Andes.",uandes,@miuandes.cl,659,"medicina, neurologia pediatrica, neurociencias, neuropsicologia, neurodesarrollo infantil"
6615366460316766280,e_0UrIMAAAAJ,Universidad de los Andes. Chile,uandes,@uandes.cl,649,"operations research, optimization, discrete choice models, applied mathematics, Mathematical Modeling"
6615366460316766280,hfcwu1MAAAAJ,Escuela de Postgrado Universidad de los Andes,uandes,@uandes.cl,541,"Neurologia Pediatrica, Enfermedades Neuromusculares, Desarrollo Infantil"
6615366460316766280,hfl8yXUAAAAJ,"Associate Professor, Universidad de los Andes",uandes,@uandes.cl,502,
6615366460316766280,X0HbXjcAAAAJ,"Research Professor, Universidad de los Andes, Chile",uandes,@miuandes.cl,473,"Computer & Education, Software Engineering, Human Computer Interaction"
6615366460316766280,7MPNMlkAAAAJ,Universidad de los Andes,uandes,@uandes.cl,474,"Bioprocess design and optimizacion, fermentation, system biology"
