organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
7010446216104013295,_YlQ7Q0AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,23757,Galaxy evolution
7010446216104013295,NLj3K9MAAAAJ,"Profesor de Acuicultura, Universidad de Antofagasta; Chile",uantof,@uantof.cl,13118,manejo y cultivo de moluscos
7010446216104013295,9Ln_jBUAAAAJ,"Full professor, Centro de Astronomía (CITEVA), Universidad de Antofagasta, Chile",uantof,@uantof.cl,8631,Astronomy and astrophysics
7010446216104013295,RN8sb0oAAAAJ,"Unidad de Astronomía, Universidad de Antofagasta",uantof,@uantof.cl,5959,
7010446216104013295,qt9Y4aYAAAAJ,"Vicerrector de Investigación, Innovación y Postgrado. Universidad de Antofagasta",uantof,@uantof.cl,4488,Carotid body physiology. Intermittent hypoxia.
7010446216104013295,ec5REdUAAAAJ,University of Antofagasta,uantof,@uantof.cl,3782,reproductive biology
7010446216104013295,hysL_o4AAAAJ,Universidad de Antofagasta Chile,uantof,@uantof.cl,3226,"marine microbiology, interaction Bacteria-microalga, probiotics, aquaculture"
7010446216104013295,JtonTQEAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,3211,"optimization, mineral processing, process design, cleaner production, lithium processing"
7010446216104013295,WADiFbIAAAAJ,"Centro de Astronomía, Universidad de Antofagasta",uantof,@uantof.cl,3133,Astronomy
7010446216104013295,knz5fzUAAAAJ,"Universidad de Antofagasta, Chile",uantof,@uantof.cl,3082,Microbiology of the Atacama Desert.
7010446216104013295,W4mUxWgAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,2650,"cristallography, material science, thermal energy storage, solar"
7010446216104013295,6HwOBdMAAAAJ,Universidad de Antofagasta Instituto Ciencias Naturales Alexander von Humboldt,uantof,@uantof.cl,2568,"Parasitologia marina, ecologia, evolucion"
7010446216104013295,vCSue8kAAAAJ,Profesor de Parasitología y Biología Molecular. Universidad de Antofagasta - CHILE,uantof,@uantof.cl,2445,Biología Molecular de Microorganismos
7010446216104013295,4BjXq7UAAAAJ,Académico Jornada Completa Universidad de Antofagasta Chile,uantof,@uantof.cl,2389,Responsabilidad Social Universitaria
7010446216104013295,J2Y_dfEAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,2281,Teoría de Distribuciones
7010446216104013295,JGCbLoIAAAAJ,University of Antofagasta,uantof,@uantof.cl,2090,Microbial ecology
7010446216104013295,MM7KOwgAAAAJ,"Profesora Asociada, Universidad de Antofagasta",uantof,@uantof.cl,1995,"Virología, Microbiología e Inmunología"
7010446216104013295,l70tt04AAAAJ,Profesor Titular Universidad de Antofagasta,uantof,@uantof.cl,1765,"biologia de poblaciones, evolucion, genetica, ecologia, mejora genetica"
7010446216104013295,vJMIsS4AAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,1369,"Mycology, Molecular biology, taxonomy, phylogeny"
7010446216104013295,jUC4aigAAAAJ,"Académico, Universidad de Antofagasta",uantof,@uantof.cl,1323,"Sedimentología y geoquímica acuática: Paleoceanografía, Contaminación, Gestión ambiental"
7010446216104013295,8BtP4gIAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,1260,"microalgae, microbiology, biotechnology"
7010446216104013295,BvshstEAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,1159,Biotecnología
7010446216104013295,dFoSID4AAAAJ,"Professor, Instituto de Ciencias Naturales AvH; Universidad de Antofagasta",uantof,@uantof.cl,1128,"Microbiology, mollusk aquaculture, pearl culture"
7010446216104013295,KqHnyOcAAAAJ,"Profesor asistente, Universidad de Antofagasta",uantof,@uantof.cl,1142,"Solar Energy, Territorial Characterization, Solar Resource Assessment, Soiling, Radiometry"
7010446216104013295,Fu88dZwAAAAJ,Universidad de Antofagasta,uantof,@uantof.cl,1104,"Microbiologia, Ficologia, ecologia, biotecnologia"
7010446216104013295,1lb5Y_AAAAAJ,"University of Antofagasta, Chile.",uantof,@uantof.cl,1074,"Aquatic Toxicology, EDCs, Genomics, Biomarkers"
