organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
6219877915722792960,JlzNJMwAAAAJ,Universidad de Santiago de Chile and Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,24080,"Physical activity, sedentary behavior, cardiovascular disease, outcomes"
6219877915722792960,5_igyE0AAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,20170,
6219877915722792960,r5p8NjYAAAAJ,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad Autónoma de Chile",uautonoma,@uautonoma.cl,15843,medicinal chemistry
6219877915722792960,W84_jn8AAAAJ,Investigador Asociado Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,13712,"Public Health, Obesity, epidemiology"
6219877915722792960,kRU66jcAAAAJ,"Facultad de Administración y Negocios, Universidad Autónoma de Chile",uautonoma,@uautonoma.cl,11694,Economía de la salud
6219877915722792960,ipXR43cAAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,11171,"Proyectos, Inversiones, finanzas, riesgo"
6219877915722792960,_ylp9VoAAAAJ,Investigador Asociado de la Facultad de Ciencias de la Salud. Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,9557,"implantes dentales, dentin grinder, biomateriales"
6219877915722792960,nudlAZkAAAAJ,Investigador asociado Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,9512,Morphology
6219877915722792960,URXc4NcAAAAJ,"Catedrático de Psicología, Universidad Autónoma de Chile",uautonoma,@uautonoma.cl,6027,
6219877915722792960,EkOGlRoAAAAJ,Professor of Artificial Intelligence (CUNEF University) and Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,5433,"eXplainable Artificial Intelligence, Distributed Artificial Intelligence, Reservoir computing, Quantum computing, Causal Machine"
6219877915722792960,wxtHhz4AAAAJ,Académico Senior Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,5044,"Estrés biótico y abiótico en plantas, biotecnología"
6219877915722792960,RDDQKZoAAAAJ,"Associate professor, Centro de Investigación Biomédica, Universidad Autónoma de Chile",uautonoma,@uautonoma.cl,4867,"Neuroscience, biology, oxidative stress, mitochondria, confocal micrsocopy"
6219877915722792960,5t_VevUAAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,4742,"Educación, flipped classroom."
6219877915722792960,cTdEXM8AAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,4728,
6219877915722792960,NXY-GuMAAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,4248,"Carbon Materials, Nanotechnology, Energy, Photocatalysis, Natural Gas"
6219877915722792960,xvvtA0QAAAAJ,"Investigador Asociado Universidad Autonoma de Chile  and  CAECHIS-UAI-CONICET,  Buenos Aires",uautonoma,@uautonoma.cl,4029,Neurosciences
6219877915722792960,36QrISgAAAAJ,Universidad Autónoma de Chile,uautonoma,@uautonoma.cl,3981,Neuroscience  Neurodegeneration   Pharmacology
