organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
7459009050823923712,OmsvZIkAAAAJ,"Escuela de Gobierno, Pontificia Universidad Católica de Chile",uc,@uc.cl,108628,"Population health, health economics, modeling, poverty and inequality, infectious diseases"
7459009050823923712,Ys0ezMUAAAAJ,Pontificia Universidad Católica de Chile,uc,@uc.cl,66437,"AGN, SMBHs, Galaxies"
7459009050823923712,RCYlSE0AAAAJ,Pontificia Universidad Católica de Chile,uc,@uc.cl,43728,"Astrophysics, Supernovae, Cosmology, Education"
7459009050823923712,sTtUkYQAAAAJ,Department of Public Health/School of Medicine/Pontificia Universidad Católica de Chile,uc,@med.puc.cl,42928,Epidemiology
7459009050823923712,fC3uEL8AAAAJ,"Profesor de Cardiología, Pontificia Universidad Catolica de Chile",uc,@med.puc.cl,35473,Cardiologia
7459009050823923712,V6M51_0AAAAJ,"Departamento de Gastroenterología, Pontificia Universidad Católica de Chile",uc,@med.puc.cl,33031,"gastroenterology, gallstones, biliary lipids, metabolism, cholesterol"
7459009050823923712,XNYtQyUAAAAJ,"Professor, Pontificia Universidad Católica de Chile",uc,@bio.puc.cl,31308,"ecology, forest science, ecosystem science, earth science"
7459009050823923712,pnVP9X8AAAAJ,Pontificia Universidad Catolica de Chile,uc,@bio.puc.cl,29706,
7459009050823923712,dxP4ya8AAAAJ,Pontificia Universidad Católica de Chile,uc,@med.puc.cl,28205,Maternal-Fetal Medicine
7459009050823923712,m-ZpN6kAAAAJ,Pontificia Universidad Catolica de Chile,uc,@med.puc.cl,28204,"Public Health, Epidemiology, chronic respiratory epidemiology, COPD, Asthma"
7459009050823923712,B0JgDB4AAAAJ,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute",uc,@bio.puc.cl,26963,"Macroecology, theoretical ecology, Complex systems, Global change, Conservation"
7459009050823923712,UnjDitsAAAAJ,P. Universidad Catolica de Chile,uc,@bio.puc.cl,25616,"Rocky interidal, Conservation-MPAs, Invasive species, Humam impacts"
7459009050823923712,F_E2008AAAAJ,Universidad Católica de Chile,uc,@med.puc.cl,23008,medicina
7459009050823923712,yARn0BEAAAAJ,"Associate Professor, School of Communications, Pontificia Universidad Católica de Chile",uc,@uc.cl,20559,"Political Communication, Comunicación Política, Social Media, Digital Journalism, Periodismo Digital"
7459009050823923712,HumYTToAAAAJ,Pontificia Universidad Catolica de Chile,uc,@ing.puc.cl,18558,"transport, urbanism, econometrics"
7459009050823923712,wehnRfwAAAAJ,"Professor of Ecology, Catholic University of Chile",uc,@bio.puc.cl,18277,"Community Ecology, Conservation Ecology, Invasion Ecology, Ecosystems"
7459009050823923712,lXNC_YwAAAAJ,"Pontificia Universidad Catolica, Chile",uc,@astro.puc.cl,18005,"Active Galactic Nuclei, Supermassive Black Holes, Galaxy Evolution"
7459009050823923712,lq6eUvUAAAAJ,"Profesor Neurociencias Cognitivas, Pontificia Universidad Catolica de Chile",uc,@uc.cl,17486,"visual perception, consciousness research, signal processing"
7459009050823923712,wJZsuVsAAAAJ,"CAPES & Departamento de Ecología, Universidad Católica de Chile",uc,@bio.puc.cl,15386,"ecological and evolutionary physiology, environmental and comparative physiology, behavioral ecological physiology, global chang"
7459009050823923712,u5s5rvwAAAAJ,Pontificia Universidad Catolica de Chile,uc,@uc.cl,14864,"asthma, recurrent wheezing, bronchiolitis, respiratory tract infections"
7459009050823923712,j9U2cmMAAAAJ,Pontificia Universidad Católica de Chile,uc,@astro.puc.cl,14566,
7459009050823923712,ctaapjIAAAAJ,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile,uc,@uc.cl,14472,"Neurosciences, Neuron-Glia Crosstalk, Neurodegeneration"
7459009050823923712,qPbyi4AAAAAJ,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE. Professor  and Chair Department  of Pathology.,uc,@med.puc.cl,12664,"Gallbladder cancer, Biomarkers, Liquid biopsy, Carcinogenesis"
7459009050823923712,zKVI7EIAAAAJ,"Ingeniería Eléctrica, Pontificia Universidad Catolica de Chile",uc,@ing.puc.cl,12114,"Power Electronics, Electric Traction"
7459009050823923712,_qRLuzEAAAAJ,Pontificia Universidad Catolica de Chile,uc,@bio.puc.cl,12182,community ecology
7459009050823923712,FS7n2eUAAAAJ,Pontificia Universidad Católica de Chile,uc,@puc.cl,12016,"Neuroscience, cognitive and comparative, neuroanatomy"
7459009050823923712,AcIVuwMAAAAJ,"Laboratorio de Química Teórica Computacional (QTC), Pontificia Universidad Catolica de Chile",uc,@puc.cl,11262,"Quantum chemistry, Conceptual DFT, Chemical reactivity, computational chemistry"
7459009050823923712,YHR0wkkAAAAJ,"Professor of Computer Science, Pontificia Universidad Católica de Chile and IMFD Chile.",uc,@ing.puc.cl,11232,"Database theory, logic in computer science, semantic Web"
7459009050823923712,INBSXpMAAAAJ,Pontificia Universidad Catolica de Chile,uc,@ing.puc.cl,11011,"Computers in Education, Collaborative Learning, Critical Thinking, Creativity, Grit"
7459009050823923712,S_kyOjsAAAAJ,Pontificia Universidad Catolica de Chile,uc,@bio.puc.cl,11162,ecology
