organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
9232372474901008384,_dRgKD8AAAAJ,Universidad de Chile,uchile,@dcc.uchile.cl,97887,"Neurobiology, Cognition, Autopoiesis, Language, Education"
9232372474901008384,pSY7g_YAAAAJ,"Research Institute of Dental Science  Faculty of Dentistry, University of Chile",uchile,@u.uchile.cl,32863,"Cellular Biology, Cancer"
9232372474901008384,9EwBymgAAAAJ,"Profesor de Astronomía, Universidad de Chile",uchile,@u.uchile.cl,29927,
9232372474901008384,_fx52FkAAAAJ,University of Chile,uchile,@dcc.uchile.cl,28529,"algorithms and data structures, text searching, compression, similarity search"
9232372474901008384,SJUEA8uk4iYC,Profesor de Economía Universidad de Chile,uchile,@fen.uchile.cl,26512,"Macroeconomics, International Economics, International Finance, Economic Development"
9232372474901008384,_07ZLa4AAAAJ,"Professor, Molecular & Clinical Pharmacologt, Faculty of Medicine, University of Chile",uchile,@med.uchile.cl,20822,"neuroscience, toxicology, biochemistry, molecular biology, stem cells"
9232372474901008384,l2TIoXkAAAAJ,Universidad de Chile,uchile,@ciq.uchile.cl,20054,Cardiovascular Disease Inflammation
9232372474901008384,HmELI5UAAAAJ,"Professor, Geophysics Department, Universidad de Chile",uchile,@uchile.cl,19030,Atmospheric Sciences
9232372474901008384,tFVzdokAAAAJ,Universidad de Chile,uchile,@uchile.cl,16489,"Alpine ecology, pollination, biogeography, conservation"
9232372474901008384,GTiVKRcAAAAJ,Universidad de Chile,uchile,@med.uchile.cl,15397,"cardiovascular, calcium signaling"
9232372474901008384,cgjx6tMAAAAJ,"Profesor de Bioquímica, Facultad de Medicina, Universidad de Chile",uchile,@med.uchile.cl,15072,"Estrés oxidativo, mecanismos de daño y protección hepáticos"
9232372474901008384,lu8PRvkAAAAJ,"Profesor de Astronomía, Universidad de Chile",uchile,@das.uchile.cl,14700,"Radioastronomía, Instrumentación Astronómica"
9232372474901008384,Xf_ulNAAAAAJ,universidad de chile,uchile,@uchile.cl,14656,urbanismo
9232372474901008384,BgkzLTUAAAAJ,Faculty of Dentistry. University of Chile,uchile,@odontologia.uchile.cl,13019,"Cellular and Molecular Biology, Autophagy, Neurodegenerative Diseases, Obesity and derived affections, Oral diseases"
9232372474901008384,R86WqdoAAAAJ,Universidad de Chile,uchile,@inta.uchile.cl,11839,"Obesity, adipose tissue dysfunction, calcium sensing receptor"
9232372474901008384,cxaipVoAAAAJ,Universidad de Chile,uchile,@uchile.cl,11729,"Biología celular, Biología del Desarrollo, Biología Molecular"
9232372474901008384,1g7H4ToAAAAJ,"Department of economics, University of Chile",uchile,@fen.uchile.cl,11081,"Economic development, environmental economics"
9232372474901008384,WboqEP8AAAAJ,"Professor of Cell and Molecular Biology, University of Chile",uchile,@med.uchile.cl,11002,"signal transduction, cancer, cell death"
9232372474901008384,v1yWwKUAAAAJ,"Assistant Professor of Astronomy, Universidad de Chile",uchile,@das.uchile.cl,10813,"Planet Formation, Protoplanetary Disks"
9232372474901008384,yoH4l0UAAAAJ,Universidad de Chile,uchile,@das.uchile.cl,10556,astrophysics
9232372474901008384,BgXxxS8AAAAJ,"Programa de Farmacología Molecular y Clínica, Instituto de Ciencias Biomédicas, Facultad de Medicina, Universidad de Chile",uchile,@med.uchile.cl,10469,Estrés Oxidativo
9232372474901008384,bmtKa3sAAAAJ,"departamento de geografia, universidad de chile",uchile,@uchile.cl,10340,glaciology
9232372474901008384,ecwhM0oAAAAJ,"Electrical Engineering Department, University of Chile",uchile,@ing.uchile.cl,10070,"Power Electronics, Electric Drives, Wind Energy, Renewable Energy"
9232372474901008384,2BLPkosAAAAJ,"Industrial Engineering, Universidad de Chile",uchile,@dii.uchile.cl,9999,"operations research, optimization"
9232372474901008384,jzeqUi4AAAAJ,"Computer Science Department, Universidad de Chile",uchile,@dcc.uchile.cl,10031,"Data, Knowledge Graphs, Databases, Semantic Web, RDF"
9232372474901008384,xXkuYEEAAAAJ,"University of Chile, Karolinska institutet, Manheim",uchile,@med.uchile.cl,9845,"Neuroscience, Pharmacology"
9232372474901008384,zugBuscAAAAJ,"Assistant Professor, Astronomía, Universidad de Chile",uchile,@das.uchile.cl,9795,"Active Galactic Nuclei, blazars, radio astronomy, time domain astronomy, time series analysis"
9232372474901008384,gOj959UAAAAJ,"Full Professor, Universidad de Chile",uchile,@u.uchile.cl,9731,Astronomy
9232372474901008384,-8-ZtOEAAAAJ,Professor of Learning Technologies and Human-Computer Interaction at the University of Chile,uchile,@uchile.cl,9643,"Learning Technologies, Computers in Education, Human-Computer Interaction, Technology for People with Disabilities"
9232372474901008384,5ntc1PMAAAAJ,Universidad de Chile,uchile,@cec.uchile.cl,9613,"Power Systems, Renewables, Solar Energy, Microgrids, Energy Markets"
9232372474901008384,sSEH1OAAAAAJ,Profesora Universidad de Chile,uchile,@uchile.cl,9592,"Educación, Politicas"
9232372474901008384,PWLh77oAAAAJ,"Professor of Economics, University of Chile.",uchile,@fen.uchile.cl,9416,"economics, statistics"
9232372474901008384,EqeZJ10AAAAJ,University of Chile,uchile,@uchile.cl,9203,"Soil-Plant-Water Relations, Plant Breeding, Agronomy"
9232372474901008384,tTMtjNUAAAAJ,Universidad de Chile,uchile,@uchile.cl,8666,Quaternary paleoecology paleoclimatology
9232372474901008384,UeodjIAAAAAJ,Universidad de Chile: Centro de Investigación Avanzada en Educación y Departamento de Sociología,uchile,@ciae.uchile.cl,8657,"Educación, Política Educacional, Sociología de la Educación"
9232372474901008384,KWObrhMAAAAJ,"Professor, University of Chile",uchile,@uchile.cl,8416,Functional genomics
9232372474901008384,uByOqqwAAAAJ,"Dept. Neurosciences, BNI, CEMC, ICBM, F. Medicine, Universidad de Chile",uchile,@med.uchile.cl,8338,"Calcium signaling, calcium release channels, redox regulation"
9232372474901008384,Ru_N1TkAAAAJ,"Profesor Titular, Universidad de Chile",uchile,@uchile.cl,8045,Fisiología Muscular
9232372474901008384,KhO5OwkAAAAJ,"Professor of Geology, Universidad de Chile",uchile,@ing.uchile.cl,7950,"Economic Geology, Geochemistry, Earth Science"
9232372474901008384,8nL6ZKsAAAAJ,Universidad de Chile,uchile,@u.uchile.cl,7806,química
9232372474901008384,mYN1dVQAAAAJ,"Center for Mathematical Modeling, University of Chile",uchile,@dim.uchile.cl,7861,"Ergodic Theory, Topological Dynamics, Symbolic Dynamics, Bioinformatics"
9232372474901008384,2_o6_SkAAAAJ,"Profesor de Nutrición, Universidad de Chile",uchile,@inta.uchile.cl,7809,micronutrients
9232372474901008384,MJ8rA_8AAAAJ,Universidad de Chile,uchile,@inta.uchile.cl,7865,"Nutrition, Public Health, Growth"
9232372474901008384,bILoTH4AAAAJ,"Full Professor, Facultad de Medicina, Universidad de Chile",uchile,@med.uchile.cl,7690,"immunology, inflammation"
9232372474901008384,F77BFPkAAAAJ,"Full Professor, Universidad de Chile",uchile,@inta.uchile.cl,7483,"Antioxidants, Polyphenols, Oxidative stress"
9232372474901008384,sv8m9q4AAAAJ,Universidad de Chile,uchile,@dii.uchile.cl,7428,"Operations Research, Logistics, Integer Programming, Transportation, System Analysis"
9232372474901008384,cgxUZv0AAAAJ,"Professor of Transport Economics, Universidad de Chile",uchile,@ing.uchile.cl,7396,Transport Economics
9232372474901008384,jTWJYbEAAAAJ,Universidad de Chile,uchile,@das.uchile.cl,7392,"Exoplanets, Astrophysics"
9232372474901008384,RRxHKGMAAAAJ,"Professor, Universidad de Chile, Advanced Center for Chronic Diseases (ACCDiS)",uchile,@ciq.uchile.cl,7193,"nanomedicine, drug delivery, peptides, Chronic diseases"
9232372474901008384,WzCAULkAAAAJ,"Professor of Industrial Engineering, Universidad de Chile",uchile,@dii.uchile.cl,7090,"Operations Research, Data Mining, Business Analytics, Data Science"
9232372474901008384,gGy4EK8AAAAJ,"Professor, Universidad de Chile. Director, Center for Genome Regulation",uchile,@uchile.cl,7077,"Genomics, Developmental Biology, Regeneration"
9232372474901008384,Qk3qyJEAAAAJ,Universidad de Chile,uchile,@uchile.cl,7155,"Forest ecology, Biogeography, Forest dynamics, Nature conservation, Global Change"
9232372474901008384,OM6_4PQAAAAJ,Universidad de Chile,uchile,@uchile.cl,6942,"Neurology, neuroscience, cognitive neurology"
9232372474901008384,zstvWCgSQ8YC,"DCC, Universidad de Chile; IMFD",uchile,@dcc.uchile.cl,6980,"semantic web, linked data, knowledge graphs"
9232372474901008384,x3EwWlgAAAAJ,"Professor of Astronomy, Universidad de Chile",uchile,@das.uchile.cl,6843,"Astrophysics, intergalactic medium, gravitational lensing"
9232372474901008384,ht2jo50AAAAJ,"Dpt. of Nutrition, Fac. of Medicine, University of Chile",uchile,@med.uchile.cl,6923,"Human Nutrition, Digestive physiology"
