organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
12968600147058255872,JGTUORMAAAAJ,"Profesor Titular, Universidad Católica del Maule",ucm,@ucm.cl,3234,"Advanced glycation, Tumor microenvironment, Inflammation"
12968600147058255872,bcP4IRcAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,2285,"Functional genomics, secondary metabolites, bioreactors, metagenomics"
12968600147058255872,pAWGl5IAAAAJ,"Facultad de Educación, Universidad Católica del Maule",ucm,@ucm.cl,1923,"Motivación, Aprendizaje, Pensamiento crítico, Formación de profesores, Motivation"
12968600147058255872,FlCuQzMAAAAJ,"Associate Professor of Sociology, Universidad Católica del Maule",ucm,@ucm.cl,1887,"urbaqn sociology, urban theory, consumption, shopping malls, gated communities"
12968600147058255872,02UZy1cAAAAJ,"Facultad de Medicina, Universidad Catolica del Maule",ucm,@ucm.cl,1812,"Tumor Microenvironment, Inflammation, Adenovirus"
12968600147058255872,0oV8KloAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1718,"Resiliencia, Jóvenes, Familia"
12968600147058255872,EELsGB8AAAAJ,"CINPSI Neurocog, Universidad Católica del Maule",ucm,@ucm.cl,1708,"Public health, environmental exposure, pesticides, neurocognitive functioning, disability and quality of life"
12968600147058255872,k7Es23wAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1663,"Educación Estadística, Statistics Education, Educação Estatística"
12968600147058255872,DC-1QokAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1474,Actividad Física y Salud
0,dfRIBfsAAAAJ,"Assistant Professor, Universidad Católica del Maule, UCM.",ucm,,1396,"Cardiovascular Basic Science, Biochemistry, Organic Synthesis, Molecular and Cell Biology"
12968600147058255872,feMshoAAAAAJ,"Departamento de Psicología, Universidad Católica del Maule",ucm,@ucm.cl,1420,"Historia de la Psicología, Psicología educacional, Bibliometría"
12968600147058255872,Th2-4-sAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1317,"Evolutionary Biology, Ecology, Entomology, Morphometrics, Geometric Morphometrics"
12968600147058255872,SoZ70swAAAAJ,"Full Professor, Universidad Católica del Maule",ucm,@ucm.cl,1307,"Microbial Genomics, Microbial Ecology"
12968600147058255872,mw-tSeUAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1230,"Neuropsychology, environmental exposures, eeg, neuroscience"
12968600147058255872,sGOz_P4AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1158,Sustainable Development
12968600147058255872,Ykqe_iAAAAAJ,"Académico, Universidad Católica del Maule",ucm,@ucm.cl,1122,"Reading motivation, Learning from texts, Pedagogy in Higher Education, Teacher training"
12968600147058255872,aZYMfXYAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1080,"pedagogía dialógica, currículum, innovación, formación docente, investigación dialógica-kishu kimkelay ta che"
12968600147058255872,7wVH0GYAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1070,
6219877915722792960,ot0KdjcAAAAJ,"Instituto de Ciencias Químicas Aplicadas, Facultad de Ingeniería, Universidad Autónoma de Chile",ucm,@uautonoma.cl,1092,"Microbiology, Conservation, Extremophiles, Exopolysaccharides, Bioinformatics"
12968600147058255872,58Z5pQ8AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,1054,"Enfermería, Seguridad y Salud en el Trabajo"
12968600147058255872,umc3UiAAAAAJ,Profesora full time Universidad Católica del Maule,ucm,@ucm.cl,956,"multivariate regression models, diagnostic, univariate and multivariate Birnbaum-Saunders distributions, statistical quality con"
12968600147058255872,sG7AvpsAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,999,"Ciencias sociales, metodología de la investigación, sociología de la ciencia, educación superior, sociología de la alimenta"
12968600147058255872,1b_1DJQAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,950,"Profesión docente, formación de profesores, didáctica"
12968600147058255872,jK4070gAAAAJ,"Professor (Associate), Universidad Católica del Maule, Chile",ucm,@ucm.cl,914,Chemistry
12968600147058255872,00nrzJ8AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,914,"Physical Activity, Erderly, Functional Fitness, Physical Independence"
12968600147058255872,q4atNYgAAAAJ,"Laboratory of Technological Research in Pattern Recognition (LITRP), Universidad Católica del Maule",ucm,@ucm.cl,887,"Image Processing, Pattern Recognition, Biometrics"
12968600147058255872,fMr-RFAAAAAJ,"Profesor Adjunto, Universidad Católica del Maule",ucm,@ucm.cl,857,"H. pylori, cancer, anti-glycaciòn"
12968600147058255872,ojn8A_4AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,789,
12968600147058255872,FTfsRKsAAAAJ,"Associate Professor - School of Civil Engineering - Universidad Católica del Maule (Talca, Chile)",ucm,@ucm.cl,713,"Wastewater treatment, Constructed wetlands, Water Quality Modelling, Statistics"
12968600147058255872,BtePYlMAAAAJ,Universidad Catolica del Maule,ucm,@ucm.cl,645,"Bioinformatics, Genomics, Microbiology, Cancer, Diagnosis"
12968600147058255872,UEYy-YIAAAAJ,"Doctor en Educación, Magister en Política y Gestión Educacional, Universidad Católica del Maule",ucm,@ucm.cl,650,"Formación de profesores, práctica profesional, reflexión pedagógica"
12968600147058255872,keKcSfsAAAAJ,"FACSE, Universidad Católica del Maule",ucm,@ucm.cl,634,"sociología política, movimientos sociales, protestas, activismo, cultura"
12968600147058255872,lDg38rEAAAAJ,Universidad Católica del Maule - Facultad de Ciencias de la Educación - GEEAFyS,ucm,@ucm.cl,650,"Actividad Física y Salud, Physical Activity and Health, Sedentary Behaviour, Physical activity, Physical education"
12968600147058255872,tm-loNIAAAAJ,"Profesor Adjunto, Universidad Catolica del Maule",ucm,@ucm.cl,562,"cancer, transduccion de senales, inflamacion"
12968600147058255872,iIp-mKIAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,538,"Microbial ecology, Bacteriophages, Biotecnology"
12968600147058255872,HE59AJcAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,537,"Psycholinguistics, Word Learning, Cognitive and Educational Neuroscience"
12968600147058255872,AwgzNeUAAAAJ,Facultad de Ciencias de la Educación. GEEAFyS. Universidad Católica del Maule.,ucm,@ucm.cl,573,"Formación Inicial Docente, Educación Ambiental, Actividades en la Naturaleza, Educación Física Escolar"
12968600147058255872,HL15PE4AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,548,"Responsabilidad social, Gobierno corporativo, Educación, Gestión organizacional, Sustentabilidad"
12968600147058255872,YIlol1QAAAAJ,"Académico Dpto. de Psicología, Universidad Católica del Maule. [ORCID ID: 0000-0002-1698-6949]",ucm,@ucm.cl,541,"Drogas, Adicciones, Psicooncología, Adolescencia, Gerontología"
12968600147058255872,gvVZsegAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,513,"evapotranspiration, remote sensing applications, irrigation"
12968600147058255872,MyFtz2gAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,530,polymer
12968600147058255872,3fc9RAIAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,513,"familias rurales, investigación cualitativa, masculinidades"
12968600147058255872,YQquucEAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,517,"Motivation, Teacher training, schools and families"
12968600147058255872,-rVs6k8AAAAJ,Universidad Catolica del Maule,ucm,@ucm.cl,504,Cancer
12968600147058255872,jQjjkxEAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,520,"Actividad Física, desarrollo motor, rendimiento motor"
12968600147058255872,8uNTqnAAAAAJ,Universidad Católica del Maule (Director of DM2A-UCM),ucm,@ucm.cl,513,"Impulsive Differential Equations, Mathematical Biology"
12968600147058255872,0l8GCFEAAAAJ,Investigadora Universidad Católica del Maule,ucm,@ucm.cl,488,"genotoxicología, teratogénesis, exposición ambiental, epidemiología"
12968600147058255872,GxgFrbAAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,479,
12968600147058255872,5ufOADwAAAAJ,Profesor de Kinesiología Universidad Católica del Maule,ucm,@ucm.cl,468,Función y Disfunción Ventilatoria
12968600147058255872,bGhpjO0AAAAJ,"UNIVERSIDAD CATOLICA DEL MAULE, Catholic of Maule University",ucm,@ucm.cl,456,"psicología de la salud, conductas de salud, prevención en salud y salud mental en adolescentes, (he"
12968600147058255872,RN8VGfoAAAAJ,Departamento de Economía y Administración. Universidad Católica del Maule,ucm,@ucm.cl,470,"Consumer behaviour, Food Marketing"
12968600147058255872,YmyKpFAAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,449,"Comunicación Animal, Neuroetología, Evolución"
12968600147058255872,G_-vAEcAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,446,Química
12968600147058255872,MZupmEAAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,446,"Black Holes, Mathematics"
12968600147058255872,tEkHcbYAAAAJ,"Académico, Universidad Católica del Maule",ucm,@ucm.cl,436,Procesos sustentables
12968600147058255872,HNNySGwAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,403,biocompuestos
12968600147058255872,8oOK88cAAAAJ,"Académico, Universidad Católica del Maule",ucm,@ucm.cl,410,"Paleontology, Geology, Fossils, Macroevolution, Mammals"
12968600147058255872,BC1CUIYAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,418,"Molecular Dynamics Simulations, Hollow Nanoparticles, nanospheres, Radiation Damage."
12968600147058255872,VDMnj_EAAAAJ,"Académico, Universidad Católica del Maule",ucm,@ucm.cl,399,Fisioterapia
12968600147058255872,k4HmiqoAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,398,"discourse analysis, sociolinguistics, workplace communication research, healthcare communication research"
12968600147058255872,N-tZwjYAAAAJ,Director de Planificación y Desarrollo Universidad Católica del Maule,ucm,@ucm.cl,363,"Currículo, gestión universitaria, desarrollo moral"
12968600147058255872,Q_N-ggQAAAAJ,Universidad Catolica del Maule,ucm,@ucm.cl,366,"Artificial Intelligence, Machine Learning, Pattern Recognition"
12968600147058255872,sldoc_oAAAAJ,"UNIVERSIDAD CATÓLICA DEL MAULE, CHILE",ucm,@ucm.cl,379,"FUNCIONES EJECUTIVAS, TRASTORNOS DEL LENGUAJE"
12968600147058255872,CPi7LVkAAAAJ,Profesor Universidad Catolica del Maule,ucm,@ucm.cl,349,"Territorialidades, comunidades, acción colectiva"
12968600147058255872,2vAXZeUAAAAJ,"Assistant Professor, Universidad Católica del Maule.",ucm,@ucm.cl,337,"Genetics, Microevolution, Ecology, Conservation, Biodiversity"
12968600147058255872,K0wWl2UAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,351,"Biopolímeros, bioprocesos, biorremediación"
12968600147058255872,cvu8RwcAAAAJ,Universidad Católica del Maule. Centro de Investigaciones de Estudios Avanzados del Maule - CIEA,ucm,@ucm.cl,329,Marine biogeochemistry and micirobial ecology
12968600147058255872,7vmPu5UAAAAJ,"Academic Researcher, Universidad Católica del Maule",ucm,@ucm.cl,336,"Computer Vision, Biometrics, Pattern Recognition, Image & Video Recognition"
12968600147058255872,ep2jd8sAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,324,"Modelos Numéricos, Instrumentação Meteorológica, Meteorologia Urbana, Sustentabilidade, Hidrologia"
12968600147058255872,0RSZpbYAAAAJ,"Investigador, Universidad Católica del Maule",ucm,@ucm.cl,292,"Trophic modelling, Emergy, Energy Systems Theory, Systems Ecology"
12968600147058255872,9reg2NAAAAAJ,"Departamento de Psicología, Facultad de Ciencias de la Salud - Universidad Católica del Maule",ucm,@ucm.cl,290,Psicologia Educacional
12968600147058255872,vBLRoHQAAAAJ,"Academic Researcher, Universidad Católica del Maule (UCM), Chile",ucm,@ucm.cl,282,"Bioinformatics, Computational chemistry, Protein structure, Computer-aided drug design, Software development"
12968600147058255872,jfbrN-EAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,279,"Coastal Engineering, Climate Change, Coastal Processes, Coastal erosion"
12968600147058255872,Nu4mF2kAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,281,"Envejecimiento, gerontología, roles sociales, cultura, trabajo social"
12968600147058255872,76exQxoAAAAJ,"Research Fellow at CIEAM, Universidad Católica del Maule, Chile",ucm,@ucm.cl,288,"Spatial and Spatio-Temporal modelling of infectious diseases, Vector-borne diseases, Epidemiology, Public Health, One-Health"
12968600147058255872,mpFXK6YAAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,291,"Fitness cardiorrespiratorio, actividad física y salud"
12968600147058255872,yBLRI48AAAAJ,Universidad Católica del Maule,ucm,@ucm.cl,268,"Seismology, Earthquakes, Seismic_Source"
12968600147058255872,MLJjWJcAAAAJ,"Académico, Universidad Católica del Maule",ucm,@ucm.cl,254,"Agricultura de Precisión, geoestadística, análisis multivariado, fuzzy logic, GIS"
