organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
3702576657308349952,burjvaoAAAAJ,"Universidad Católica de la Santísima Concepción, Departamento de Matemática y Física Aplicadas",ucsc,@ucsc.cl,3889,"Exoplanets, Stellar activity, radial velocities, M dwarfs"
3702576657308349952,sDm6OpcAAAAJ,"Departamento de Química Ambiental, UCSC",ucsc,@ucsc.cl,3006,Química
3702576657308349952,1nTAQfsAAAAJ,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,2982,"Marine Biology, Ecology, Biogeography, Ecoacoustics, Bioacoustics"
3702576657308349952,WkGN7u4AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,2855,"Nutrición y Dietética, Conductas alimentarias durante el curso de la vida, Nutrición gerontológica"
3702576657308349952,uQ16sMcAAAAJ,Universidad Catolica de la Santisima Concepción,ucsc,@ucsc.cl,2783,electronica de potencia
3702576657308349952,Z-t7kV4AAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,2666,Ecología del parasitismo
3702576657308349952,auyTL1YAAAAJ,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima Concepcion",ucsc,@ucsc.cl,2647,"Marine ecology, Biogeography"
3702576657308349952,SaoUt94AAAAJ,Departamento de Ecología Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,2356,"Bryozoology, ecophysiology, reproductive ecology"
3702576657308349952,pTVqu9oAAAAJ,Universidad Catolica de la Santisima Concepcion,ucsc,@ucsc.cl,1826,"Biogeochemistry, (paleo) environmental studies"
3702576657308349952,m4jvShcAAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,1689,"Hydrology, Landscape Ecology, Conservation, Aquaculture"
3702576657308349952,OGIPogoAAAAJ,"Profesor de Química Orgánica, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,1347,"Advanced Oxidation processes, photocatalysis, persulfate, Dyes, biorremediation"
3702576657308349952,B0uM4ygAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,1311,Soil and Groundwater contamination
3702576657308349952,YXOQkJMAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,1201,"High Energy Physics, Supergravity, Lie algebras expansion, Black Holes solutions"
3702576657308349952,aMXsCrUAAAAJ,"Universidad Católica de la Santísima Concepción, Chile.",ucsc,@ucsc.cl,1244,Educación
3702576657308349952,iFZFi38AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,1166,"High Energy Physics, Supergravity, Black Hole Solutions, Asymptotic symmetries, Extended gravity theories"
3702576657308349952,NCXvKt8AAAAJ,Universidad Católica de la Santisima Concepción,ucsc,@ucsc.cl,1098,"Microbiology, Biotechnology, Bioprocess"
3702576657308349952,vWcHDZwAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,1067,"Marine Bioinvasions, Marine Ecology, Molecular Ecology"
3702576657308349952,9OTmJegAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,884,"soil mechanics, geotechnics"
3702576657308349952,d2i5DA8AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,903,"International Entrepreneurship, Entrepreneurship, International Business, Strategic Organization"
3702576657308349952,4ibKCNwAAAAJ,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,850,"Marine biology, Evolutionary biology, Seaweeds, Speciation"
3702576657308349952,7zJNXH8AAAAJ,Dr. en Lingüística. Universidad Católica de la Santísima Concepción. Chile,ucsc,@ucsc.cl,826,"Escritura, escritura académica, alfabetización académica, fonética"
3702576657308349952,T_ut8sAAAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,796,Phycology
3702576657308349952,UUTBTGsAAAAJ,"Jefe Magíster en Ciencias Biomédicas, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,789,"bioquímica, genética, nutrición"
3702576657308349952,_ZXZKREAAAAJ,Universidad Católica de la Santísima Concepción - Depto. de Ing. Eléctrica - Profesor Asistente,ucsc,@ucsc.cl,768,Power Electronics - Multilevel Converters - THD minimization - FCS MPC - Asymmetric Inverters
3702576657308349952,sDydeeIAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,722,"Psicolingüística, aprendizaje lectoescritura, escritura académica, lenguaje y vejez"
3702576657308349952,shtOAtYAAAAJ,"Assistant Profesor of Computer Science, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,676,"Machine learning, Engineering education"
3702576657308349952,gdMo6ooAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,673,"Socioemotional Competencies, Self-regulation of learning, Teacher self-regulation, Educational Technology"
3702576657308349952,Y7eCcV8AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,651,"Experimental quantum information, Electro-optical devices applied in optical communications."
3702576657308349952,qEjTpH8AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,538,"Tsunami, Numerical modelling, earthquakes, subduction zones"
3702576657308349952,l9FrQOgAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,527,"psicologia de la salud, burnout, envejecimiento, relaciones intergeneracionales"
3702576657308349952,YMFen_EAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,518,"capital structure, corporate governance"
3702576657308349952,x5EJXkIAAAAJ,"Facultad de Ingenieria, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,498,"Metal Chalcogenides, Nanocomposites, Polymers, Photocatalysis, Electrochemical Applications"
3702576657308349952,ItO1qyUAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,484,"lingüística, análisis del discurso, educación, gramática"
3702576657308349952,v5pJAQ4AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,474,"leadership, professional learning communities, mathematics learning"
3702576657308349952,OgaSP0IAAAAJ,Universidad Catolica de la Santisima Concepcion,ucsc,@ucsc.cl,452,"Ecological genomics, evolutionary physiology, adaptation, phylogenetics and conservation biology"
3702576657308349952,BLViJtgAAAAJ,"Profesor Ingeniería Civil, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,453,"Hidráulica Fluvial, Transporte de Sólidos y Sustancias, Geomorfología Fluvial"
3702576657308349952,b8wHLzwAAAAJ,UNIVERSIDAD CATOLICA DE LA SANTISIMA CONCEPCION,ucsc,@UCSC.CL,440,ADQUISICION DE SEGUNDAS LENGUAS
3702576657308349952,y4Y9o6sAAAAJ,Universidad Católica de la Ssma. Concepción (UCSC),ucsc,@ucsc.cl,468,"Ecology, Parasitology, Infectious diseases, Zoonoses"
3702576657308349952,f8Jped8AAAAJ,"Universidad Católica de la Santísima Concepción, Chile",ucsc,@ucsc.cl,408,"Sustainability in Higher Education, Education for Sustainability (EFS), Didáctica de las Ciencias"
3702576657308349952,DsNBSF0AAAAJ,"Doctor en Educación, Universidad Católica de la Santísima Concepción, Chile.",ucsc,@ucsc.cl,398,Cognición y Lectura
3702576657308349952,wBHIQcUAAAAJ,Universidad católica de la santísima concepcion/Middlesex University London,ucsc,@ucsc.cl,412,"Banking, corporate governance"
3702576657308349952,CRDe1CkAAAAJ,"Professor, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,398,"green synthesis nanoparticles, solar photocatalysis, Fenton, wastewater"
3702576657308349952,rV7QC9cAAAAJ,"Associate Professor of Numerical Analysis, UCSC, Chile.",ucsc,@ucsc.cl,372,"Numerical method for PDE, FEM and mixed-FEM, stabilization, DG methods, Adaptivity"
3702576657308349952,aCoW21cAAAAJ,"Profesor de química, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,370,Historia de la Ciencia y Formación del Profesorado
3702576657308349952,mX2niHAAAAAJ,"Facultad de Ciencias, Universidad Católica de la Santísima Concepción, Chile.",ucsc,@ucsc.cl,339,"Marine Biology, Marine Ecology, Biological Oceanography, Coastal Oceanography"
3702576657308349952,tlh0YxkAAAAJ,Universidad Católica de la Santísima Concepción (Chile),ucsc,@ucsc.cl,362,Deporte - educación física - actividad física
3702576657308349952,149ClpwAAAAJ,Profesor Asistente (UCSC),ucsc,@ucsc.cl,352,"educación matemática, didáctica de las matemáticas, competencias matemáticas"
3702576657308349952,I_k3TvoAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,362,"Sustentabilidad, Emprendimiento, ODS"
3702576657308349952,h39DLB4AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,344,"oceanography, remote sensing, marine ecology"
3702576657308349952,sayWi3UAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,329,"Seismic source, Inverse methods, Early warning"
3702576657308349952,MXJeL4IAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,326,"Hidrología, Modelación Hidrológica, Evaluación de Modelos, Interacción de Cuencas"
3702576657308349952,7l49P3kAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,323,"educación, geología"
3702576657308349952,WnQHH7cAAAAJ,Instituto Milenio en Socioecología Costera (SECOS) y UCSC,ucsc,@ucsc.cl,313,"Interdisciplinary research, life histories, reproduction of marine invertebrates, poecilogony, artscience"
3702576657308349952,cScUhIkAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,322,"Liderazgo Educativo, Desarrollo Profesional Docente, Educación y Género"
3702576657308349952,ObdgODsAAAAJ,"Computer Science Department & CIBAS, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,310,"Software Product Lines, Software Architecture, e-Health, Persuasive Technology, Human-Computer Interaction"
3702576657308349952,i2i9nEYAAAAJ,"Profesor Asociado, Universidad Católica de la Santísima Concepción, Chile",ucsc,@ucsc.cl,277,"Structural dynamics, earthquake engineering, structural healht monitoring"
3702576657308349952,qnbCRf4AAAAJ,Universidad Catòlica de la Santìsima Concepciòn,ucsc,@ucsc.cl,275,Formaciòn docente/ practica reflexiva/ Saberes docentes
3702576657308349952,V84tGZ0AAAAJ,"Profesor Asistente, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,263,"Biología Molecular, Epigenética, Epidemiología de Aguas Residuales, Envejecimiento, Cáncer"
3702576657308349952,wqHM6S0AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,263,"Ciencias ambientales, zoología, ecología, conservación biológica"
3702576657308349952,0JvFR7QAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,257,Fisiología del Ejercicio
3702576657308349952,-WpYAIwAAAAJ,"Computer Science Department, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,257,"Instrumentation & Instruments, Automation and Control Systems, Energy & Fuels"
3702576657308349952,RJjyiwsAAAAJ,Universidad Católica de la Santisima Concepción,ucsc,@ucsc.cl,238,reproduction of fish
3702576657308349952,NHVScdwAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,244,"Genetics, Genomics, Metagenomics, Cancer, Leukemia"
3702576657308349952,GTS9Eo4AAAAJ,"Académico, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,219,"Psicología, Inclusión, Trabajo Colaborativo"
3702576657308349952,bBgY350AAAAJ,Universidad Católica de la Santisima Concepción,ucsc,@ucsc.cl,200,"Nonlinear Physics, nonlinear time series analysis, ANN, Chaos, Air Pollution"
3702576657308349952,XgFOpn0AAAAJ,"President, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,191,"Corporate Finance, Earnings Management, Real Activities Manipulation, Market Integration"
3702576657308349952,4yYInfgAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,184,
3702576657308349952,gtpbVOkAAAAJ,"Académico, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,182,"Enseñanza de las Ciencias, Formación de profesores, Naturaleza de la ciencia."
3702576657308349952,1ysn6QYAAAAJ,Universidad Catolica de la Santisima Concepcion,ucsc,@ucsc.cl,184,"System Engineering, Health Care, Disaster Management, Simulation, Information Fusion"
3702576657308349952,p9ur7sgAAAAJ,Universidad Católica de la Santísima Concepción (UCSC),ucsc,@ucsc.cl,175,"Comunicación, Información, Derecho a la Información, Deontología Periodística, Rutinas Periodísticas"
3702576657308349952,FflwRsUAAAAJ,Universidad Católica de la Santísima Concepción- Chile y CEBITEPAL-CELAM,ucsc,@ucsc.cl,175,Teología Sistemática - Ecumenismo - Teología Latinoamericana
3702576657308349952,B_Bcj0QAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,180,"Formación inicial del profesorado, identidad profesional docente, inclusión educativa"
3702576657308349952,wqQyjGUAAAAJ,"Profesor Asociado, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,170,Evaluación de aprendizajes
3702576657308349952,TMC60m4AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@medicina.ucsc.cl,144,"Medical Student, Infectious Diseases, Public Health, Epidemiology"
3702576657308349952,0CyObKQAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,128,"Polymers, nanocomposites, green chemistry, environmental chemistry, bioplastics"
3702576657308349952,Ir4sigIAAAAJ,"Universidad Católica de la Santísima Concepción, Chile",ucsc,@ucsc.cl,128,"History, History of Latin America, Comparative History, Contemporary History, Cold War"
3702576657308349952,mYSL-PEAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,117,Ecuaciones diferenciales ordinarias
3702576657308349952,qJp3I9oAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,116,"Entrepreneurship, Innovation management, Strategy"
3702576657308349952,4KIYA2EAAAAJ,Medical Student - Univ. Católica de la Santísima Concepción,ucsc,@medicina.ucsc.cl,107,"Medicina, Salud Pública, Pediatría, Educación Médica, Bibliometría"
3702576657308349952,n_Wk0TIAAAAJ,"Trabajo Social, UCSC",ucsc,@ucsc.cl,107,"trabajo social, investigación de la intervención y la acción social, IAP, intervención social en vulneracion grave de niños"
3702576657308349952,vLO2RZMAAAAJ,"Facultad de Ingeniería, Universidad Católica de la Santísima Concepción, Alonso de Ribera 2850",ucsc,@ucsc.cl,116,"Phase Equilibria, Viscosity, Interfacial Tension, Density, Equation of State"
3702576657308349952,31U68hAAAAAJ,Assistant Professor - Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,110,Behavior and Design of Steel Structures
3702576657308349952,uWiMBFAAAAAJ,Universidad Católica de la Santisima Concepcion,ucsc,@ucsc.cl,98,"Economia, Medio Ambiente, Economía Regional, Modelos de Equilibrio General, Desarrollo Economico"
3702576657308349952,KdLw19UAAAAJ,"Académico Educación, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,95,"TIC, Educación, Competencias, Innovación, Didáctica"
3702576657308349952,r4ByPPcAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,92,"Entrepreneurship, emprendimiento. Innovation management, gestión de la innovación . Small business management, Gestión de pequeñas empresas"
3702576657308349952,oNIF1wgAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,86,"Marine invertebrates physiology, Environmental stressors"
3702576657308349952,upq_jJYAAAAJ,Universidad Católica de la Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,89,"nursing, hypnosis, promotion health, puppet, health psychology"
3702576657308349952,BAyAB14AAAAJ,"Profesor Dr.  Derecho Procesal y Litigación, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,82,"judicial case management, reformas procesales, derecho procesal, justicia civil, sistemas procesales"
3702576657308349952,5tIx8TwAAAAJ,Universidad Católica de la Santisima Concepción,ucsc,@ucsc.cl,83,"Nutricion Humana, Salud Publica, Lactancia Materna"
3702576657308349952,naU71KMAAAAJ,Universidad Catolica de la Santisima Concepcion,ucsc,@ucsc.cl,80,"Engineering Education, International Bussiness"
3702576657308349952,ZO-8Ysy7PR0C,Universidad Católica de la Santísima Concepción,ucsc,@doctoradoedu.ucsc.cl,75,"Educación química, enseñanza aprendizaje de las ciencias, actitudes hacia las ciencias"
3702576657308349952,VJ_pE44AAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@ucsc.cl,71,"Teoría Antropológica de lo Didáctico, estrategias cognitivas"
3702576657308349952,4QJNv9kAAAAJ,"Geólogo, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,68,"Geoparques, Geoconservación, Geotermia"
3702576657308349952,Bbk4a3cAAAAJ,"Professor of Computer Science, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,64,"Nature-Inspired Meta-Heuristics, Combinatorial Problems, Distributed Systems"
3702576657308349952,TzAtAwkAAAAJ,"Académico Departamento de Didáctica, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,65,"Didáctica de las Ciencias, Naturaleza de la Ciencia y Tecnología, Formación del Profesorado, Enseñanza de la Química"
3702576657308349952,QPCTtBUAAAAJ,"Centro de Investigaciones en Biodiversidad y Ambientes Sustentables, Universidad Católica de la Santísima Concepción",ucsc,@ucsc.cl,69,"Entomología, Evolución, Ecología, Microscopía"
3702576657308349952,sqfNJhgAAAAJ,Universidad Católica de la Santísima Concepción,ucsc,@magister.ucsc.cl,61,"Gorgonians, Marine Science, Herbivory, Ecological invasions, Nudibranchs"
3702576657308349952,F7qUWyEAAAAJ,"Profesor de Derecho Civil, Universidad Catolica de la Santísima Concepcion",ucsc,@ucsc.cl,59,Derecho de Daños - Torts Law - Law of restitutions
