organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
12740943834737827840,eCcV9LAAAAAJ,"Abogado, Magíster en Derecho Público por la Universidad Católica de Temuco",uct,@alu.uct.cl,11026,Derecho Público (Constitucional y Penal)
12740943834737827840,jajFVW8AAAAJ,"Profesor Asistente, Universidad Catolica de Temuco",uct,@uct.cl,1868,"Ecología acuática, crustáceos / Aquatic Ecology, crustaceans"
12740943834737827840,ki2cCE8AAAAJ,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",uct,@uct.cl,1882,"geografía física, planificación territorial, educación geográfica"
12740943834737827840,yxXZP4QAAAAJ,"Universidad Católica de Temuco (UCT), Temuco, Chile",uct,@uct.cl,1764,"General Relativity, Spacetime symmetries, Black hole physics"
12740943834737827840,5zReziUAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,1677,"global climate change, global warming, antarctic plants, moss, lichens"
12740943834737827840,XZBjhB4AAAAJ,Universidad Católica de Temuco,uct,@uct.cl,1541,"Educación, interculturalidad, saberes indígenas, investigación en educación"
12740943834737827840,qX4Yub8AAAAJ,Universidad Católica de Temuco,uct,@uct.cl,1494,Aquaculture
12740943834737827840,QoYrIekAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,1364,"Neuromecánica, Educación del Movimiento"
12740943834737827840,FPIiSGsAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,1231,"Teoría Fundamentada, Socio-fenomenología, Metodología Cualitativa, Profesores principiantes, vida cotidiana"
12740943834737827840,jdiLkBsAAAAJ,"Precision Health Research Laboratory, Departamento de Procesos Diagnósticos y Evaluación, Facultad Ciencias de la Salud, Universidad Católica de Temuco",uct,@uct.cl,972,"epigenetics, oncology"
12740943834737827840,A3LFev0AAAAJ,Profesor Asistente. Universidad Católica de Temuco,uct,@uct.cl,937,"Soil, Compost, Agroecosystem Sustainability, Mycorrhiza, Biochar"
12740943834737827840,2v_BeBAAAAAJ,"Profesor Investigador, Universidad Católica de Temuco",uct,@uct.cl,966,"Historia de la Educación, Fenomenología, Investigación Cualitativa, Historia indígena, Educación"
12740943834737827840,Xvn25u8AAAAJ,"Researcher in Universidad Católica de Temuco, Chile",uct,@uct.cl,885,"Innovation, Microbiological inoculants, University Startups, Technology transfer manager, Biostimulants application in field ass"
12740943834737827840,ge68r8wAAAAJ,Profesora e investigadora (UCTemuco),uct,@uct.cl,799,"Historia de la traducción y la interpretación, mediación lingüística, Nueva España, Chile, Araucanía"
12740943834737827840,yjv9clAAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,663,"Ecología de comunidades, conservación biológica, plantas trepadoras, epifitas vasculares, problemas socio-territoriales"
12740943834737827840,0C0XnMoAAAAJ,"Profesor de Filosofía, Universidad Católica de Temuco",uct,@uct.cl,634,"teoría del reconocimiento, justicia, filosofía intercultural"
0,2CzDBjIAAAAJ,Unknown affiliation,uct,,616,"biophysics, biomaterials, nanomaterials"
12740943834737827840,5Rks-CIAAAAJ,Universidad Católica de Temuco/Facultad de Recursos Naturales,uct,@uct.cl,559,Acuicultura/Nutrición de Peces/Nutrición de Lípidos
12740943834737827840,dXNmcr4AAAAJ,"Profesor, Universidad Católica de Temuco, Chile",uct,@uct.cl,548,"Microbiology, Biotechnology"
12740943834737827840,ukH-bEsAAAAJ,"Assistant Professor, Universidad Catolica de Temuco",uct,@uct.cl,530,Veterinary Epidemiology
12740943834737827840,8uh_4FcAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,478,"ecosystem services, spatial planning, environmental assessment, landscape ecology, spatial decision making"
12740943834737827840,1YPd8YYAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,409,"Comprensión lectora, aprendizaje cooperativo, competencias"
12740943834737827840,w6Flq1wAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,396,"Citogenética, Reproducción"
12740943834737827840,F9mKg7YAAAAJ,"Académica, Universidad Católica de Temuco",uct,@uct.cl,408,"adultez emergente, salud mental, universitarios"
12740943834737827840,8EBJctsAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,395,
12740943834737827840,RmTqd9kAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,368,"Education and Technology, Colaborative systems"
12740943834737827840,-wAiBEAAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,347,"Public Policy, Data Analysis, Optimization, Fuzzy Sets"
12740943834737827840,BQ7_uGoAAAAJ,"Profesor de matemáticas, Universidad Católica de Temuco",uct,@uct.cl,337,"Teoría geométrica de funciones, teoría de distribuciones y modelamiento estadistico"
12740943834737827840,16Ms6dQAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,356,"Educación, Interculturalidad, Conocimiento Indígena"
12740943834737827840,CLox_OQAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,332,Salud mental  universitarios
12740943834737827840,WpYUEcEAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,302,
12740943834737827840,4N44tCEAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,287,"educación, pedagogía, didáctica de la historia, didactica de la geografía"
12740943834737827840,jLTJNrsAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,275,"Educación, Educación Física, TIC"
12740943834737827840,jAYsnh8AAAAJ,Universidad Católica de Temuco,uct,@uct.cl,274,Educación
12740943834737827840,fAfgPeUAAAAJ,Universidad Catolica de Temuco,uct,@uct.cl,277,"Didactica de las Ciencias Sociales, Enseñanza de la historia en espacios de conflicto. Educación Patrimonial"
12740943834737827840,JKFFRjoAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,271,Ingeniería Molecular y Diseño de fármacos
12740943834737827840,ffKv0JgAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,269,"Ecología del Paisaje, Servicios Ecosistémicos, Análisis Espacial"
12740943834737827840,7h-YGroAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,268,"Relatividad General, Agujeros Negros"
12740943834737827840,XClx914AAAAJ,Universidad Católica de Temuco,uct,@uct.cl,273,"educación, educación intercultural, currículum, diversidad"
12740943834737827840,Mz0FdfAAAAAJ,"Académico- Investigador Departamento de Trabajo Social Universidad Católica de Temuco, Chile",uct,@uct.cl,287,"Trabajo Social, marxismo, pensamiento crítico latinoamericano, pensamiento decolonial, hegemonía"
12740943834737827840,gEXTESQAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,246,Materials Characterization/ X-Ray Diffraction
12740943834737827840,78oWBk0AAAAJ,"Professor, Agricultural department, Universidad Católica de Temuco",uct,@uct.cl,246,"Plant Physiology, Plant Hormones, Plant biochemistry"
12740943834737827840,MM0fzDkAAAAJ,"Ingeniero Agrónomo, Universidad Católica de Temuco",uct,@uct.cl,252,"Fisiología vegetal, Agroecología, Ecofisiología"
12740943834737827840,qcA7Gk8AAAAJ,"Profesor de Historia y Ciencias Sociales, Universidad Católica de Temuco",uct,@uct.cl,202,"Ciencias Sociales, Educación, Historia"
12740943834737827840,1LyOmwkAAAAJ,"Universidad Católica de Temuco, Chile",uct,@uct.cl,197,"Remote Sensing, Water resources"
12740943834737827840,fmLuGyMAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,175,chemical ecology
12740943834737827840,egymbSMAAAAJ,"Profesor asistente, Universidad Católica de Temuco",uct,@uct.cl,164,"Fruit crops physiology, fruit quality, modelling"
12740943834737827840,r-JOdSMAAAAJ,Facultad de Educación - Universidad Católica de Temuco,uct,@uct.cl,166,Mathematics Education
12740943834737827840,BSjbCrEAAAAJ,"Profesor Asociado, Departamento Sociología y Ciencia Política Universidad Católica de Temuco",uct,@uct.cl,161,Ideas y cambio institucional
12740943834737827840,BpTCyfwAAAAJ,"Profesor de Educación Física, Universidad Católica de Temuco",uct,@uct.cl,136,"Educación, evaluación, competencias genéricas"
12740943834737827840,cpC4nWkAAAAJ,Profesor Adjunto Universidad Católica de Temuco,uct,@uct.cl,120,"Yacimientos minerales, elementos de minería, tectonica global, ingenieria vial, geotecnia"
12740943834737827840,6imfTsAAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,118,"Geofísica, geociencias en la comunidad, Volcanología"
12740943834737827840,o5VGXO0AAAAJ,"Profesor Asociado, Departamento de Antropologìa, Universidad Católica de Temuco",uct,@uct.cl,116,Antropologìa
12740943834737827840,x8POScYAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,115,
12740943834737827840,01BZoXMAAAAJ,"Department of Social Work, Universidad Católica de Temuco, Chile",uct,@uct.cl,104,"Infancia Childhood, Fenomenología, Social exclusion, América Latina, Family Social Work"
12740943834737827840,hWD1pTcAAAAJ,"Académico de la Universidad Católica de Temuco, Chile",uct,@uct.cl,104,Ciencias Sociales
12740943834737827840,SMmzt8oAAAAJ,"Departamento de Ciencias Ambientales, UCT",uct,@uct.cl,101,Historia Ambiental - Geografía humana - Geografía Rural -Historia Agraria - Geografía Rural
12740943834737827840,3wumB_IAAAAJ,"Laboratorio de Planificación Territorial, Universidad Católica de Temuco",uct,@uct.cl,100,Ordenación territorial
12740943834737827840,2NNLvHIAAAAJ,"Profesor Asistente, Universidad Católica de Temuco",uct,@uct.cl,102,"Digital Media and Communication, Social Protests, (Inter)cultural Studies, (Critical) Discourse Analysis"
12740943834737827840,9_LcmxIAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,103,"Minería, Agua y Medio Ambiente"
12740943834737827840,CDiCDlMAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,83,
0,NraL83YAAAAJ,Universidad Católica de Temuco,uct,,89,"Educación, Cultura y Emoción, Educación Intercultural"
12740943834737827840,80A-AxUAAAAJ,"Doctora, Universidad Autónoma de Barcelona, Universidad Católica de Temuco",uct,@uct.cl,81,"Neurociencias, Geriatría y Gerontología"
6219877915722792960,b3mDJtgAAAAJ,Universidad Autónoma de Chile. Universidad Católica de Temuco.,uct,@cloud.uautonoma.cl,85,Rehabilitación del dolor crónico
12740943834737827840,0-dSV6AAAAAJ,"Profesor de Derecho, Universidad Católica de Temuco",uct,@uct.cl,76,Género
12740943834737827840,YRiL7X4AAAAJ,Universidad Católica de Temuco,uct,@educa.uct.cl,79,"Educación intercultural, educación especial"
12740943834737827840,9G9EXKIAAAAJ,"Assistant Professor, Universidad Catolica de Temuco",uct,@uct.cl,76,"Microeconomics, Behavioral Economics, Environmental Economics"
12740943834737827840,FAiWen8AAAAJ,Universidad Católica de Temuco,uct,@uct.cl,69,"Numerical Analysis of Partial Differential Equations, Scientific Computing, Finite Element Method"
12740943834737827840,gZGxb5gAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,69,"Rehabilitación cardiorespiratoria, Educación en Salud, Promoción y Prevención en Salud"
12740943834737827840,PVgNTsMAAAAJ,Universidad Catolica de Temuco,uct,@uct.cl,70,English Language Education
12740943834737827840,ff2m_OMAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,64,"geomorphology, hidrology, isotopes"
12740943834737827840,swxETCoAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,57,"políticas ambientales, economía política, participación ciudadana"
12740943834737827840,5v_wsfEAAAAJ,Departamento de Ciencias Matemáticas y Físicas Universidad Católica de Temuco,uct,@uct.cl,55,"Convex Analysis, Continuous Optimization, Variational Analysis, Optimization Algorithms"
12740943834737827840,nphHEj4AAAAJ,Docente derecho Administrativo Universidad Católica de Temuco,uct,@uct.cl,47,"Derecho Administrativo, descentralización administrativa"
12740943834737827840,IT5mhaAAAAAJ,"Profesor de Derecho Público, Universidad Católica de Temuco",uct,@uct.cl,42,"DERECHO PÚBLICO, ANÁLISIS ECONÓMICO DEL DERECHO"
12740943834737827840,neZWUyIAAAAJ,"Carrera de Fonoaudiología, Departamento de Procesos Terapéuticos, Facultad de Ciencias de la Salud, Universidad Católica de Temuco",uct,@uct.cl,47,"Epidemiología Clínica, Deglución, Cognición, Validación de instrumentos de medición"
12740943834737827840,NRj4e8QAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,43,"Biomaterials, Renewable Resources, Functional Foods, Nanotechnology, Wood Industry"
12740943834737827840,9ZNgfYIAAAAJ,"Trabajador Social, Universidad Católica de Temuco",uct,@educa.uct.cl,38,"Trabajo Social, Investigación Social, Sistematización, Desarrollo Social, Políticas Sociales"
12740943834737827840,9pJHOvYAAAAJ,Universidad Católica de Temuco,uct,@uct.cl,40,"Arte, Cultura, Humanidades"
