organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
12216913016116922368,jyT8VE4AAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,25683,Astronomy
12216913016116922368,TX3te0QAAAAJ,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",udp,@mail.udp.cl,21590,"Higher education, Political economy of education, Policy and cultural analysis"
12216913016116922368,7Uy51X4AAAAJ,assistant professor Nucleo Astronomia Universidad Diego Portales,udp,@mail.udp.cl,14680,stellar and Galactic astrophysics
12216913016116922368,4iRjwbMAAAAJ,"Professor, Universidad Diego Portales",udp,@udp.cl,14054,"comparative politics, populism, democracy"
12216913016116922368,4tuv9ZUAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,14063,"Galaxy evolution, Interstellar medium, high redshift galaxies and data science"
12216913016116922368,cn9uqN4AAAAJ,"Professor of Astrophysics, Universidad Diego Portales",udp,@mail.udp.cl,11531,"Galaxy formation, Galaxy evolution, Submillimeter galaxies, ISM of galaxies"
12216913016116922368,TW5VlFsAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,11189,"Active Galactic Nuclei, Galaxy Evolution"
12216913016116922368,Dt6e_E0AAAAJ,Emeritus professor University Diego Portales and Clinica las Condes,udp,@udp.cl,9944,reproductive medicine
12216913016116922368,n4SKkSAAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,8567,Astronomy
12216913016116922368,f9Oj5nUAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,7703,Exoplanets
12216913016116922368,9b8DoS8AAAAJ,"Professor, Universidad Diego Portales",udp,@udp.cl,5965,"Educational policies, curriculum, teacher education, citizenship education"
12216913016116922368,eS_SYGMAAAAJ,Universidad Diego Portales,udp,@udp.cl,3855,
12216913016116922368,cbdbtM0AAAAJ,Universidad Diego Portales,udp,@udp.cl,3096,"Organizational behavior, organization studies, cross-cultural management"
12216913016116922368,C6i7344AAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,2697,"Political field, public intellectuals, political competence, political elites, politics of memory"
12216913016116922368,XrZEaYcAAAAJ,profesor universidad diego portales Chile,udp,@udp.cl,2718,"liderazgo directivo, politica docente, mejora escolar"
12216913016116922368,AaCvn7oAAAAJ,The Astronomy Nucleus at Universidad Diego Portales,udp,@mail.udp.cl,2631,"Solar system, planet formation, extreme AO, spectroscopy and Astrobiology"
12216913016116922368,rC7E0W8AAAAJ,"Professor, Faculty of Education, Diego Portales University",udp,@mail.udp.cl,2559,"Política Educacional, Liderazgo Escolar, Mejoramiento Educativo"
12216913016116922368,NZXPbcsAAAAJ,Universidad Diego Portales,udp,@udp.cl,2378,"Brain development, Brain Evolution, Neurogenomics, Neuropathology"
12216913016116922368,vcD3QfwAAAAJ,Universidad Diego Portales,udp,@udp.cl,2302,"Logistics, Transportation, Operations Research, Econometrics"
12216913016116922368,DmWRYnEAAAAJ,"Professor, Medical Faculty Universidad de Chile, Universidad Diego Portales",udp,@mail.udp.cl,2270,Psychiatry
12216913016116922368,9JegVHcAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,2174,Galaxy evolution
12216913016116922368,DIwDzUYAAAAJ,"Facultad de Psicología, Universidad Diego Portales",udp,@mail.udp.cl,2026,
12216913016116922368,ckIjzZQAAAAJ,Universidad Diego Portales,udp,@udp.cl,1979,"reforma constitucional, sistemas políticos, democracia, América Latina, Chile"
12216913016116922368,0dJbD08AAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,1964,"Justicia penal, proceso penal, policía"
12216913016116922368,JD_X4KYAAAAJ,Universidad Diego Portales,udp,@mail.udp.cl,1860,"Political Science, Comparative Politics, Latin America, Partisanship"
12216913016116922368,Ka7pywsAAAAJ,universidad diego portales,udp,@udp.cl,1680,
12216913016116922368,r0EzJ_IAAAAJ,"Professor of Law, Universidad Diego Portales",udp,@udp.cl,1681,Law
