organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
13908003347799972066,FA5F3xEAAAAJ,"Profesor de Medicina, Universidad de La Frontera",ufrontera,@ufrontera.cl,53870,Cardiologia
13908003347799972066,MTnStAsAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,13171,"Estudios poblacionales, desigualdades en salud, metodologia de investigacion, medicion en salud"
13908003347799972066,nLlEb78AAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,11540,"Suicidio, Revisiones Sistemáticas de la Literatura, Estadística, Metodología de investigación"
13908003347799972066,cD9YELgAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,8919,"Exercise, Cardiovascuar Conditions, Rehabilitation"
13908003347799972066,gvhbe4UAAAAJ,"Department of Chemical Engineering, Universidad de La Frontera",ufrontera,@ufrontera.cl,5810,environmental biotechnology
13908003347799972066,3VcPRHYAAAAJ,"profesor de Ciencias Ambientales, Universidad de La Frontera",ufrontera,@ufrontera.cl,5835,biotecnologia ambiental
13908003347799972066,jpCBuDAAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,5591,"mycorrhiza, soil phosphorous, glomalin"
13908003347799972066,mb_L_nwAAAAJ,"Scientific and Technological Bioresource Nucleus (BIOREN), Universidad de La Frontera, Temuco, Chile",ufrontera,@ufrontera.cl,5358,Microbiology and Biotechnology
13908003347799972066,lo7-Fg4AAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,5202,"Biologia de la reproduccion, Andrologia, Medicina reproductiva"
13908003347799972066,_78z9VoAAAAJ,"Universidad de La Frontera, Temuco, Chile",ufrontera,@ufrontera.cl,4260,"Bioquímica Clínica, Biología Molecular, Farmacogenética, Epigenética, Cardiología"
13908003347799972066,4SUUMGIAAAAJ,"Universidad de La Frontera, Temuco, Chile",ufrontera,@ufrontera.cl,4233,"Electric power conversion, digital control, microgrids, renewable energy systems"
13908003347799972066,OGP1JM4AAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,4151,"gallbladder cancer, cervix cancer, immunopathology"
13908003347799972066,PjFVYMMAAAAJ,"Associated professor, Universidad de La Frontera",ufrontera,@ufrontera.cl,3978,"Cancer Biology, Proteomics, Molecular Biology"
13908003347799972066,Ao4ApqMAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,3852,"Maxillofacial Surgery, Craniofacial Surgery, Facial Plastic Surgery, Reconstructive & Implant Surgery, Clinical & Experimental R"
13908003347799972066,mBdG3iEAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,3886,Physical activity
13908003347799972066,_ERGBOEAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,3750,Plant Science
13908003347799972066,lP-2PEwAAAAJ,"Depto. de Psicología, Universidad de La Frontera",ufrontera,@ufrontera.cl,3749,
13908003347799972066,Mu8ov2oAAAAJ,Universidad de La Frontera,ufrontera,@ufrontera.cl,3652,"Morfología, Odontología, Fisiología, Anatomía."
13908003347799972066,OjoSgUYAAAAJ,"Profesor, Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera",ufrontera,@ufrontera.cl,3637,"Fisiología, Bioquímica y Biología Molecular de plantas"
