organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
13824009975929505792,pwL_3ukAAAAJ,"Centro i-mar, Universidad de Los Lagos",ulagos,@ulagos.cl,15934,"Seaweed Ecology and Aquaculture, Sustainable Aquaculture, Integrated Multi-Trophic Aquaculture"
13824009975929505792,SV8GS1QAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,4377,"Systemic inflammation, Air pollution"
13824009975929505792,a2kIjrIAAAAJ,"Profesor Titular, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los Lagos",ulagos,@ulagos.cl,3981,"Conservación biológica, mutualismos planta-animal, especies invasoras, restauración ecológica"
13824009975929505792,by9GKEUAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,2511,"Formación de Profesores, Conocimiento del Profesor, Didáctica de la Matemática, Mathematics Education, Educación Matemática"
13824009975929505792,s-fafYQAAAAJ,"Centro i~mar, Universidad de Los Lagos",ulagos,@ulagos.cl,1353,Ecología de poblaciones marinas
13824009975929505792,dEi_qTEAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,1353,Salud y bienestar colectivo
13824009975929505792,z56ghZoAAAAJ,Centro I-mar. Universidad de Lagos. Chile,ulagos,@ulagos.cl,1266,"population biology, marine larval ecology, marine invertebrate"
13824009975929505792,0V_ugkQAAAAJ,"Researcher, Centro i-mar, Universidad de Los Lagos",ulagos,@ulagos.cl,1278,Phycology
13824009975929505792,hmfvWy4AAAAJ,"Profesor Asociado A, Universidad de Los Lagos",ulagos,@ulagos.cl,1185,"Fisiopatología cardio-respiratoria inducida por material particulado fino, Control neural de la inflamación sistémica."
13824009975929505792,w66UkX8AAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,1031,"Antropologia del territorio, imaginarios territoriales, interdisciplina y complejidad social"
13824009975929505792,X-63wtoAAAAJ,Centro i-mar Universidad de Los Lagos,ulagos,@ulagos.cl,945,"Marine Biology, ecophysiology, invertebrate-alga interaction"
13824009975929505792,jao2s_kAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,892,
13824009975929505792,kJF231MAAAAJ,"Departamento de Ciencias de la Actividad Física, Universidad de los Lagos",ulagos,@ulagos.cl,837,"Educación, Educación Física, Deporte"
13824009975929505792,ZVuz94cAAAAJ,"Centro i-mar, Universidad de Los Lagos",ulagos,@ulagos.cl,821,Interacción océano-atmósfera y procesos de mezcla
13824009975929505792,24VmCxwAAAAJ,"centro i-mar, Universidad de Los Lagos",ulagos,@ulagos.cl,802,"kelps, climate change, physiology, ecology, ocean acidification"
13824009975929505792,YKIeBOEAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,785,
13824009975929505792,g6LidUcAAAAJ,"Departamento de Acuicultura y Recursos Agroalimentarios, Universidad de Los Lagos",ulagos,@ulagos.cl,722,"Marine Ecology, Marine Biogeography, Biostatistics."
13824009975929505792,9kOZfrsAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,706,"Cultura, juventud, trabajo social"
13824009975929505792,WdtOUqwAAAAJ,"Centro de Estudios del Desarrollo Regional y Políticas Públicas CEDER, Universidad de Los Lagos.",ulagos,@ulagos.cl,703,"Natural resources management, social-ecological systems, small-scale fisheries"
13824009975929505792,lXQNVNAAAAAJ,"Profesor Asociado,Universidad de Los Lagos",ulagos,@ulagos.cl,647,"Genética, citogenética y biotecnología aplicada a la acuicultura. Biodiversidad de fauna nativa"
13824009975929505792,SytP2FQAAAAJ,"Agronomia, Universidad de los Lagos",ulagos,@ulagos.cl,626,"agronomia, genetica, algas, papa, cultivos"
13824009975929505792,fYcWbSwAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,607,
13824009975929505792,XmHLcYkAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,567,"Sociology, Social Justice, Social Class"
13824009975929505792,kMr_yuQAAAAJ,"Académico Departamento de Educación, Universidad de Los Lagos (Chile)",ulagos,@ulagos.cl,591,"Aspectos socioculturales de la Educación, Inmigración y Educación, Evaluación Formativa y Compartida, Metodologías Activas"
13824009975929505792,dipoBusAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,497,"Population Genetics, Phylogeography, Phylogenetics, Marine Organisms"
13824009975929505792,WZm7XKgAAAAJ,Universidad de Los Lagos Dpto de Salud,ulagos,@ulagos.cl,476,"Salud Colectiva, Enfermería, Bienestar Humano"
13824009975929505792,ELVFDR4AAAAJ,Profesor Titular A de la Universidad de Los Lagos,ulagos,@ulagos.cl,446,"Educación y tecnologías para el aprendizaje, entornos virtuales de aprendizaje"
13824009975929505792,8yWzaaAAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,427,"calidad, gobernanza"
13824009975929505792,h1IBsMsAAAAJ,"Universidad de Los Lagos, Centro i~mar, Puerto Montt, Chile",ulagos,@ulagos.cl,398,"ecologia, ecofisiologia, invertebrados marinos"
13824009975929505792,SlKPSfwAAAAJ,"Profesor Asociado, Departamento de Ciencias Biológicas y Biodiversidad, Universidad de Los Lagos",ulagos,@ulagos.cl,379,"Microbiolgía, Ciencia Ambiental, Biotecnología"
13824009975929505792,yKbORS4AAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,407,Formación de profesores y evaluación
13824009975929505792,24kpDhkAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,348,
13824009975929505792,pFCC000AAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,340,"discapacidad, movilidades, desigualdades socioterritoriales"
13824009975929505792,XLNaP4cAAAAJ,"Centre for Regional Development and Public Policies Studies, Universidad de Los Lagos",ulagos,@ulagos.cl,336,"territorial governance, islandness, political geography"
13824009975929505792,Lcq4fBkAAAAJ,"Profesor de Lingüística, Universidad de Los Lagos, Osorno Chile",ulagos,@ulagos.cl,282,"Argumentación, Lenguas indígenas, Lingüistica del Discurso"
13824009975929505792,jdYc7OEAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,297,"educación artística, artes visuales"
13824009975929505792,hKILCloAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,273,"Biodiversidad, Sistemática, Sostenibilidad"
13824009975929505792,eZnZ1uAAAAAJ,"Universidad de Los Lagos, Universidad de Chile",ulagos,@ulagos.cl,283,"Hydrology, Hydrological modelling, climate change impacts on water resources, water management"
13824009975929505792,r1jEPLAAAAAJ,"Investigadora Asociada, Centro i-mar, Universidad de Los Lagos",ulagos,@ulagos.cl,268,"Parasitologia, ecologia microcrustaceos"
13824009975929505792,MQzLzYwAAAAJ,"Universidad de Los Lagos, Departamento de Ciencias Administrativas y Económicas",ulagos,@ulagos.cl,270,
13824009975929505792,UM8ftGoAAAAJ,"profesora de historia, Universidad de Los Lagos",ulagos,@ulagos.cl,250,"curriculum, textos escolares, educacion historica"
13824009975929505792,Xg50gDcAAAAJ,Universidad de Los Lagos / Consultora Internacional Algimar,ulagos,@ulagos.cl,244,"Aquaculture, Maricultura, Seriola, Abulón, Haliotis"
13824009975929505792,maLX8i4AAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,244,Genética y reproducción de crustáceos
13824009975929505792,ETq6DzkAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,230,"Detección de Fraudes, Internacionalización Universitaria, Absentismo Laboral"
13824009975929505792,UaPEICEAAAAJ,Académico e Investigador Departamento de Educación Universidad de Los Lagos,ulagos,@ulagos.cl,183,"Antropología de la Educación, Métodos de Investigación, Educación e Interculturalidad."
13824009975929505792,CrvBTQUAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,156,"Didáctica de la lengua, lenguas indígenas, interculturalidad"
13824009975929505792,L2NjW3MAAAAJ,"Académico Investigador. Departamento de Salud, Universidad de los Lagos, Chile",ulagos,@ulagos.cl,153,Salud Colectiva. Epistemologia de la Salud. Políticas Públicas
13824009975929505792,jdHU_l4AAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,136,"Teoría política, filosofía política, Ciudadanía"
13824009975929505792,eLfkat8AAAAJ,"Doctor en Educación, Universidad de Los Lagos; ULA, https://orcid.org/0000-0003-2678-7334",ulagos,@ulagos.cl,161,"Educación, Educación STEM, Matemática, Ciencia, Didáctica de las ciencias experimentales"
13824009975929505792,sGRiAyYAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,149,"educación, didáctica, pedagogía feminista, feminismo, género"
13824009975929505792,WECmoiwAAAAJ,"Trabajo Social , Universidad De Los Lagos",ulagos,@ulagos.cl,130,Trabajo Social
13824009975929505792,HtCe-jUAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,142,"Educación Médica, Nutrición"
13824009975929505792,jk3K5BoAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,129,"Educación, Tecnologías, Accesibilidad"
13824009975929505792,S5cDpbUAAAAJ,Profesora Universidad de Los Lagos,ulagos,@ulagos.cl,115,"Políticas Alimentarias, Género"
13824009975929505792,QCmgVk4AAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,103,"Movimientos Sociales, Políticas Medioambientales, Políticas Educacionales"
13824009975929505792,eDXwoZsAAAAJ,"Asistent Professor, Universidad de Los Lagos",ulagos,@ulagos.cl,102,"Algoritmos, Base de Datos, Data Warehouse"
13824009975929505792,Yr5cv20AAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,103,
13824009975929505792,xPZ6n6YAAAAJ,Universidad De Los Lagos,ulagos,@ulagos.cl,101,"Enfermería, autocuidado, condiciones crónicas de salud, género"
13824009975929505792,XtYOnccAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,100,"Tecnologías, Innovación Tecnológica, STEM."
13824009975929505792,_T96HWEAAAAJ,"Académica, Universidad de los Lagos",ulagos,@ulagos.cl,94,"Inclusión y exclusión social, industria vitivinicola, gobernanza, desarrollo rural"
13824009975929505792,06FSu5wAAAAJ,"Académico Carrera de Arquitectura, Universidad de Los Lagos",ulagos,@ulagos.cl,96,Arquitectura & Tecnologías Constructivas Sustentables
13824009975929505792,PyCPX3AAAAAJ,"Research Associate, Universidad de Los Lagos",ulagos,@ulagos.cl,92,"Microbiology, Symbiosis, Relationship host-bacteria, Salmo salar, Microbial metabolites"
13824009975929505792,9l9NAl4AAAAJ,"Académico del Departamento de Ciencias Exactas, Universidad de Los Lagos",ulagos,@ulagos.cl,85,"Educación Estadística, Razonamiento inferencial"
13824009975929505792,r2FXCzgAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,76,
2430880322004392960,OmC3bhwAAAAJ,Universidad de Girona,ulagos,@udg.edu,75,"Teoría del derecho, argumentación jurídica"
13824009975929505792,hYh7eZAAAAAJ,Escuela de pedagogía Universidad de Los Lagos,ulagos,@ulagos.cl,78,"Educación, estudios culturales, Análisis Crítico del Discurso"
13824009975929505792,TCsyJ08AAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,70,"Salud Pública, Salud Colectiva, Epidemiología Sociocultural."
13824009975929505792,tjBN-qAAAAAJ,Académico-Investigadora Universidad de Los Lagos,ulagos,@ulagos.cl,66,"envejecimiento, rehabilitación, entrenamiento, bienestar humano"
13824009975929505792,BHT_8YoAAAAJ,"Academico, Universidad de Los Lagos",ulagos,@ulagos.cl,65,"Geografía, Conservación de la Naturaleza"
13824009975929505792,b09ffqgAAAAJ,"Profesor de inglés, Universidad de los Lagos",ulagos,@ulagos.cl,66,"lenguaje, aprendizaje, inglés, cognición"
13824009975929505792,VQKPXBMAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,60,"Antropología, ciencia política, representación, territorio, subjetividad..."
13824009975929505792,ik5Eo2AAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,60,"Teoría social, teoría sociológica y antropología filosófica."
13824009975929505792,eI_qScMAAAAJ,"Doctor en Musicología. Departamento de Humanidades y Artes, Universidad de Los Lagos",ulagos,@ulagos.cl,58,"Etnomusicología, Educación Musical, Composición Musical"
13824009975929505792,vtubk1AAAAAJ,"Universidad de Los Lagos, Chile",ulagos,@ulagos.cl,62,Epistemología de la Salud Colectiva - Políticas Públicas - Sistemas de Salud
13824009975929505792,nXfGDEAAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,59,"Filosofía contemporánea, pensamiento complejo, educación artística"
13824009975929505792,lPfa2vwAAAAJ,"Teacher Educator, Universidad de Los Lagos",ulagos,@ulagos.cl,57,"Applied Linguistics, Teacher Education, Cognitive Linguistics"
13824009975929505792,iB0jG9IAAAAJ,Universidad de los Lagos,ulagos,@alumnos.ulagos.cl,56,"Planning, Ciencias Sociales, Gestión del Agua"
13824009975929505792,WgNfspQAAAAJ,"Profesor de Educación Fisica , Universidad de Los Lagos",ulagos,@ulagos.cl,52,Deporte y Sociedad
13824009975929505792,26meAXYAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,52,Formación inicial Docentes
13824009975929505792,Ch8ajQkAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,48,"prácticas pedagógicas, evaluación, innovación"
13824009975929505792,i7U2n7YAAAAJ,"Centro ""i~mar"", Universidad de Los Lagos",ulagos,@ulagos.cl,42,
13824009975929505792,mcjex1gAAAAJ,"Profesor de Finanzas, Universidad de Los Lagos",ulagos,@ulagos.cl,42,finanzas
13824009975929505792,-lBTFBhEsJYC,Depto. de Salud de Río Negro. Docente Carrera Enfermería. Universidad de los Lagos. Chile,ulagos,@ulagos.cl,41,Salud Intercultural - Salud Familiar - Medicina Tradicional - Salud Pueblos Originarios
13824009975929505792,_a2FfWUAAAAJ,"Profesora, Universidad de Los Lagos",ulagos,@ulagos.cl,40,"internacionalización, interculturalidad"
13824009975929505792,Xyz_XFsAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,37,"Educación, Didáctica, Didáctica de las Ciencias, Educación Científica"
13824009975929505792,ipPQiFQAAAAJ,PhD. Universidad de Los Lagos,ulagos,@ulagos.cl,38,"Teacher`s knowledge, mathematics education, area measurement, geometry, mathematical connections"
13824009975929505792,ZZgfkSkAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,33,"Hydrology, Hydraulic, Remote Sensing"
13824009975929505792,BPc6JIsAAAAJ,Académico Departamento de Humanidades y Arte en Universidad de Los Lagos - Chile.,ulagos,@ulagos.cl,29,"Educomunicación, Alfabetización Mediática, Educación para los medios, Medios de Comunicación, Tecnología Educativa."
13824009975929505792,ZOxsur4AAAAJ,Académico de salud. Universidad de Los Lagos,ulagos,@ulagos.cl,26,"Educación, Psicología y Salud"
13824009975929505792,tEbcydwAAAAJ,"Profesora de Matemática, Universidad de los Lagos",ulagos,@ulagos.cl,22,"Formación de Profesores, interculturalidad, estadística"
13824009975929505792,b5Pz6D0AAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,23,"Ciencias sociales, Educación, Feminismo, Artes"
13824009975929505792,JUB2wFQAAAAJ,Universidad de Los  Lagos,ulagos,@ulagos.cl,18,"Linguistics, Aplied Linguistica, Education"
13824009975929505792,APwwmzcAAAAJ,Universidad De Los Lagos,ulagos,@ulagos.cl,18,"Salud Colectiva, Gestión del cuidado infantil, Autogestión en Salud, Enfermedad Cardiovascular Infantil"
13824009975929505792,A5MnX5IAAAAJ,Académica del Departamento de Humanidades y Artes de la Universidad de los Lagos,ulagos,@ulagos.cl,17,"Educación Artística, Creatividad, Formación docente"
13824009975929505792,BbaxnZwAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,16,"Educación, Ética y Epistemología"
13824009975929505792,HffQnykAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,15,"Relaciones de poder, estudios subalternos, subalternidad, neoliberalismo, dictadura militar"
13824009975929505792,1ZN8bJUAAAAJ,"Profesor de Filosofía, Universidad de Los Lagos",ulagos,@ulagos.cl,16,"Filosofía, Derechos Humanos, Política, Ética, Ciencias Sociales"
13824009975929505792,PjygLB0AAAAJ,"Universidad de Los Lagos, académico",ulagos,@ulagos.cl,17,"Nursing, Telenursing, Ambulatory surgical procedures, Information Technology"
13824009975929505792,aw08R0EAAAAJ,"Docente Investigador, Universidad de Los Lagos (Chile)",ulagos,@ulagos.cl,19,"Matemáticas, Física, Educación, Didáctica"
13824009975929505792,QhDes7YAAAAJ,Universidad de Los Lagos,ulagos,@alumnos.ulagos.cl,14,"matemáticas, estadística, didáctica"
0,xNGG6ZwAAAAJ,Instituto Español de Oceanografia,ulagos,@ieo.csic.es,18,"Ecologia Marina, Pesquerias, Ecologia Trofica"
13824009975929505792,13a-DDUAAAAJ,Universidad de los Lagos,ulagos,@ulagos.cl,17,
13824009975929505792,jZQ7G5oAAAAJ,"Docente Dpto. Gobierno y Empresa, Ingeniería Civil Informática, Universidad de Los Lagos",ulagos,@ulagos.cl,12,"Ingeniería de software, Ingeniería de Requerimientos"
13824009975929505792,5wudW8UAAAAJ,Universidad de Los Lagos,ulagos,@ulagos.cl,13,"MATEMÁTICA, DIDÁCTICA, ESTADÍSTICA"
