organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
14351944662178497517,Auy6bPcAAAAJ,Universidad de Magallanes - Centro de Investigación Gaia Antártica,umag,@umag.cl,5577,"atmospheric sciences, cryosphere, Antarctic meteorology and climatology, Synoptic meteorology and forecasting"
14351944662178497517,Li7lgskAAAAJ,Universidad de Magallanes,umag,@umag.cl,4728,"dendrochronology, climate, glacial geomorphology"
14351944662178497517,oOGdikAAAAAJ,"Centro de Investigación GAIA-Antártica (CIGA), Universidad de Magallanes",umag,@umag.cl,3502,"Oceanography, Quaternary Science, Paleoceanography, Paleoclimatology, Radiocarbon"
14351944662178497517,Y5UWumYAAAAJ,Universidad de Magallanes,umag,@umag.cl,2771,"archaeology, hunter-gatherers, ethnography, ancient DNA"
14351944662178497517,qPpX7jgAAAAJ,Universidad de Magallanes,umag,@umag.cl,2502,"paleoclima, palinología, biogeografia, botanica"
14351944662178497517,yfDRWScAAAAJ,Universidad de Magallanes,umag,@umag.cl,2429,Ficologia subantártica y antártica
14351944662178497517,aMUfA_wAAAAJ,Universidad de Magallanes,umag,@umag.cl,2009,"Ageing, Gastric Cancer, Neurodegenerative Disorders, Human evolution, non-protein codign RNAs"
14351944662178497517,SvAEiwsAAAAJ,Universidad de Magallanes - Instituto de la Patagonia,umag,@umag.cl,1814,Ciencias Sociales - Arqueología - Patrimonio
14351944662178497517,zOYi5KwAAAAJ,"Investigator, Sub-antarctic Biocultural Conservation Program, University of Magallanes, Chile",umag,@umag.cl,1384,"biological conservation, biological invasions, population ecology, ethnoecology, mammals"
14351944662178497517,RX00rSkAAAAJ,Universidad de Magallanes,umag,@umag.cl,1141,"Oceanografía Biológica, Floraciones de Algas Nocivas, Mareas Rojas, Conservación"
14351944662178497517,QH0EmPIAAAAJ,UMAG,umag,@umag.cl,968,Evolutionary Ecology
14351944662178497517,gU8dE2kAAAAJ,Universidad de Magallanes,umag,@umag.cl,712,
14351944662178497517,F0Pv9tYAAAAJ,Associated Researcher in Department of Mathematics and Physics at University of Magallanes.,umag,@umag.cl,704,"Aerosol and Cloud optical characteristics measurements, atmospheric radiative transfer, aerosol and cloud radiative forcing."
14351944662178497517,Ci1YfBgAAAAJ,"Profesor de Econometría, Universidad de Magallanes, Chile",umag,@umag.cl,643,Productivity analysis
14351944662178497517,4Tv22ZQAAAAJ,"Departamento de Ciencias Agropecuarias y Acuícolas, Universidad de Magallanes",umag,@umag.cl,640,"Hydrology, Tracer Hydrology, Ecohydrology"
14351944662178497517,1DXN06AAAAAJ,Universidad de Magallanes,umag,@umag.cl,638,"subantarctic and antarctic freshwater ecology, environmental ethics"
14351944662178497517,1bcQGpgAAAAJ,"Profesor de Matemática y Física, Universidad de Magallanes",umag,@umag.cl,618,"Ciencias de la Tierra, Atmósfera"
14351944662178497517,YE78DRoAAAAJ,Universidad de Magallanes,umag,@umag.cl,556,"Mollusca, benthos, Crustacea, Biodiversity"
14351944662178497517,uX89IJMAAAAJ,Universidad de Magallanes,umag,@umag.cl,461,"Biocultural Conservation, Environmental Education, Field Environmental Philosophy, Sub-Antarctic"
14351944662178497517,_3eCKvcAAAAJ,Universidad de Magallanes,umag,@umag.cl,466,Sociología
14351944662178497517,B5jnLdYAAAAJ,Universidad de Magallanes,umag,@umag.cl,459,arqueología
