organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
13542589241086357504,-VDn0i0AAAAJ,Universidad Andres Bello,unab,@unab.cl,11808,"Theoretical Chemistry, Chemical Reactivity"
13542589241086357504,3MtGn3gAAAAJ,"Professor and Director, Institute of Biomedical Sciences, Universidad Andres Bello",unab,@unab.cl,10350,Epigenetic mechanisms that control gene expression
13542589241086357504,XaLPe8sAAAAJ,"Profesor Titular, Universidad de Chile y Universidad Andrés Bello. Decano Fac. de Medicina UNAB",unab,@unab.cl,7993,"Cirugía General, Cirugia Digestiva, Bioética, Historia de la Medicina"
13542589241086357504,1ecYhzgAAAAJ,Universidad Andrés Bello,unab,@unab.cl,7057,"Hypothyroxinemia, iodide, pregnancy fetal programming inflammatory diseases"
13542589241086357504,AJxlqR4AAAAJ,"Universidad Andres Bello, Chile",unab,@unab.cl,6671,"Plant Biology, Cell Biology, Genomics, Proteomics"
13542589241086357504,ShntkWcAAAAJ,"Full Professor, Institute of Biomedical Sciences, Universidad Andres Bello",unab,@unab.cl,5889,"Mitochondria, Stem Cells, Cancer, Hematopoiesis, Aging"
13542589241086357504,caX2l48AAAAJ,"Full Professor, Universidad Andres Bello",unab,@unab.cl,5462,"Wnt/beta-catenin signaling, Alzheimer's disease, autism spectrum disorders, cancer, genetics and genomics"
13542589241086357504,ETVUJOgAAAAJ,Director. Center for Theoretical & Computational Chemistry.  Universidad Andres Bello,unab,@unab.cl,5249,"Chemical Reactivity, Density Functional Theory, Spin polarized"
13542589241086357504,Vx7kPp8AAAAJ,Universidad Andres Bello,unab,@unab.cl,5088,"Actividad fisica, Ejercicio físico, Insulino Resistencia, Diabetes tipo 2, Hipertensión"
13542589241086357504,QOn-wRYAAAAJ,Universidad Andres Bello,unab,@unab.cl,4750,astronomonia extragalactica
13542589241086357504,zywiL_EAAAAJ,Universidad Andres Bello,unab,@unab.cl,4579,"skeletal muscle, atrophy, angiotensin 1-7, TGF-beta, angiotensin II"
13542589241086357504,tS-sZCcAAAAJ,Universidad Andres Bello,unab,@unab.cl,4375,"Inflammation, Sepsis, Vascular endothelial function, Diagnosis, ICU"
13542589241086357504,eiUxwsMAAAAJ,Universidad Andres Bello; Professor of Applied Linguistics,unab,@unab.cl,4168,"Applied Linguistics, Second Language Acquisition, Classroom research, Research-practice relationship"
13542589241086357504,n7F84BEAAAAJ,"Associate Professor, Universidad Andres Bello",unab,@unab.cl,4054,"Gravitational lensing, Galaxy formation and Evolution, AGNs"
13542589241086357504,9-UD-nYAAAAJ,"Profesor Titular, UNAB",unab,@unab.cl,3601,Microbiology
13542589241086357504,p7_WRcAAAAAJ,"Director Center for Bioinformatics and Integrative Biology, Universidad Andres Bello, Santiago",unab,@unab.cl,3595,"Molecular Simulations, Bio-nanotechnology, Ion Channels, Drug Design, Protein Structure"
13542589241086357504,GYbT_iIAAAAJ,Universidad Andres Bello,unab,@unab.cl,3434,Relativistic Molecular Physics
13542589241086357504,0E1mc2kAAAAJ,"Assistant Professor, Universidad Andres Bello",unab,@unab.cl,3301,
13542589241086357504,fjXfzgsAAAAJ,"Universidad Andrés Bello, Santiago, Chile and Profesor Titular P. Universidad Católica de",unab,@unab.cl,3230,"Health Sciences Education, Pediatric Gastroenterology, Coeliac Disease, Functional Gastrointestinal Disorders, Acute diarrhea"
13542589241086357504,Nz1586IAAAAJ,"Departamento de Ecologia y Biodiversidad, Universidad Andres Bello",unab,@unab.cl,3144,"Sandy beach ecology, ecophysiology, environmental stressors"
13542589241086357504,sa8zURMAAAAJ,"Center for Bioinformatics and Integrative Biology, Universidad Andres Bello",unab,@unab.cl,2886,"Genomics, Metagenomics, Microbial Ecology, Bioinformatics, Evolutionary Genomics"
13542589241086357504,PewOAmMAAAAJ,"Departamento de Ciencias Químicas, Universidad Andres Bello, Chile",unab,@unab.cl,2810,"Quantum Chemistry, Clusters, aromaticity, chemical bonding, exploration of the potential energy surface"
13542589241086357504,NyG0GBgAAAAJ,Universidad Andres Bello,unab,@unab.cl,2763,Power Electronics
13542589241086357504,gBHF6iIAAAAJ,"BioNanotechnology and Microbiology Lab, Universidad Andres Bello",unab,@unab.cl,2589,
13542589241086357504,neJ2jy8AAAAJ,Universidad Andrés Bello,unab,@unab.cl,2464,
13542589241086357504,srhMOKMAAAAJ,"UNAB, Chile",unab,@unab.cl,2329,Gauge/Gravity Duality  Topological Terms  Holography Entanglement Entropy
13542589241086357504,QAMttIMAAAAJ,Universidad Andres Bello,unab,@unab.cl,2362,Biotecnología
13542589241086357504,n0k92DYAAAAJ,universidad andres bello,unab,@unab.cl,2185,"Fish Physiology and Endocrinology, Molecular Biology"
13542589241086357504,gX8MTLkAAAAJ,"Universidad Andres Bello, Santiago, Chile",unab,@unab.cl,2072,"zebrafish, immunology, microbiota"
13542589241086357504,dOGAMmwAAAAJ,"Assistant Professor at Centro de Biotecnologia Vegetal, Universidad Andres Bello",unab,@unab.cl,1959,"Fungal Microbiology, Biotechnology, Genomics and Genetics"
13542589241086357504,fe5EMDAAAAAJ,"Associate Professor, Department of Physical Science, Universidad Andres Bello",unab,@unab.cl,1935,"Condensed matter physics, electronic structure calculations, clean energy conversion"
13542589241086357504,NoPM3f8AAAAJ,Universidad Andres Bello,unab,@unab.cl,1908,"Computational Chemistry, aromaticity, electronic delocalization, clusters"
13542589241086357504,JCv1hnQAAAAJ,Universidad Andres Bello,unab,@unab.cl,1923,"Ecología, evolución, biogeografía, Cephalopoda (calamares y pulpos)"
13542589241086357504,ohAMB68AAAAJ,"Associate Professor, Universidad Andres Bello",unab,@unab.cl,1914,"first principles, materials science, condensed matter physics"
13542589241086357504,KudA36sAAAAJ,Universidad Andres Bello,unab,@unab.cl,1862,"Cervical cancer, hysterectomy, women´s health"
13542589241086357504,vS3FHbwAAAAJ,"Associate Professor, Center for Bioinformatics and Integrative Biology, Universidad Andrés Bello",unab,@unab.cl,1853,"Biotechnology, Evolutionary Genomics, Bioinformatics, Synthetic Biology"
13542589241086357504,6ltJBcIAAAAJ,"Instituto de Ciencias Biomédicas, Universidad Andrés Bello",unab,@unab.cl,1869,
13542589241086357504,6ykpzoEAAAAJ,Universidad Andres Bello,unab,@unab.cl,1893,
13542589241086357504,oqu7RO8AAAAJ,"Universidad Andres Bello, Universidad Viña del Mar",unab,@unab.cl,1750,"Ciencia & Tecnología, Educación Superior"
13542589241086357504,8KUQDoIAAAAJ,"Full Professor PhD, Departamento de Ecología y Biodiversidad, Universidad Andrés Bello",unab,@unab.cl,1689,Phycology-Molecular Biology-Abiotic stress
13542589241086357504,n41wfPkAAAAJ,Universidad Andres Bello,unab,@unab.cl,1702,"Pediatric Critical Care, ARDS, Mechanical ventilation"
13542589241086357504,jwIedv8AAAAJ,"Facultad Ciencias de la Rehabilitación, Universidad Andrés Bello, Santiago, Chile",unab,@unab.cl,1725,"Resistance Training, Muscle Quality, Physical Activity"
13542589241086357504,OJxcVHwAAAAJ,Universidad Andrés Bello,unab,@unab.cl,1639,Plant Genomics
13542589241086357504,ENG_tKUAAAAJ,Universidad Andrés Bello,unab,@unab.cl,1528,Microbiología y Genética Molecular
13542589241086357504,eviJ40kAAAAJ,"Universidad Andres Bello, Chile",unab,@unab.cl,1525,"Muscle Physiology, Muscle and Tendon Behaviour, Eccentric Exercise, Muscle Damage, Metabolic Syndrome"
13542589241086357504,SNz4keUAAAAJ,Universidad Andres Bello,unab,@unab.cl,1497,"Microbial Pathogenesis, Host-Pathogen interaction, Protein Secretion Systems, Vibrio, Campylobacter"
13542589241086357504,hNYwofAAAAAJ,"Professor, Centro de Biotecnología Vegetal, Universidad Andrés Bello",unab,@unab.cl,1337,"Plant biology, plant-pathogen interaction, plant system biology"
13542589241086357504,2L2xtmIAAAAJ,Universidad Andres Bello,unab,@unab.cl,1293,Quimica
13542589241086357504,Gtn-2qoAAAAJ,Universidad Andres Bello,unab,@unab.cl,1352,"Marine Ecophysiology, Coastal Ecology"
13542589241086357504,AWhRKDAAAAAJ,Universidad Andres Bello,unab,@unab.cl,1265,"emergent contaminants, advanced oxidation process, Fenton reaction, allophane nanoclays"
13542589241086357504,h9ECWD4AAAAJ,Universidad Andres Bello,unab,@unab.cl,1215,"Psicología Social, Psicología del Trabajo, Identidad, Resistencias, Analisis del Discurso"
13542589241086357504,NXgx_KEAAAAJ,"Profesor Asociado, Universidad Andrés Bello",unab,@unab.cl,1180,"Botánica Marina, ficología, Acuicultura de algas marinas"
13542589241086357504,s2x6-ogAAAAJ,"Professor, Universidad Andres Bello, Chile",unab,@unab.cl,1116,"Transportation Safety, ITS, Waste Collection Systems"
13542589241086357504,DD-JMw4AAAAJ,"Universidad Andrés Bello, Facultad de Ciencias de la Vida, Departamento de Ecología y Biodiversidad",unab,@unab.cl,1105,"Aquatic ecology, ecotoxicology, endocrine disruption, environmental pollution, Conservation biology"
13542589241086357504,kMKmPeoAAAAJ,Universidad Andres Bello,unab,@unab.cl,1104,"lanthanide, actinide, molecular magnetism, optical properties, aromaticity"
13542589241086357504,vWbI15QAAAAJ,"Profesor de Patología Veterinaria, Escuela de Medicina Veterinaria, Universidad Andrés Bello",unab,@unab.cl,1069,"patología, inmunopatología, oncología"
13542589241086357504,DQ7nlU0AAAAJ,Universidad Andres Bello,unab,@unab.cl,1047,Vejez y envejecimiento
13542589241086357504,QMl7mgcA3uQC,Universidad Andres Bello,unab,@unab.cl,1020,
13542589241086357504,iytg6FkAAAAJ,Universidad Andres Bello,unab,@unab.cl,1006,"Molecular simulation, tubulin binding agents, dendrimers"
13542589241086357504,AJqQ7TkAAAAJ,Universidad Andres Bello,unab,@unab.cl,972,"Catálisis, Ingeniería Química, Sustentabilidad de Procesos, Energía"
13542589241086357504,tZ89hfMAAAAJ,Universidad Andres Bello,unab,@unab.cl,973,"virology, molecular biology, celular biology"
13542589241086357504,KG_a-yoAAAAJ,Profesora de la Universidad Andrés Bello,unab,@unab.cl,940,Educación en Ciencias de la Salud
13542589241086357504,hLtDyK4AAAAJ,Universidad Andres Bello,unab,@unab.cl,961,"Behavioral Ecology, Molecular Ecology"
13542589241086357504,8_DjjuoAAAAJ,"Profesor Titular, Facultad de Enfermería, Universidad Andres Bello",unab,@unab.cl,952,"Calidad, seguridad de pacientes, eventos adversos, IAAS"
13542589241086357504,JPWSU2wAAAAJ,Universidad Andrés Bello,unab,@unab.cl,926,"Sociology, Social Theory, Critical Theory, Sociology of Time"
13542589241086357504,7TImrhEAAAAJ,Universidad Andrés Bello,unab,@unab.cl,958,"Immunology, microbiology"
13542589241086357504,TOB8p3IAAAAJ,Environmental Sustainability at CSB-UNAB,unab,@unab.cl,913,"Biotechnology, Biomonitoring, Innovation, Vaccines development"
