organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
605437563739143552,vjUabgsAAAAJ,"Distinguished Professor, Director, Laboratory of Electrocatalysis, University of Santiago de Chile",usach,@usach.cl,14404,"electrochemistry, electrocatalysis, molecular electrochemistry, fuel cells, sensors"
605437563739143552,40JhpwoAAAAJ,"Assistant Professor, Universidad de Santiago de Chile",usach,@usach.cl,10029,"Autophagy, primary cilium, insulin signaling, obesity, high-fat diet"
605437563739143552,8fuNPLIAAAAJ,Departamento de Física Universidad de Santiago,usach,@usach.cl,6363,soft matter
605437563739143552,OLE-0rQAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,6078,"Pulsar astronomy, Space physics"
605437563739143552,3Sgir38AAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,5501,"Theoretical Physics, Mathematical Physics, Symmetries"
605437563739143552,Ou8EPYUAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,5469,Food Packaging and Technology
605437563739143552,j_0nksgAAAAJ,"Department of Physics, University of Santiago, Chile (https://fisica.usach.cl/es)",usach,@usach.cl,4821,"Synthesis of nanomaterials, Graphene based supercapacitors and  solar cells, Nanotribology, Nanomedicine, Nano-optics"
605437563739143552,Kh9TTGwAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,4755,"crime, latin america"
605437563739143552,RaXFT1e0ut8C,Universidad de Santiago de Chile,usach,@usach.cl,4244,"astrophysics, planet formation, hydrodynamics, planet-disk interactions, art-science"
605437563739143552,skoAD_MAAAAJ,"Académico Departamento de Educación y Director de CIIET, Universidad de Santiago de Chile",usach,@usach.cl,4261,"e-learning, competencias digitales, Tutoría Online, Diseño Instruccional Online, Competencia Digital Docente"
605437563739143552,ELMWDxoAAAAJ,"Departamento de Matemática y Ciencia de la Computación, Universidad de Santiago de Chile",usach,@usach.cl,4044,"Evolution Equations, Functional Analysis, Fractional calculus, Integro-differential equations, Operator theory"
605437563739143552,SdFaw84AAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,3953,Physicochemical and electrochemical properties of solid materials
605437563739143552,BJhK_mgAAAAJ,"Physics Department, Universidad de Santiago de Chile",usach,@usach.cl,3963,Nanoscience and Magnetism
605437563739143552,AQGsfCIAAAAJ,Departamento de Física de la Universidad de Santiago de Chile,usach,@usach.cl,3931,"Nanomaterials, Nanomagnetism, Synthesis, Characterization, Micromagnetism"
605437563739143552,mf7nwusAAAAJ,Universidad de Santiago,usach,@usach.cl,3896,magnetismo
605437563739143552,dG2WqtgAAAAJ,UNIVERSIDAD DE SANTIAGO DE CHILE,usach,@usach.cl,3724,"Corrosion, Electroquimica"
605437563739143552,tDoWm3EAAAAJ,"Instituto de Estudios Avanzados, Universidad de Santiago de Chile",usach,@usach.cl,3507,"Pensamiento Latinoamericano, Global South, Historia de América Latina, Intellectual-History, Ideology"
605437563739143552,DkTCOGAAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,3464,"Superconducting circuits and circuit QED, open quantum systems, many-body quantum systems, quantum information"
605437563739143552,UcBo6UEAAAAJ,Profesor de Química Universidad de santiago de Chile,usach,@usach.cl,3460,"Química de productos naturales, biotecnología, entomología ecología"
605437563739143552,sHV_7OoAAAAJ,"Instituto de Estudios Avanzados, Universidad de Santiago de Chile",usach,@usach.cl,3444,
605437563739143552,6Bk08j0AAAAJ,"Doctora Alejandra Moenne, Universidad de Santiago de Chile",usach,@usach.cl,3322,"biología molecular, algas, plantas, biología celular, fisiología"
605437563739143552,Ul2ooVwAAAAJ,academico universidad de Santiago de Chile,usach,@usach.cl,3264,quimica atmosferica y del medio ambiente
605437563739143552,4PIFBxkAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,3249,"Computational Chemistry, Molecular Magnetism, Molecular Spintronics"
605437563739143552,8kIJIa4AAAAJ,"Profesor Titular, IDEA, Universidad de Santiago de Chile",usach,@usach.cl,3213,"sociología de la religión, pluralismo religioso, desarrollo sustentable, cultura latinoamericana, sociología ambiental"
605437563739143552,cLH8_BEAAAAJ,UNIVERSIDAD DE SANTIAGO DE CHILE,usach,@usach.cl,3221,BIOTECNOLOGIA VEGETAL
605437563739143552,siGiupwAAAAJ,PROFESSOR UNIVERSIDAD DE SANTIAGO DE CHILE,usach,@usach.cl,3176,"Biomedicine, Pharmaology, Neurocscience, Natural Products"
605437563739143552,E86PJwcAAAAJ,universidad de santiago,usach,@usach.cl,3098,physics
605437563739143552,-utd1psAAAAJ,"Vicerrectoria de Investigación, Desarrollo e Innovación, Universidad de Santiago de Chile",usach,@usach.cl,2965,
605437563739143552,9_-XOksAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2952,"Electroquímica, agua, medio ambiente, cromatografía"
605437563739143552,DqTSfk4AAAAJ,"Departamento de Ingeniería Química, Universidad de Santiago de Chile",usach,@usach.cl,2716,"Chemical Engineering, membrane processes, supercritical fluids, ionic liquids, polymer functionalization"
605437563739143552,0tgkQogAAAAJ,"Associate Professor in Structural Engineering - University of Santiago, Chile",usach,@usach.cl,2588,"Structural Engineering, Civil Engineering, Computational mechanics, Timber structures"
605437563739143552,0E8z-RUAAAAJ,Univ. of Santiago & UBC,usach,@usach.cl,2439,"Evolution, Systems biology, Statistical physics"
605437563739143552,AJSp8EEAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2440,"Rheological/Non-Newtonian Fluid Mechanics, Continuum Mechanics, Applied Mathematics ..."
605437563739143552,L4MMRrEAAAAJ,"Escuela de Psicología, Universidad de Santiago de Chile",usach,@usach.cl,2474,"Análisis de la conversación, Resiliencia, Cultura Escolar, videojuegos educativos, Procesos cognitivos"
605437563739143552,zKVJCeQAAAAJ,professor University of Santiago,usach,@usach.cl,2414,"adolescent health, pubic health, global health"
605437563739143552,AnzDUtsAAAAJ,University of Santiago,usach,@usach.cl,2389,"Genomics, Bioinformatic, Biotechnology, Animal Production"
605437563739143552,VuWbL80AAAAJ,Departamento de Física Universidad de Santiago de Chile,usach,@usach.cl,2364,"Quantum Optics, Quantum Information, Quantum Computation, Quantum Technologies"
605437563739143552,RPH9EHYAAAAJ,"Universidad de Santiago de Chile, Faculty of Chemistry and Biology",usach,@usach.cl,2371,Theoretical Chemistry
605437563739143552,aFKkx1IAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2419,"Phytochemistry, Ethnopharmacology, Archaeological Chemistry, Bioorganic Chemistry, Medicinal Chemistry"
605437563739143552,fZpiENAAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2360,Genetics
605437563739143552,3VweR_sAAAAJ,"Estudiante del Magíster en Economía Financiera, Universidad de Santiago de Chile",usach,@usach.cl,2215,"Política Monetaria, Finanzas Internacionales"
605437563739143552,gSjbjokAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2074,
605437563739143552,_7CvrPUAAAAJ,USACH,usach,@usach.cl,2034,"Catalisis heterogenea, propedeuticos, inclusion en educacion superior, ranking de notas"
605437563739143552,t0-RzjEAAAAJ,"University of Santiago, Chile",usach,@usach.cl,2024,Parallel and Distributed Computing
605437563739143552,ZEGJX30AAAAJ,Universidad de Santiago de Chile (USACH),usach,@usach.cl,2032,"Genetics, Microbiology, Biotechnology"
605437563739143552,AeJzLDQAAAAJ,Universidad de santiago de Chile,usach,@usach.cl,2055,"Alimentos funcionales, procesos biotecnologicos"
605437563739143552,H69T0x8AAAAJ,"Associate Professor, Universidad de Santiago de Chile",usach,@usach.cl,2050,"electrochemistry, bioelectrochemistry, electrocatalysts, molecular electrochemistry"
605437563739143552,pv0M_A0AAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,2047,"Psicologia Evolucionista, Celos, Relaciones Interpersonales"
605437563739143552,OnzrDoIAAAAJ,"Dpto Ciencias del Ambiente, Facultad de Química y Biología USACh",usach,@usach.cl,2000,electroquímica
605437563739143552,jRmQ9AkAAAAJ,"Professor, physiology, Universidad de Santiago de Chile",usach,@usach.cl,1984,"Pain, Pathological Neuroplasticity"
605437563739143552,PyqPs40AAAAJ,"Historiador, Universidad de Santiago de Chile",usach,@usach.cl,1980,Patrimonio alimentario
605437563739143552,_z5EDa4AAAAJ,"Departamento de Ingeniería Informática, Universidad de Santiago de Chile",usach,@usach.cl,1973,"Optimization, Evolutionary computing, generative design of algorithms"
605437563739143552,EUGZ8m8AAAAJ,Universidad de Santiago,usach,@usach.cl,1790,"atmospheric pollution, black carbon"
605437563739143552,E3W_qVAAAAAJ,"Centro de Biotecnología Acuícola, Universidad de Santiago de Chile",usach,@usach.cl,1824,"Immunology, Stress response, Host-pathogen interaction, Functional diets, Functional genomics"
605437563739143552,zgG5YN0AAAAJ,"Associate Professor, Departamento de Ingeniería Informática, Universidad de Santiago de Chile",usach,@usach.cl,1782,"Information Seeking, Affective Computing, Human Computer Interaction, Information Literacy, Human Information Interaction"
605437563739143552,N0HhSQwAAAAJ,"Professor Economic Geology, Universidad de Santiago de Chile",usach,@usach.cl,1779,"Economic Geology, Ore Deposits, Iron Ore Deposits, Ore Magmas, IOCG Deposits"
605437563739143552,PJSqnNIAAAAJ,"Department of Physics, Universidad de Santiago de Chile",usach,@usach.cl,1752,"Molecular Physics, Chemical Physics, Quantum Optics"
605437563739143552,So4iXG4AAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,1714,"photochemistry, free radicals, peptide"
605437563739143552,b7fflboAAAAJ,Universidad de Santiago de Chile (USACH),usach,@usach.cl,1696,"Dynamical Systems, Geometry, Group Theory, Mathematics Education, Popularization of Mathematics"
605437563739143552,zDZMmf4AAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,1657,"Humanidades, Literatura Latinoamericana"
605437563739143552,TOdPNdYAAAAJ,Universidad De Santiago de Chile,usach,@usach.cl,1663,"QFT, Phenomenology of QG"
605437563739143552,H6KKV6YAAAAJ,Universidad de Santiago,usach,@usach.cl,1661,"Microbiología, Biotecnología, Extremófilos, Biolixiviación"
605437563739143552,55WhpmEAAAAJ,USACH,usach,@usach.cl,1639,"Microbiologia de alimentos, biotecnologia, bioquimica"
605437563739143552,a9IzwRQAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,1643,"Enzymes Kinetic, enzyme immobilization, lactose, prebiotic, alkyl-glycosides"
605437563739143552,QGjL-aAAAAAJ,Universidad de Santiago de Chile,usach,@usach.cl,1619,"Computational Fluid Dynamics, Finite Elements, Free surface"
605437563739143552,3uWBpdwAAAAJ,"Profesor de Farmacologia, Universidad Autonoma de Chile y Universidad de Santiago de Chile",usach,@usach.cl,1620,Farmacología sistema nerviosos central
605437563739143552,yXeMPpEAAAAJ,"Académico, Universidad de Santiago de Chile",usach,@usach.cl,1588,"Políticas Públicas, Pobreza, Desigualdad y Criminalidad"
