organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
6030355530770144394,TcfgAAMAAAAJ,Universidad de La Serena,userena,@userena.cl,11160,"Astrophysics: Massive Stars, Star-Formation Regions, The Galaxy"
6030355530770144394,FcH8Zc8AAAAJ,Universidad de La Serena - Departamento de Astronomía,userena,@userena.cl,11114,"Massive stars, Interstellar medium, Optical, NIR, Radio"
6030355530770144394,tuNjt5gAAAAJ,"Universidad de La Serena, Astronomy Department",userena,@userena.cl,9384,"Observational Astrophysics, Extragalactic Astronomy, Galaxy Formation and Evolution, Star-forming Galaxies"
6030355530770144394,R9ntLLQAAAAJ,"Professor, Universidad de La Serena, Chile",userena,@userena.cl,8346,Ecology and Evolution
6030355530770144394,f4KcEYUAAAAJ,"Astronomer, Universidad de La Serena",userena,@userena.cl,7813,"Astronomy, Astrophysics, Massive Stars, Binary Stars, Star Formation"
6030355530770144394,EjvA3x4AAAAJ,Universidad de La Serena,userena,@userena.cl,7350,Ecología
6030355530770144394,hvNiAtUAAAAJ,"Profesor Titular, Universidad de La Serena",userena,@userena.cl,6982,Ecología
6030355530770144394,roYuRGEAAAAJ,"Universidad de La Serena, La Serena, Chile.",userena,@userena.cl,3887,particle physics phenomenology.
6030355530770144394,J7Ofmm8AAAAJ,Universidad de La Serena,userena,@userena.cl,3617,Astronomia experimental. Astronomia observacional.
6030355530770144394,gHRqRewAAAAJ,"Academico Media Jornada, Depto de Biología Facultad de Ciencias Universidad de la Serena",userena,@userena.cl,1628,"microbiologia clínica, educación en ciencias de la salud, epidemiología, inmunología"
6030355530770144394,jkKcGz8AAAAJ,Profesora Titular Universidad de La Serena/ CEAZA,userena,@userena.cl,1168,"Vulnerabilidad y medio ambiente, Psicopatologia Infantil"
6030355530770144394,ehdqIeEAAAAJ,University of La Serena. Chile,userena,@userena.cl,1125,Proteomics
6030355530770144394,9iSmyOwAAAAJ,Universidad de La Serena,userena,@userena.cl,1102,"Molecular genetics, microbiology"
6030355530770144394,-AjeGuUAAAAJ,"Departamento de Psicología, Universidad de La Serena, Chile",userena,@userena.cl,926,
6030355530770144394,onjLq9AAAAAJ,"Departamento de Ingeniería Industrial, Universidad de La Serena",userena,@userena.cl,935,"Augmented Reality, Education, Engineering"
6030355530770144394,RGd3tLUAAAAJ,"Professor of Biology, Universidad de La Serena",userena,@userena.cl,856,"Landscape ecology, landscape genetics"
6030355530770144394,ugk4QKQAAAAJ,Universidad de La Serena,userena,@userena.cl,792,Historia Cultural
6030355530770144394,gpOnFmcAAAAJ,"Univ. de La Serena, Fac. de Ingeniería, Dpto. de Ing. Industrial, Casilla 554, La Serena-Chile",userena,@userena.cl,729,"huella de carbono, carbon footprint, CO2"
6030355530770144394,KauMeU4AAAAJ,Universidad de La Serena,userena,@userena.cl,695,"Lingüística, Análisis del Discurso, Escritura Científica"
6030355530770144394,qB8X6sUAAAAJ,Universidad de La Serena,userena,@userena.cl,634,"Bioactive compounds, Food engineering, Food Science"
6030355530770144394,L5bep3EAAAAJ,"Associate professor, Universidad de La Serena",userena,@userena.cl,627,"Community Ecology, Community phylogenetics, Species interactions"
6030355530770144394,ySiP52oAAAAJ,Universidad de La Serena,userena,@userena.cl,600,"sequía, hidrología, variabilidad climática, SIG"
6030355530770144394,XEDUFHkAAAAJ,Universidad de La Serena,userena,@userena.cl,532,"Plant ecology, Functional ecology, Plant ecophysiology, Evolutionary ecology"
6030355530770144394,YzPzWLwAAAAJ,Académico Departamento de Psicología Universidad de La Serena,userena,@userena.cl,489,"Emociones, construcción de test"
6030355530770144394,8jv1iEgAAAAJ,Universidad de La Serena,userena,@userena.cl,451,Educación Geográfica
6030355530770144394,-mLyPP8AAAAJ,"Departamento de Biología, Universidad de La Serena",userena,@userena.cl,453,Educación en ciencias
6030355530770144394,TSjWFdMAAAAJ,docente de la Universidad de La Serena,userena,@userena.cl,429,"Floraciones Algales Nocivas, Saxitoxinas, Canales de sodio regulados por voltaje"
6030355530770144394,z5yNDbEAAAAJ,Universidad de La Serena,userena,@userena.cl,423,"escritura académica, escritura científica, discurso especializado"
6030355530770144394,7W4w7OsAAAAJ,Universidad de La Serena,userena,@userena.cl,390,"comportamiento del consumidor, emprendimiento, educación superior, gestión estratégica"
6030355530770144394,t8xyCRMAAAAJ,"Profesor de Psicología, Universidad de La Serena",userena,@userena.cl,341,"Psicología educacional, educación, metodología cualitativa"
6030355530770144394,_-e3ImsAAAAJ,Universidad de La Serena,userena,@userena.cl,332,"Plant-insect interactions, insect behaviour, insect ecology, chemical ecology"
6030355530770144394,qF84uukAAAAJ,Universidad de La Serena,userena,@userena.cl,332,Ecología y Biología Evolutiva
6030355530770144394,cmxKvaMAAAAJ,Universidad de la Serena,userena,@userena.cl,327,Astronomía
6030355530770144394,yTI-SlcAAAAJ,"Profesor Adjunto, Universidad de La Serena",userena,@userena.cl,289,Química Inorgánica
6030355530770144394,L1nMUo4AAAAJ,"Academic of Physics, Universidad de La Serena",userena,@userena.cl,286,"Space Plasma Physics, Quantum Plasmas, Statistical Mechanics"
6030355530770144394,3_ZfdtQAAAAJ,Instituto Multidisciplinario de Ciencia y Tecnología/Depto De Biología. Universidad de La Serena,userena,@userena.cl,271,Genética y Citogenética Molecular
6030355530770144394,QGnIJQona2sC,Universidad de La Serena,userena,@userena.cl,266,"Process modelling and simulation, Multiphase systems, Renewable resources assessment"
6030355530770144394,BevCyxkAAAAJ,Universidad de La Serena-ULS/ Instituto de Filosofía y Ciencias de la Complejidad-IFICC,userena,@userena.cl,226,Ecological interactions/ population and community ecology/ behavioral and evolutionary ecology/ conservation biology
6030355530770144394,jC3oQzoAAAAJ,Universidad de La Serena,userena,@userena.cl,231,high redshift galaxies
6030355530770144394,dknfEPoAAAAJ,Universidad de La Serena,userena,@userena.cl,155,Aprendizaje
6030355530770144394,rmwkHicAAAAJ,Universidad de La Serena,userena,@userena.cl,148,"Ecología, Biología de la Conservación"
6030355530770144394,ISYRRPMAAAAJ,Science Communication at Faculty of Science at Universidad de La Serena,userena,@userena.cl,143,Science Communication
6030355530770144394,MA4wTfIAAAAJ,Depto. Ingeniería Industrial - Universidad de La Serena,userena,@userena.cl,144,"Family Business, Value Creation, Innovation"
6030355530770144394,GbPzQb0AAAAJ,"Académico de Psicología, Universidad de La Serena",userena,@userena.cl,128,"Teorías subjetivas, pensamiento del profesor, conocimiento profesional del profesor"
6030355530770144394,wLap3JEAAAAJ,"Profesor de Psicología, Universidad de La Serena",userena,@userena.cl,106,"Psicología Educacional, educación, convivencia escolar, gestión escolar, formación socioemocional"
6030355530770144394,hOoCqX4AAAAJ,Universidad de La Serena,userena,@userena.cl,92,Numerical methods in Fluid mechanics and heat transfer
6030355530770144394,9cbDnV8AAAAJ,Universidad de La Serena,userena,@userena.cl,95,"sociología del lenguaje, lingüística, educación, metodología, ciencias"
6030355530770144394,-6TWG-4AAAAJ,"Profesor de Ingeniería, Universidad de La Serena; Profesor de Ingeniería, Universidad Católica del",userena,@userena.cl,85,"Sustainable Development, Sustainable Construction, Systems Dynamics"
6030355530770144394,6O7GFF4AAAAJ,Universidad de La Serena,userena,@userena.cl,70,
6030355530770144394,vjwZozcAAAAJ,Universidad de La Serena,userena,@userena.cl,69,"urbanismo, patrimonio"
6030355530770144394,daAU0OEAAAAJ,"Investigadora, Universidad de La Serena",userena,@userena.cl,63,"Enfermedad de Chagas, cáncer de mama, cáncer cervicouterino"
6030355530770144394,DDSm_VsAAAAJ,"Profesor Titular, Universidad de La Serena",userena,@userena.cl,62,"Cognición, discurso, argumentación, retórica"
6030355530770144394,z4laov0AAAAJ,Universidad de La Serena,userena,@userena.cl,58,"Educación matemática, Informática educativa, Curriculum, Mathematics education, Problem solving"
6030355530770144394,Q5mgddoAAAAJ,"Departamento Ingenieria de Minas, Universidad de La Serena",userena,@userena.cl,46,Recursos Hídricos y Medio AMbiente
6030355530770144394,cnGgpR4AAAAJ,Académico Universidad de La Serena,userena,@userena.cl,42,Educación artística decolonial
6030355530770144394,YBvIuM0AAAAJ,Universidad de La Serena,userena,@userena.cl,45,Ciencias Cognitivas y Educación
6030355530770144394,LyIGx10AAAAJ,PhD candidate Universidad de La Serena,userena,@userena.cl,40,"food science, food engineering, analytical chemistry"
6030355530770144394,eBFjH4IAAAAJ,Profesora de Matemáticas. Universidad de La Serena,userena,@userena.cl,37,"formación inicial docente, educación científica, e-learning, innovación educativa, estilos de aprendizaje"
6030355530770144394,RVAGCMAAAAAJ,Universidad de La Serena,userena,@userena.cl,32,"Didáctica, TIC, Innovación"
6030355530770144394,TzVVQH8AAAAJ,Universidad de La Serena,userena,@userena.cl,40,"Sociología, Educación, Semántica cognitiva, STEAM, CRS"
6030355530770144394,S6lNhUYAAAAJ,Universidad de La Serena,userena,@userena.cl,26,"Ecología, biología de la conservación"
6030355530770144394,nw_q7j4AAAAJ,Universidad de La Serena,userena,@userena.cl,25,Numerical Analysis
6030355530770144394,VdmZSWcAAAAJ,Académico Universidad de La Serena,userena,@userena.cl,17,"edicación musical, didáctica específicas, currículum educativo"
6030355530770144394,aNsXKFgAAAAJ,"Universidad de La Serena, Chile",userena,@userena.cl,10,"Desarrollo rural, extension agrícola, recursos hídricos"
6030355530770144394,K6KYVa8AAAAJ,"Professor at Universidad de La Serena, Chile",userena,@userena.cl,9,"Education, Teaching of languages, Learning with tecnologies"
6030355530770144394,LWDFpDcAAAAJ,Universidad de La Serena,userena,@userena.cl,6,"Algebra, Combinatorics"
6030355530770144394,_YLE7JAAAAAJ,Universidad de La Serena,userena,@userena.cl,7,"Number Theory, Special Functions"
6030355530770144394,_kj_HkQAAAAJ,Ph.D Student at Universidad de La Serena,userena,@userena.cl,6,"Botany, Reproduction and Polyploidy"
6030355530770144394,_gslPf4AAAAJ,Universidad de La Serena,userena,@userena.cl,7,"conservación, ecología vegetal"
