organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
9225498103198054400,16OlurgAAAAJ,Universidad Técnica Federico Santa Maria,usm,@usm.cl,214904,High Energy and Nuclear Physics
9225498103198054400,v_0SXv4AAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,176086,"artificial intelligence, machine learning, computer vision, image processing"
9225498103198054400,0FY9s_UAAAAJ,"Physics Professor (Emeritus), Universidad Tecnica Federico Santa Maria",usm,@usm.cl,64584,Particle Physics
9225498103198054400,X5xPjmkAAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,28630,"Power Electronics, Renewable Energy, Multilevel Converters, Wind Energy, Electromobility"
9225498103198054400,k2mB7EkAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,18170,Astrophysics
9225498103198054400,c9ql-BAAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,15889,"Power electronics, multilevel converters, smart grids"
9225498103198054400,3itZwbsAAAAJ,"Universidad Tecnica Federico Santa Maria, Chile",usm,@usm.cl,15595,"Power Electronics, Predictive Control"
9225498103198054400,Oa3Aze8AAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,11446,"Non-perturbative QCD, Hadronization, Nuclear medium effect, Spin Physics, Nucleon Structure"
9225498103198054400,-0gRNgsAAAAJ,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile",usm,@usm.cl,8796,"AC motor drives, digital control of power converters"
9225498103198054400,ImrRuDsAAAAJ,Universidad Técnica Federico Santa Maria,usm,@usm.cl,7538,
9225498103198054400,KsLLafwAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,5839,"microbiology, botechnology"
9225498103198054400,_6PE3GsAAAAJ,"Associate Professor, Department of Electronics Engineering, Universidad Técnica Federico Santa María",usm,@usm.cl,5078,"Optical fiber sensors, Optical amplification, Nonlinear fiber optics"
9225498103198054400,fmh3SNcAAAAJ,"Assistant Professor, Department of Chemistry, Universidad Tecnica Federico Santa Maria (USM), Chile",usm,@usm.cl,4864,"Computational chemistry, tetrapyrroles, graphenes, anticorrosive coatings, organometallic compounds"
9225498103198054400,uOC2s1AAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,4470,"Jorderensning, tungmetalfjernelse, adsorption, electrocoagulation, electrodialyse"
9225498103198054400,mYWIQd4AAAAJ,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,@usm.cl,4155,"Quantum physics, Magnetism, Image processing"
9225498103198054400,Fe48yUYAAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,3760,Food Processing/Engineering
9225498103198054400,F7-FI08AAAAJ,UTFSM & NORDITA,usm,@usm.cl,3583,"Condensed Matter Theory, Topological Quantum Matter, Quantum Criticality"
9225498103198054400,v_u2SesAAAAJ,"Departamento de Física, Universidad Técnica Federico Santa María, Chile",usm,@usm.cl,3458,"Condensed Matter Physics, Magnetism, Spintronics, Magnonics, Nanomagnetism"
9225498103198054400,T6e3MokAAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,3295,"Flotación, Procesamiento de Minerales"
9225498103198054400,mfnr2oEAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,2995,"Electronic Engineering, Automatic Control, System Identification"
9225498103198054400,Q1os61kAAAAJ,"Professor of Theoretical Physics, Universidad Tecnica Federico Santa Maria",usm,@usm.cl,2973,Nanostructures: optical and transport properties
9225498103198054400,3OCgG7wAAAAJ,Universidad Técnica Federico Santa Maria,usm,@usm.cl,2781,Condensed Matter Physics
9225498103198054400,onKbDaIAAAAJ,"Research-Professor, Universidad Tecnica Federico Santa Maria",usm,@usm.cl,2763,power electronics
9225498103198054400,Ihz46DUAAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,2647,
9225498103198054400,SWifA9sAAAAJ,"Full professor, Math. Dep., UTFSM",usm,@usm.cl,2567,"Nonlinear Analysis, PDE, Partial Differential Equations, Nonlocal Operators"
9225498103198054400,Vj4mHpEAAAAJ,"Department of Electronic Engineering, Universidad Técnica Federico Santa María",usm,@usm.cl,2340,"Voice Production, Speech Science, Voice Disorders, Acoustic Signal Processing, Biomedical Engineering"
9225498103198054400,1vhDro8AAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,2311,"Finance, Econometrics"
9225498103198054400,2YCiYHEAAAAJ,"UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA, Departamento de Ingeniería Química y Ambiental",usm,@usm.cl,2225,Food processing/Sustainable engineering
0,32ekRVMAAAAJ,UTFSM (on sabbatical) & UNAB,usm,@acm.org,2139,"Software Architecture, Adoption Readiness, Heritage Computing"
9225498103198054400,VjmgcGIAAAAJ,Universidad Técnica Federico Santa Maria,usm,@usm.cl,2061,"Advanced materials, Metallurgy, Powder Metallurgy, Thermodynamics, Ti-based alloys"
9225498103198054400,Y7-gCmAAAAAJ,Universidad Técnica Federico Santa María,usm,@usm.cl,2040,"Energy Conversion, Combustion, Fire, Engineering, Microgravity"
9225498103198054400,wSXnYFYAAAAJ,Universidad Tecnica Federico Santa Maria (Chile),usm,@usm.cl,1963,"System Identification, Control, Automatic Control, Statistical Signal Processing"
9225498103198054400,0LgnrDEAAAAJ,Universidad Tecnica Federico Santa Maria,usm,@usm.cl,1940,"tsunamis, nearshore processes"
9225498103198054400,bH_VKagAAAAJ,universidad Técnica Federico Santa Maria,usm,@usm.cl,1887,white dwarfs
9225498103198054400,Q2P4D4wAAAAJ,Professor Universidad Tecnica Federico Santa Maria,usm,@usm.cl,1759,"Environment, pollution, chemistry, atmosphere, soil"
9225498103198054400,sCxmQKQAAAAJ,"Ph.D student, Universidad Tecnica Federico Santa Maria",usm,@sansano.usm.cl,1717,"Experimental High Energy Physics, Neutrino Physics, Physics Education"
