organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
1812728570911196416,J3Durw8AAAAJ,"Faculty of Medicine and Science, Universidad San Sebastián, Chile",uss,@uss.cl,22073,"autophagy, primary cilium, metabolism, obesity"
1812728570911196416,cE4i7RwAAAAJ,Universidad San Sebastian,uss,@uss.cl,12855,Biología Celular
1812728570911196416,RnMVg4QAAAAJ,"Associate Professor, Universidad San Sebastián",uss,@uss.cl,5918,Nanomaterials for infection control  &  Hydrogels for advanced applications
1812728570911196416,EWjCdo0AAAAJ,"Facultad de Medicina & Ciencia, Universidad San Sebastián",uss,@uss.cl,4680,"genome evolution, gene family evolution, molecular evolution, comparative genomics"
1812728570911196416,3QjSMq0AAAAJ,Universidad San Sebastian,uss,@uss.cl,4053,"Nephrology, Hypertension, Renal Physiology and Pathology"
1812728570911196416,5Z6nbs0AAAAJ,Facultad de Medicina y Ciencia. Universidad San Sebastián,uss,@uss.cl,3839,Protein trafficking. Cell polarity. Signaling. Cancer. Neuroimmunology.
1812728570911196416,5w40_sYAAAAJ,Universidad San Sebastián,uss,@uss.cl,3573,"urban, gentrification, inner city, entrepreneurialism"
1812728570911196416,Mr19oawAAAAJ,Universidad San Sebastián,uss,@uss.cl,3103,Química Inorgánica
1812728570911196416,OdR5EgcAAAAJ,"Professor of Nutrition, Universidad San Sebastián",uss,@uss.cl,3129,"Nutrition, artificial sweeteners, obesity, old adults"
1812728570911196416,ecuW5toAAAAJ,Universidad San Sebastian,uss,@uss.cl,2864,"marine biodiversity, cold-water corals, marine protected areas, biogeography"
1812728570911196416,OReZXCQAAAAJ,Universidad San Sebastián; Roswell Park Cancer Institute,uss,@uss.cl,2800,"Prostate cancer, tumor microenvironment, angiogenesis, metabolism, androgens"
1812728570911196416,XYEZ690AAAAJ,Profesor Asociado. Universidad San Sebastián,uss,@uss.cl,2602,Lipid metabolism. Endothelial function. Pregnancy related pathologies
1812728570911196416,Svu2s9AAAAAJ,Universidad San Sebastián,uss,@uss.cl,2394,cell biology
1812728570911196416,A-iKXMUAAAAJ,Universidad San Sebastian,uss,@uss.cl,2200,Neuroscience
1812728570911196416,4cZPsgkAAAAJ,"Associate Professor, Faculty of Medicine and Science, Universidad San Sebastián",uss,@uss.cl,2176,"Cancer Cell Biology, Stem Cells, Exosomes, Small Extracellular Vesicles"
1812728570911196416,Rt9FDvkAAAAJ,"Facultad de Medicina y Ciencia, Universidad San Sebastián",uss,@uss.cl,2068,Cell Biology Autophagy Proteostasis Proteasome Lysosomes
1812728570911196416,_DUx58kAAAAJ,"Profesor de psicología social, Universidad San Sebastián",uss,@uss.cl,1931,"Tolerancia, respeto, aculturación"
1812728570911196416,oLXQ8UAAAAAJ,"Director Nacional de Investigación, Facultad de Odontología, Universidad San Sebastián",uss,@uss.cl,1581,"Patología Oral, Autoinmunidad"
1812728570911196416,utxxkrcAAAAJ,"Universidad San Sebastián, Sede de la Patagonia",uss,@uss.cl,1495,"Virology, Infectious Diseases, Molecular Biology"
1812728570911196416,2LCZdhEAAAAJ,"Assistant Professor, Universidad San Sebastian",uss,@uss.cl,1417,"Lifespan, Genomics, Somatic Mosaicism"
1812728570911196416,fFfL3pcAAAAJ,Universidad San Sebastian,uss,@uss.cl,1344,Psychotherapeutic Process Research
1812728570911196416,rG_d6K4AAAAJ,"Investigador Académico, Universidad San Sebastián",uss,@uss.cl,1287,Biología Celular y Molecular e Inmunología
1812728570911196416,-xvMIWgAAAAJ,Universidad San Sebastián,uss,@uss.cl,1250,"Microbial Biotechnology, Sulfate reducing bacteria, Biomining, Acidophiles, Geomicrobiology"
1812728570911196416,AyfEF4YAAAAJ,CIBA - Universidad San Sebastián,uss,@uss.cl,1248,"fish, diseases, pathology, virology"
1812728570911196416,9QBWM9MAAAAJ,Universidad San Sebastián,uss,@uss.cl,1188,"Kidney, Physiology, Hypertension"
1812728570911196416,FYg3J-IAAAAJ,"Associate Professor, Chemical Biology & Drug Discovery Lab, Facultad de Medicina y Ciencia, USS",uss,@uss.cl,1139,"Drug Discovery, Computer-Aided Drug Design, Chemical Biology, Molecular Pharmacology"
