organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
4727335469935944704,Uc0yu3EAAAAJ,"Universidad de Tarapaca,  Chile",uta,@academicos.uta.cl,14016,"Nanomaterials, Photocatalyst, Nanoporous, Semiconductor, Materials"
4727335469935944704,xu1R9IcAAAAJ,Universidad de Tarapacá,uta,@uta.cl,7180,Psicología Clínica
4727335469935944704,oaqR2GoAAAAJ,Universidad de Tarapacá,uta,@uta.cl,6914,"Chinchorro mummies, Bioarchaeology, Paleopathology"
4727335469935944704,7Yqek_0AAAAJ,"Associate Professor, Instituto de Alta Investigación, Universidad de Tarapacá",uta,@academicos.uta.cl,5955,"M dwarfs, brown dwarfs, exoplanets"
4727335469935944704,t8hdQjYAAAAJ,Universidad de Tarapaca,uta,@uta.cl,5869,"Archaeology, hunter-gatherers, paleoenviroment, South America, Andes"
4727335469935944704,ATFF7ikAAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,4764,"Educación superior, gobernanza universitaria, gobierno universitario, talento humano, liderazgo"
4727335469935944704,OSSLHcAAAAAJ,Profesor Titular - Universidad de Tarapacá (Chile),uta,@uta.cl,4412,"Educación Superior, Gestión del Conocimiento, Liderazgo"
4727335469935944704,9SvW7BUAAAAJ,Facultad de Educación y Humanidades de la Universidad de Tarapacá,uta,@academicos.uta.cl,4331,"Educación superior, políticas educativas, equidad, aseguramiento de calidad"
4727335469935944704,FgEMtxQAAAAJ,Profesora Titular Universidad de Tarapaca,uta,@uta.cl,4138,"liderazgo, educación superior, estrategia."
4727335469935944704,jX7ZvS4AAAAJ,Universidad de Tarapacá,uta,@uta.cl,4007,
4727335469935944704,p86gQo0AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,3793,"migraciones, políticas migratorias, fronteras, interculturalidad, Chile"
4727335469935944704,j1T5Cd4AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,3250,"Energía solar, Tratamiento solar de aguas, Desarrollo sustentable, Innovación"
4727335469935944704,TKDdBTkAAAAJ,"Professor of Physics, Universidad de Tarapacá",uta,@uta.cl,2976,"Chaos, Hydrodynamic Instabilities, Magnetism, Quantum mechanics, Mathematical modeling"
4727335469935944704,gZJwoscAAAAJ,"Universidad de Tarapacá, profesor titular",uta,@academicos.uta.cl,1924,"historia regional, relaciones internacionales, historia de la minería"
4727335469935944704,gMutzEsAAAAJ,Universidad de Tarapacá,uta,@uta.cl,1911,
4727335469935944704,raIGAMAAAAAJ,Estudiante Psicología UTA,uta,@alumnos.uta.cl,1486,Psicología
4727335469935944704,vOfS1hAAAAAJ,Universidad de Tarapaca,uta,@uta.cl,1475,"Psicología, Metodología de Investigación, Gestión Organizacional"
4727335469935944704,h63gYiQAAAAJ,"Independent Researcher, Universidad de Tarapacá",uta,@academicos.uta.cl,1428,"Near-Field cosmology, Milky Way, globular clusters, tidal streams"
4727335469935944704,Qu0U_LkAAAAJ,Universidad de Tarapacá,uta,@uta.cl,1360,"Arqueología del norte grande de Chile, patrones de asentamiento, relacion es interétnicas"
4727335469935944704,zak53CYAAAAJ,"Staff Profesional, Universidad de Tarapacá",uta,@uta.cl,1352,"Educación, Liderazgo, Administración"
4727335469935944704,ZJZKGSEAAAAJ,"Universidad de Tarapacá, Departamento de Psicología",uta,@academicos.uta.cl,1275,"psicología organizacional, psicología positiva, metodología de la investigación, análisis de datos"
4727335469935944704,5vzbj6QAAAAJ,Universidad de Tarapacá,uta,@uta.cl,1191,"Física, Matemática"
4727335469935944704,iK_qHh4AAAAJ,Universidad de Tarapacá,uta,@uta.cl,1151,Entomología
4727335469935944704,3nFdmAsAAAAJ,"Profesor de Historia, Universidad de Tarapacá",uta,@uta.cl,1046,"Migraciones, Historia Regional"
