organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
7732664165981900800,FOKLmaQAAAAJ,"Full Professor, Universidad de Talca - University of Nottingham UK",utalca,@utalca.cl,9740,"Matrix Converters, Power Electronics, Power Converters, AC AC Converters, Predictive Control"
7732664165981900800,EQeBOusAAAAJ,Universidad de Talca,utalca,@utalca.cl,5919,
7732664165981900800,iRc-CqIAAAAJ,Universidad de Talca,utalca,@utalca.cl,5340,"molecular modeling, bioinformatics, nanoscience, protein kinases, ion channels"
7732664165981900800,b0qmbcEAAAAJ,"Full Professor (Profesor Titular), Instituto de Química de Recursos Naturales, Universidad de Talca",utalca,@utalca.cl,5221,Chemistry
7732664165981900800,Cef66oUAAAAJ,Universidad de Talca,utalca,@utalca.cl,5045,
7732664165981900800,-0YfzpYAAAAJ,"Department of Computer Science, Universidad de Talca",utalca,@utalca.cl,4769,"Graph databases, Query Languages, RDF, SPARQL"
7732664165981900800,mU5qVWEAAAAJ,Universidad de Talca,utalca,@utalca.cl,4310,"Automatización, Control de Procesos, Electrónica, Mecatrónica"
7732664165981900800,F49i1WoAAAAJ,Universidad de Talca,utalca,@utalca.cl,3767,Psicología social
7732664165981900800,qfNZMq8AAAAJ,Universidad de Talca,utalca,@utalca.cl,3744,"Platelets, thrombosis, bioactive compounds, tomato, frailty"
7732664165981900800,Oa_CitgAAAAJ,"Cariology Unit. Department of Oral Rehabilitation, Faculty of Dentistry, University of Talca, Chile",utalca,@utalca.cl,3445,"Caries, Diet, Oral Biofilm, Gerodontology, Geriatrics"
7732664165981900800,DF3ZrfkAAAAJ,"Professor of economics, Universidad de Talca",utalca,@utalca.cl,3225,"economía agraria, bienestar subjetivo"
7732664165981900800,pWExNrMAAAAJ,"Faculty of Engineering, Universidad de Talca",utalca,@utalca.cl,2888,"Software Engineering, Electronic Commerce"
7732664165981900800,5jqmJ0IAAAAJ,Universidad de Talca,utalca,@inst-mat.utalca.cl,2871,"Differential equations, difference equations, dynamical systems"
7732664165981900800,dqmgEwIAAAAJ,Universidad de Talca,utalca,@utalca.cl,2785,"Psicologia social, ambiental, de transito y de las relaciones interpersonales"
7732664165981900800,W7eYRaMAAAAJ,"Instituto de Ciencias Biológicas, Universidad de Talca",utalca,@utalca.cl,2699,"Jasmonate signaling, salt stress"
7732664165981900800,PUAhekgAAAAJ,Universidad de Talca,utalca,@utalca.cl,2749,"ecology, evolution"
7732664165981900800,Xig5V-UAAAAJ,Universidad de Talca,utalca,@utalca.cl,2645,plant molecular biology
7732664165981900800,hskD_m0AAAAJ,"Full Professor, Medical School, Universidad de Talca",utalca,@utalca.cl,2466,"Nanomedicine, Drug Delivery, Targeted Therapy"
7732664165981900800,3fWOPJEAAAAJ,"Department of Stomatology, University of Talca, Chile",utalca,@utalca.cl,2482,"Stomatology, Oral Diagnosis, Oral Diseases"
7732664165981900800,Hfzzu_0AAAAJ,"Professor, Instituto de Ciencias Biológicas, Universidad de Talca",utalca,@utalca.cl,2219,"Molecular ecology, insect pests, aphids, insecticide resistance, parasitoids"
7732664165981900800,2MYmTJ8AAAAJ,Universidad de Talca,utalca,@utalca.cl,2257,"Psicología Cognitiva, del Desarrollo"
7732664165981900800,YwQuZr0AAAAJ,Universidad de Talca,utalca,@utalca.cl,2241,"Multilevel Converters, Renewable Energy Systems, Microgrids"
7732664165981900800,8yZnJpIAAAAJ,"Laboratory of Plant Molecular Physiology, Institute of Biological Sciences, Universidad de Talca",utalca,@utalca.cl,2151,"Plant Phyisiology, Plant Molecular Biology, Biotechnology"
7732664165981900800,aRjGzcgAAAAJ,Universidad de Talca,utalca,@utalca.cl,2117,Power Electronics
7732664165981900800,JA6GahcAAAAJ,Universida de Talca,utalca,@utalca.cl,2125,Parasitoides
7732664165981900800,BPVbhToAAAAJ,Universidad de Talca,utalca,@utalca.cl,2046,"Política comparada, política chilena, metodología de la investigación"
7732664165981900800,G4pdVO4AAAAJ,Universidad de Talca,utalca,@utalca.cl,2007,"Biofísica de los canales de potasio, Bioinformática y Simulación Molecular"
7732664165981900800,WxEW6EwAAAAJ,"Profesor de Economía, Universidad de Talca",utalca,@utalca.cl,1897,Environmental economics
7732664165981900800,b5M4y5QAAAAJ,Universidad de Talca,utalca,@utalca.cl,1801,
7732664165981900800,F9yokSkAAAAJ,Facultad de Psicología - Universidad de Talca,utalca,@utalca.cl,1823,Trabajo-Familia y Calidad de Vida Laboral
7732664165981900800,HsunjxEAAAAJ,Universidad de Talca,utalca,@utalca.cl,1786,"OR in agriculture, Logistics, Data Envelopment Analysis"
7732664165981900800,6QC-teUAAAAJ,"Professor of Mathematics, Universidad de Talca, Chile",utalca,@inst-mat.utalca.cl,1753,"Mathematics, Mathematical Physics, Integrable Systems"
7732664165981900800,PGpkBV0AAAAJ,"Associate Professor of Economics, Universidad de Talca",utalca,@utalca.cl,1755,"environmental economics, educational economics, environmental valuation"
7732664165981900800,ki2DjVkAAAAJ,"Departamento de Ingeniería Eléctrica, Universidad de Talca",utalca,@utalca.cl,1744,"Power Electronics, Multilevel Converters, Inverters, Control in Power Electronics"
7732664165981900800,-I0-uyMAAAAJ,"Professor of Enology, Universidad de Talca, Chile",utalca,@utalca.cl,1683,"Enology, winemaking, wine oxidation."
7732664165981900800,0msv5_cAAAAJ,Departamento de ingeniería eléctrica-Universidad de Talca,utalca,@utalca.cl,1734,"Planeamiento de sistemas de distribución, Smart Grids, Electrónica de potencia, Optimización"
7732664165981900800,wwURSgUAAAAJ,Universidad de Talca,utalca,@utalca.cl,1624,"Biostatistics, Public Health, Mortality"
7732664165981900800,4eXnXkYAAAAJ,Universidad de Talca,utalca,@utalca.cl,1651,Biología del Estrés Abiotico en Vegtales
7732664165981900800,YZjWSVwAAAAJ,"Profesor Asociado, Universidad de Talca, Chile",utalca,@utalca.cl,1691,"Dirección estratégica, Administración y gestión, Gestión de salud, Responsabilidad social empresarial"
7732664165981900800,-Tj7hBcAAAAJ,"Professor, Instituto de Química de Recursos Naturales, Universidad de Talca",utalca,@utalca.cl,1571,Medicinal Chemistry
7732664165981900800,tq6ihy0AAAAJ,Universidad de Talca,utalca,@utalca.cl,1558,"Power electronics, drives, multilevel converter, matrix converter, model predictive control"
7732664165981900800,4ZLhMR8AAAAJ,Universidad de Talca,utalca,@utalca.cl,1484,Power Electronics
7732664165981900800,5Y-epfkAAAAJ,Universidad de Talca,utalca,@utalca.cl,1460,"derechos humanos, derechos indígenas, derechos sociales, derecho ambiental, derecho internacional"
7732664165981900800,VxduzMgAAAAJ,Universidad de Talca,utalca,@utalca.cl,1396,"Soilless culture, Hydroponics, Leafy vegetables, urban horticulture, nitrates"
7732664165981900800,4Q3wGgMAAAAJ,"Professor, Institute of Chemistry, Universidad de Talca",utalca,@utalca.cl,1350,"Materials science, Polymers, Hydrogels, Polymer composites"
7732664165981900800,Trar3U4AAAAJ,"Department of Agricultural Economics, Universidad de Talca",utalca,@utalca.cl,1291,"Agricultural Economics, Rural Development, Water Economics"
7732664165981900800,yx9TRrwAAAAJ,Universidad de Talca,utalca,@utalca.cl,1265,física de la materia condensada
7732664165981900800,Qnuvgn4AAAAJ,"Profesor, Universidad de Talca",utalca,@utalca.cl,1235,"educación superior, curriculum, evaluacion, política educacional"
7732664165981900800,4aycMAcAAAAJ,Universidad de Talca,utalca,@utalca.cl,1217,"Life Cycle Assessment, Carbon Footprint"
