scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
kRU66jcAAAAJ,j_RQI9wAAAAJ,"Adsuar, J.C.",Universidad de extremadura
EkOGlRoAAAAJ,lDcjUKIAAAAJ,Elpiniki Papageorgiou,"Professor in Artificial Intelligence, University of Thessaly"
EkOGlRoAAAAJ,KnfpKfcAAAAJ,Victor A. Bañuls,"Professor of Management Information Systems, Universidad Pablo de Olavide"
EkOGlRoAAAAJ,QIPvO0kAAAAJ,Wojciech Froelich,"Institute of Computer Science, University of Silesia, Poland"
EkOGlRoAAAAJ,jSVbbvIAAAAJ,Rosario Vidal,Universitat Jaume I
EkOGlRoAAAAJ,tmrQsSwAAAAJ,Florentin Smarandache,University of New Mexico
EkOGlRoAAAAJ,2ZhNZzkAAAAJ,Ester Gutierrez Moya,"Professor, Universidad de Sevilla (Spain)"
EkOGlRoAAAAJ,4Snp-IAAAAAJ,Ines Herrero,Catedrática de Universidad. Empresa. Management.
EkOGlRoAAAAJ,R9WyFxUAAAAJ,Samira A.Rahimi,"Assistant Professor, McGill University"
EkOGlRoAAAAJ,5N-8TY8AAAAJ,Pedro R. Palos-Sanchez (ORCID: 000...,Associate Professor. Universidad de Sevilla. Dept. Financial Economy and Operation Management
EkOGlRoAAAAJ,ARNmg6IAAAAJ,Gonzalo Nápoles,Assistant Professor at Tilburg University
EkOGlRoAAAAJ,fc-jiMIAAAAJ,Koen VANHOOF,
EkOGlRoAAAAJ,gQKtl8kAAAAJ,Jose Carlos Molina,Universidad de Sevilla
EkOGlRoAAAAJ,H3G5Ke8AAAAJ,Ignacio Eguia,Universidad de Sevilla
EkOGlRoAAAAJ,8J8ycaUAAAAJ,Vicente Chulvi,Universitat Jaume I
EkOGlRoAAAAJ,KgwanDEAAAAJ,David Cebrián Tarrasón,Knowledge & Engineering Design PhD
EkOGlRoAAAAJ,5NFe1csAAAAJ,Karel Mls,"odborný asistent, Univerzita Hradec Králové"
RDDQKZoAAAAJ,ctaapjIAAAAJ,Juan Andrés Orellana,Associate Professor. Departamento de Neurología. Pontificia Universidad Católica de Chile
RDDQKZoAAAAJ,ur_LhQEAAAAJ,Rodrigo A. Fuentealba,Assistant Professor - Universidad de los Andes
RDDQKZoAAAAJ,VftyRccAAAAJ,Felipe Barros,Centro de Estudios Científicos & Universidad San Sebastián
NXY-GuMAAAAJ,G1ZpVy4AAAAJ,Po Shan Poon,University of Concepcion
NXY-GuMAAAAJ,DimQJX4AAAAJ,Maibelin Rosales,University of Chile
NXY-GuMAAAAJ,lvbQED0AAAAJ,Joaquin L. Brito,"Docente-Investigador, Universidad Regional Amazónica IKIAM & Investigador Emérito, IVIC"
NXY-GuMAAAAJ,BSOw3qUAAAAJ,Jose Rene Rangel Mendez,Instituto Potosino de Investigación Científica y Tecnológica AC
NXY-GuMAAAAJ,v4hRgSMAAAAJ,Silvania Lanfredi,"Professor Assistente Doutor, Universidade Estadual Paulista, Faculdade de Ciências e …"
NXY-GuMAAAAJ,3Tp6YUwAAAAJ,Marcos Augusto Lima Nobre (MAL Nobre),"Prof. Dr., Departamento de Fisica, Univ Estadual Paulista, FCT, UNESP, Campus Presidente …"
NXY-GuMAAAAJ,nlsj4egAAAAJ,Teresa J. Bandosz,The City College of New York
NXY-GuMAAAAJ,d5fY-0sAAAAJ,Juan Carlos Hernandez Garrido,Departamento de Ciencia de los Materiales e Ingeniería Metalúrgica y Química Inorgánica …
NXY-GuMAAAAJ,ombeh9cAAAAJ,Magda Titirici,Imperial College London
NXY-GuMAAAAJ,UJC6DlYAAAAJ,sixto malato,Prof. of Research. Plataforma Solar de Almeria
NXY-GuMAAAAJ,aBUj0aEAAAAJ,Leonardo Palmisano,"Full Professor of Chemistry, FRSC - University of Palermo, Italy"
NXY-GuMAAAAJ,buP0argAAAAJ,Giuseppe Marcì,University of Palermo
NXY-GuMAAAAJ,gf3BTp8AAAAJ,Robert Pietrzak,"Professor of Chemistry, Adam Mickiewicz University in Poznań"
NXY-GuMAAAAJ,F5ZywcAAAAAJ,Alain CELZARD,"Université de Lorraine, Professor of Materials Science"
NXY-GuMAAAAJ,5FHZgnkAAAAJ,Fabiano Rafael Praxedes,"Doutorando em Química, Universidade Estadual Paulista ""Júlio de Mesquita Filho"""
NXY-GuMAAAAJ,l9wNywsAAAAJ,AVELINO CORMA CANOS,"Instituto de Tecnología Química, Universitat Politècnica de València-Consejo Superior de"
NXY-GuMAAAAJ,XnW2bgNfwdUC,Robert Hurt,Brown University
NXY-GuMAAAAJ,u_kBdzAAAAAJ,Litza Halla Velazquez-Jimenez,"Investigador Posdoctoral, Instituto de Ingenieria/UNAM"
NXY-GuMAAAAJ,c5pt62EAAAAJ,Mykola Seredych,"Research Associate, Drexel University"
NXY-GuMAAAAJ,_U7ZYooAAAAJ,Kilver J Campos,Ph.D. Student
NXY-GuMAAAAJ,yfvjUr8AAAAJ,Hermenegildo Garcia,Universitat Politecnica de Valencia
NXY-GuMAAAAJ,_bJUnL8AAAAJ,Vanessa Fierro,CNRS Institut Jean Lamour
NXY-GuMAAAAJ,8E8sR1EAAAAJ,Marc Florent,CUNY - City College of New York
NXY-GuMAAAAJ,EH7O9aMAAAAJ,Alfonso Policicchio,Physics Department - University of Calabria
NXY-GuMAAAAJ,n3Fzw1sAAAAJ,Robert R. Alfano,The City College of New York
NXY-GuMAAAAJ,M8-DAsMAAAAJ,Ximena Garcia,"Profesor Titular Universidad de Concepción, Chile"
NXY-GuMAAAAJ,20c9p3wAAAAJ,ISABEL OLLER,Plataforma Solar de Almería-CIEMAT
NXY-GuMAAAAJ,y3KJm2YAAAAJ,Ana Ruíz-Delgado,Plataforma Solar de Almería - Universidad de Almería
NXY-GuMAAAAJ,9QikXzcAAAAJ,Gema Gonzalez,"Yachay Tech University, Physics and Nanotechnology School &Venezuelan Institute for …"
NXY-GuMAAAAJ,Qf1MYBgAAAAJ,Cesar Nieto-Delgado,Instituto Potosino de Investigacion Cientifica y Tecnologica (IPICyT)
NXY-GuMAAAAJ,tX4aXC0AAAAJ,Mauricio Terrones,"Verne M. Willaman Professor of Physics, Penn State"
NXY-GuMAAAAJ,uBnab5IAAAAJ,Rodolfo Cruz-Silva,Shinshu University
