scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
t6WTsxEAAAAJ,okYv8sQAAAAJ,Helton Saulo,"Assistant Professor of Statistics, University of Brasilia"
t6WTsxEAAAAJ,sbr7vM4AAAAJ,Robert G Aykroyd,University of  Leeds
t6WTsxEAAAAJ,pbGmqDAAAAAJ,Jeremias Leao,Universidade Federal do Amazonas
t6WTsxEAAAAJ,P2llVMQAAAAJ,Ivette Gomes,"CEAUL and DEIO, Faculdade de Ciências, Universidade de Lisboa"
1pGKw9UAAAAJ,xp0zRBQAAAAJ,María Luisa Humanes,Full Professor (University Rey Juan Carlos- Spain)
1pGKw9UAAAAJ,Fq9Ii_IAAAAJ,Mireya Márquez Ramírez,Universidad Iberoamericana Ciudad de México
1pGKw9UAAAAJ,sZGN0FMAAAAJ,Folker Hanusch,"Professor of Journalism, University of Vienna"
1pGKw9UAAAAJ,G1qCc7QAAAAJ,Cornelia Mothes,"Macromedia University of Applied Sciences, Leipzig"
1pGKw9UAAAAJ,r_p1tQoAAAAJ,Sergio Roses,Profesor de Periodismo (UMA)
1pGKw9UAAAAJ,TZWsCvAAAAAJ,Edson C. Tandoc Jr.,"Associate Professor, Nanyang Technological University"
1pGKw9UAAAAJ,ljCM--oAAAAJ,Dan Hallin,"Professor of Communication, University of California San Diego"
1pGKw9UAAAAJ,vtAzpf4AAAAJ,Andrés Scherman,Universidad Adolfo Ibáñez
1pGKw9UAAAAJ,pI4AcZ0AAAAJ,Sallie Hughes,"Associate Professor, Journalism, University of Miami"
1pGKw9UAAAAJ,ETsmEqcAAAAJ,silvio waisbord,George Washington University
1pGKw9UAAAAJ,WPieCDsAAAAJ,Tim P. Vos,"Professor, School of Journalism, Michigan State University"
eWXIjwwAAAAJ,O8xOA28AAAAJ,Fernando Rodriguez-Rodriguez,"Physical Education, Pontificia Universidad Católica de Valparaíso"
eWXIjwwAAAAJ,mBdG3iEAAAAJ,NICOLAS AGUILAR FARIAS,Universidad de La Frontera
eWXIjwwAAAAJ,H7LlKb8AAAAJ,Patricio Solis-Urra,University of Granada
eWXIjwwAAAAJ,DjLPCogAAAAJ,Antonio García-Hermoso (ORCID: 000...,"Navarrabiomed, Universidad Pública de Navarra"
04ZzYdAAAAAJ,c46sIEIAAAAJ,José Sabater Montes,"Postdoctoral Research Associate, University of Edinburgh"
04ZzYdAAAAAJ,5Z5YDDYAAAAJ,Shiyin Shen,Shanghai Astronomical Observatory
04ZzYdAAAAAJ,VluZe6AAAAAJ,Juande Santander-Vela,Joint ALMA Observatory
04ZzYdAAAAAJ,2BSBFeQAAAAJ,Shuai Feng（冯帅）,Hebei Normal University
04ZzYdAAAAAJ,Oi56ZNUAAAAJ,Zhengyi Shao,Shanghai Astronomical Observatory
04ZzYdAAAAAJ,t_AubkAAAAAJ,Min S. Yun,"Professor of Astronomy, University of Massachusetts, Amherst"
04ZzYdAAAAAJ,mrshqEMAAAAJ,Daniel Espada,University of Granada
cUKJtaMAAAAJ,-0WlOaYAAAAJ,Maria Angeles Bilbao,"Profesora, Facultad de Psicología, U. Alberto Hurtado"
cUKJtaMAAAAJ,g_QWxVAAAAAJ,Vicente Sisto,Dr. en Psicología Social. Profesor Titular Pontificia Universidad Católica de Valparaíso. Chile
cUKJtaMAAAAJ,3DJ2obYAAAAJ,Carmen Gloria Núñez,Pontificia Universidad Catolica de Valparaiso
cUKJtaMAAAAJ,UeodjIAAAAAJ,Cristian Bellei,Universidad de Chile: Centro de Investigación Avanzada en Educación y Departamento de Sociología
iC1zxr4AAAAJ,1ULUsmIAAAAJ,Eric Monfroy,"Professor of Computer Science, Université de Nantes"
iC1zxr4AAAAJ,UBd6oewAAAAJ,Franklin Johnson Parejas,Universidad de Playa Ancha
iC1zxr4AAAAJ,AFjvjTgAAAAJ,Sanjay Misra,Østfold University College
iC1zxr4AAAAJ,E-rHSVEAAAAJ,Rodrigo Olivares Ordenes,"Escuela de Ingeniería Informática, Universidad de Valparaíso"
iC1zxr4AAAAJ,BrwIoeIAAAAJ,Cristian Galleguillos,"PhD Student, Pontificia Universidad Católica de Valparaíso"
iC1zxr4AAAAJ,UR6tfqAAAAAJ,Jose Antonio Garcia,"Pontificia Universidad Católica de Valparaíso , Chile"
iC1zxr4AAAAJ,f0ZHmtwAAAAJ,Dr. Jose M. Lanza-Gutierrez,"University of Alcalá, Alcalá de Henares, Madrid, Spain"
