scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
QIHKy1UAAAAJ,94JOMYcAAAAJ,Sergio A Estay,Universidad Austral de Chile
QIHKy1UAAAAJ,U2Dkd_kAAAAJ,Nelson A. Lagos,Profesor Titular UST
QIHKy1UAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
LEEYFekAAAAJ,Xvn25u8AAAAJ,Paula Aguilera,"Researcher in Universidad Católica de Temuco, Chile"
LEEYFekAAAAJ,40pIDYoAAAAJ,GEOMAR VALLEJOS TORRES,Universidad Nacional de San Martin
LEEYFekAAAAJ,QZtPCTcAAAAJ,Fritz Oehl,Agroscope - University of Basel - ETH Zürich - University of Hohenheim
LEEYFekAAAAJ,X3KNFNAAAAAJ,Evelin Fernández Cornejo,Student
LEEYFekAAAAJ,t3OG1lMAAAAJ,Jens Boy,"Institute of Soil Science, Leibniz University, Hannover"
LEEYFekAAAAJ,HsymLWMAAAAJ,Nery Gaona Jimenez,Universidad Nacional de San Martin
LEEYFekAAAAJ,ak0ofRMAAAAJ,goetz palfner,Profesor de Micología (Universidad de Concepción)
LEEYFekAAAAJ,7tP7ZvQAAAAJ,Jacob Weiner,University of Copenhagen
LEEYFekAAAAJ,zD59coAAAAAJ,Mike Anderson Corazon Guivin,Universidad Nacional de San Martín-Tarapoto
LEEYFekAAAAJ,MkS6D0AAAAAJ,Dr. Tesfaye Wubet,"Helmholtz Center for Environmental Research - UFZ, Department of Community Ecology"
LEEYFekAAAAJ,bmbJ0gQAAAAJ,Michael Schloter,Professor für Mikrobiologie
LEEYFekAAAAJ,0V9g7RAAAAAJ,Wagner Gonçalves Vieira Junior,"Doutorando, Universidade Estadual Paulista - UNESP"
LEEYFekAAAAJ,O2b5avQAAAAJ,Jadson Belem de Moura,"Professor Títular de Microbiologia do Solo, Coordenação de Pesquisa e Pós-Graduação"
LEEYFekAAAAJ,NEJdQnkAAAAJ,Guillermo D'Elía,Universidad Austral de Chile
LEEYFekAAAAJ,Qonu0doAAAAJ,JESSICA DUCHICELA,UNIVERSIDAD DE LAS FUERZAS ARMADAS - ESPE
LEEYFekAAAAJ,AN0UzIAAAAAJ,Daniela Santos carneiro Torres,Professora da UEFS
LEEYFekAAAAJ,CPztOSQAAAAJ,MARIA DEL MAR ALGUACIL,científica titular
LEEYFekAAAAJ,27BuF0gAAAAJ,Alejandra G. Becerra,IMBIV-CONICET-Universidad Nacional de Córdoba
LEEYFekAAAAJ,uQZ6keMAAAAJ,Jorge  Saavedra Ramírez,Universidad Nacional Autónoma de Alto Amazonas
LEEYFekAAAAJ,Vrt86egAAAAJ,Rodrigo Fernandes de Souza,"Professor, Faculdade Evangélica de Goianésia"
LEEYFekAAAAJ,nlHqs8gAAAAJ,Petr Kohout,Czech Academy of Sciences
LEEYFekAAAAJ,jdkZa1IAAAAJ,Gustavo Henrique Mendes Brito,Faculdade Evangélica de Goianésia
LEEYFekAAAAJ,kYrhqAgAAAAJ,Minerva García-Carmona,PhD soil science
LEEYFekAAAAJ,HWdyL1sAAAAJ,Fuensanta Garcia,Departamento de Agroquimica y Medio Ambiente UMH
LEEYFekAAAAJ,GvHbakYAAAAJ,Brajesh K. Singh,"Distinguished Professor, Western Sydney University, Macaulay Institute"
LEEYFekAAAAJ,Ud6dMd05veoC,Miguel Cooper,"Professor de Ciência do Solo, Universidade de São Paulo"
LEEYFekAAAAJ,l5r6nkgAAAAJ,Anne Winding,"Professor, Aarhus University"
LEEYFekAAAAJ,9_6av1IAAAAJ,Zoe Lindo,University of Western Ontario
LEEYFekAAAAJ,CoUkG74AAAAJ,Elizabeth M. Bach,"Research Scientist, The Nature Conservancy - Nachusa Grasslands"
LEEYFekAAAAJ,1qxpS-EAAAAJ,Pauline Mele,Associate Professor Agriculture Victoria Research
LEEYFekAAAAJ,oFVJMMsAAAAJ,Maria Alice Neves,"MICOLAB, Universidade Federal de Santa Catarina"
LEEYFekAAAAJ,poCAbWkAAAAJ,María Isabel Mujica P,"Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile"
LEEYFekAAAAJ,bWRdgK8AAAAJ,SANDRO DUTRA E SILVA,Professor Titular Universidade Estadual de Goiás e Centro Universitário de Anápolis
LEEYFekAAAAJ,VCU1QwUAAAAJ,Victor Hugo Garcia Merchan,"Professor of Evolutionary Genetics, Quindio University"
LEEYFekAAAAJ,rc_A3kQAAAAJ,Francisco Calaça,Mykocosmos - Mycology and Science Communication
LEEYFekAAAAJ,MTAXk6oAAAAJ,Andrés Argüelles-Moyao,National Autonomous University of México
LEEYFekAAAAJ,tNdxmYUAAAAJ,Andrea C. Rinaldi,University of Cagliari
LEEYFekAAAAJ,uDdSHOUAAAAJ,Milagros Lovera,Investigación (IVIC) 
LEEYFekAAAAJ,O30Og-UAAAAJ,Aida M. Vasco Palacios,"Professor, School of Microbiology, Universidad de Antioquia UdeA"
