scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
dYeZp8QAAAAJ,27oYl3QAAAAJ,Ricardo Villalba,IANIGLA
NEJdQnkAAAAJ,yxIVIG4AAAAJ,Ulyses Pardiñas,"Dr. en Ciencias Naturales, UNLP"
NEJdQnkAAAAJ,C_r0nRQAAAAJ,Enrique P. Lessa,"Facultad de Ciencias, Universidad de la República"
NEJdQnkAAAAJ,jKFK_A8AAAAJ,"Salazar-Bravo, Jorge",Texas Tech University
NEJdQnkAAAAJ,YUlU_xoAAAAJ,Andrés Parada,"Institut Pasteur Montevideo | Udelar, Fcien, Departamento Ecol y Evol, Lab. Evolución"
NEJdQnkAAAAJ,EWjCdo0AAAAJ,Juan C. Opazo,"Facultad de Medicina & Ciencia, Universidad San Sebastián"
NEJdQnkAAAAJ,Sb2oKiMAAAAJ,R. Eduardo Palma,"Departamento de Ecología, Pontificia Universidad Católica de Chile"
NEJdQnkAAAAJ,omKZWU8AAAAJ,Bruce D Patterson,"Curator Emeritus of Mammals, Field Museum of Natural History"
NEJdQnkAAAAJ,WSfSPbgAAAAJ,Joseph A. Cook,"Professor of Biology, University of New Mexico"
NEJdQnkAAAAJ,BjYq1nsAAAAJ,Alexandre Reis Percequillo,Universidade de São Paulo
NEJdQnkAAAAJ,43KYmrYAAAAJ,Alvarado-Serrano,"Biological Sciences Dpt., Ohio University"
NEJdQnkAAAAJ,rHrdIaIAAAAJ,Mieczyslaw Wolsan,"Museum and Institute of Zoology, Polish Academy of Sciences"
NEJdQnkAAAAJ,Hc3ZA_4AAAAJ,Jun J. Sato,Fukuyama University
NEJdQnkAAAAJ,cYpOYd8AAAAJ,Carla Muñoz-Mendoza,"Universidad de Concepcion, Concepcion, Chile"
NEJdQnkAAAAJ,QBrsd6MAAAAJ,David Flores,Unidad Ejecutora Lillo (CONICET-Fundación Miguel Lillo)
NEJdQnkAAAAJ,L_JJ6V4AAAAJ,Javier Sellanes,"Professor, Universidad Catolica del Norte"
NEJdQnkAAAAJ,hvPF9eoAAAAJ,Alexandre Uarth Christoff,Museu de Ciências Naturais - ULBRA
NEJdQnkAAAAJ,obanmOsAAAAJ,Ivan Vera-Escalona,Centro de Investigación en Biodiversidad y Ambientes Sustentables (CIBAS). Universidad …
NEJdQnkAAAAJ,4c7I2kkAAAAJ,Fernando Perez Miles,"Facultad de Ciencias, Universidad de la República"
NEJdQnkAAAAJ,zIn4NoUAAAAJ,Nathan S. Upham,"Assistant Professor, Arizona State University"
NEJdQnkAAAAJ,0DgzT5oAAAAJ,Leonardo D Bacigalupe,Universidad Austral de Chile
NEJdQnkAAAAJ,U6sBrDIAAAAJ,Yuri LR Leite,"Professor, Universidade Federal do Espírito Santo, Vitória, ES, Brazil"
NEJdQnkAAAAJ,LEEYFekAAAAJ,César Marín,"Full Professor, Facultad de Ciencias, Universidad Santo Tomás, Chile"
NEJdQnkAAAAJ,6zGiye0AAAAJ,"Omar J. Linares, PhD","Jefe Laboratorio Paleobiología, Universidad Simón Bolívar, Caracas"
j9qpO4kAAAAJ,RVCMuJYAAAAJ,Maria Jose  Fernandez-Reiriz,Investigadora Cientifica del CSIC
j9qpO4kAAAAJ,2Z8xwmYAAAAJ,Uxío Labarta,"Iberian Mussel Lab. Profesor de Investigación ""Ad Honorem"". CSIC"
Y2RA_vMAAAAJ,wOnfkSYAAAAJ,Héctor J Pavés,"Departamento de Ciencias Básica, Universidad Santo Tomas"
Y2RA_vMAAAAJ,Ad8oY8YAAAAJ,Pieter Vandromme,"PhD in Oceanography, GEOMAR, Helmholtz Centre for Ocean Research Kiel"
Y2RA_vMAAAAJ,zZc8nmgAAAAJ,Stemmann,Sorbonne University
Y2RA_vMAAAAJ,oNoVjaUAAAAJ,Patrick Martin,"Associate Professor, Asian School of the Environment, Nanyang Technological University"
Y2RA_vMAAAAJ,FzKWOfUAAAAJ,Nicolas Cassar,"Professor, Duke University"
Y2RA_vMAAAAJ,Tt1SyCIAAAAJ,Eva-Maria Nöthig,researcher
Y2RA_vMAAAAJ,rq30FOMAAAAJ,"Villy Christensen, FRSC","Professor, Institute for the Oceans and Fisheries, University of British Columbia"
Y2RA_vMAAAAJ,xiF8674AAAAJ,Ramabadran Rengarajan,"Geosciences Division, Physical Research Laboratory, Ahmedabad, 380009 India"
Y2RA_vMAAAAJ,bubtUIkAAAAJ,fundación Save The Med,Fundación Save The Med
QXLQ_I4AAAAJ,cY-A0aMAAAAJ,Fadia Tala,Universidad Católica del Norte
QXLQ_I4AAAAJ,UwRvc6wAAAAJ,Kai Bischof,"Marine Botany, University of Bremen"
QXLQ_I4AAAAJ,9xnCrRgAAAAJ,Kenneth Dunton,"Professor, The University of Texas at Austin"
QXLQ_I4AAAAJ,2b2tm3oAAAAJ,Eva Rothäusler,University of Turku
QXLQ_I4AAAAJ,dv8gciwAAAAJ,Nelson Valdivia,Universidad Austral de Chile
QXLQ_I4AAAAJ,j9qpO4kAAAAJ,Jorge M. Navarro,Universidad Austral de Chile
QXLQ_I4AAAAJ,1nTAQfsAAAAJ,Ivan A. Hinojosa,"Departamento de Ecología, Facultad de Ciencias, Universidad Católica de la Santísima Concepción"
QXLQ_I4AAAAJ,XjaQKDEAAAAJ,Katharina Zacher,biologist at the Alfred-Wegener-Institute Helmholtz Centre for Polar and Marine Research
QXLQ_I4AAAAJ,Nz1586IAAAAJ,Cristian Duarte,"Departamento de Ecologia y Biodiversidad, Universidad Andres Bello"
QXLQ_I4AAAAJ,5Fbl9UMAAAAJ,Maria Liliana Quartino,Instituto Antartico Argentino
QXLQ_I4AAAAJ,QWyeUEcAAAAJ,David N. Thomas,"Professor of Arctic Ecosystems Research, University of Helsinki"
QXLQ_I4AAAAJ,mA1v4_8AAAAJ,Pedro J. Aphalo,"Senior Lecturer in Physiological Plant Ecology, University of Helsinki"
QXLQ_I4AAAAJ,xL6U-IAAAAAJ,Angela Wulff,University of Gothenburg
QXLQ_I4AAAAJ,8e8yNDoAAAAJ,Isabel Sousa Pinto,"Centre for Marine and Environmental Research and FCUP, University of Porto"
QXLQ_I4AAAAJ,_gRLYG4AAAAJ,Susana Coelho,Max Planck Institute for Biology Tubingen
QXLQ_I4AAAAJ,xnw1vjUAAAAJ,Laurie Hofmann,Alfred Wegener Institute Helmholtz Center for Polar and Marine Research
QXLQ_I4AAAAJ,UxwSaNwAAAAJ,Guillermo Luna-Jorquera,"Universidad Católica del Norte, Centre for Ecology and Sustainable Management of Oceanic Islands"
QXLQ_I4AAAAJ,PHyQDpUAAAAJ,Pedro Quijon,Associate Professor of Biology
UUfZjBYAAAAJ,OFNBO3YAAAAJ,Helmut Peter Echtler,"GFZ Potsdam, Uni Potsdam, Professor"
UUfZjBYAAAAJ,Xifg6FcAAAAJ,Manfred Strecker,"Professor der Geologie, Universität Potsdam"
UUfZjBYAAAAJ,qHxv_f_1mKsC,Marcos Moreno,Pontificia Universidad Católica de Chile
UUfZjBYAAAAJ,i9ttSQQAAAAJ,Andrés Tassara,"Associated Professor, Department of Earth Sciences, Universidad de Concepción, Chile"
UUfZjBYAAAAJ,d2tfEsMAAAAJ,Julius Jara-Muñoz,Hochschule Biberach
UUfZjBYAAAAJ,lh7j4-wAAAAJ,Onno Oncken,GeoForschungsZentrum Potsdam
UUfZjBYAAAAJ,_UuIymgAAAAJ,Bodo Bookhagen,"Institute of Geosciences, University of Potsdam and Geography Department, UC Santa …"
UUfZjBYAAAAJ,HTEL8I8AAAAJ,Marco Cisternas,"Instituto de Geografía, Pontificia Universidad Católica de Valparaíso"
UUfZjBYAAAAJ,b6rk1_oAAAAJ,Yannick Garcin,"CEREGE, IRD, Aix-en-Provence, France"
UUfZjBYAAAAJ,n11wqcAAAAAJ,Cengiz Yildirim,Prof.Dr.
UUfZjBYAAAAJ,OQ7n4X4AAAAJ,Michael Bevis,"Professor of Geodesy & Geodynamics, Ohio State University"
UUfZjBYAAAAJ,UesMspEAAAAJ,Kevin Pedoja,Université de Caen
UUfZjBYAAAAJ,v7JCMf8AAAAJ,Taylor Schildgen,GFZ Potsdam / University of Potsdam
UUfZjBYAAAAJ,8J06qdkAAAAJ,Victor A. Ramos,Instituto de Estudios Andinos Don Pablo Groeber (IDEAN) Universidad de Buenos Aires …
UUfZjBYAAAAJ,eYMjbhgAAAAJ,Anne Socquet,"Université Grenoble Alpes, CNRS, IRD, ISTerre"
UUfZjBYAAAAJ,eFQv8pMAAAAJ,Sebastien Carretier,"researcher IRD, Geosciences Environnement Toulouse, University of Toulouse, CNRS, IRD …"
UUfZjBYAAAAJ,PybC8dgAAAAJ,Mahdi Motagh,GFZ German Research Center for Geosciences & Leibniz University Hannover
UUfZjBYAAAAJ,QlDpO8AAAAAJ,Vincent Regard,"GET, University of Toulouse, Université Paul Sabatier, Observatoire Midi Pyrénées, CNRS …"
UUfZjBYAAAAJ,cx5nYpUAAAAJ,laurent husson,"CNRS, ISTerre, Grenoble"
UUfZjBYAAAAJ,wF-LwB4AAAAJ,Marcelo Farias,Profesor Asistente Universidad de Chile
UUfZjBYAAAAJ,POE6BpsAAAAJ,Attila Çiner,"Eurasia Institute of Earth Sciences, Istanbul Technical University, Turkey"
UUfZjBYAAAAJ,NPkdbqcAAAAJ,Jasper Moernaut,University of Innsbruck
UUfZjBYAAAAJ,3VDFdqAAAAAJ,Anne Bernhardt,Freie Universität Berlin
UUfZjBYAAAAJ,9oqWOA8AAAAJ,paolo ballato,University of Roma Tre
UUfZjBYAAAAJ,1BJQMUIAAAAJ,Ron Hackney,"Director, Australia New Zealand IODP Consortium, Australian National University"
UUfZjBYAAAAJ,S7Ii5m4AAAAJ,Laurence Audin,IRD - ISTerre - UGA
UUfZjBYAAAAJ,DFtp1MkAAAAJ,Joseph Martinod,"ISTerre, Université de Savoie Mont Blanc"
UUfZjBYAAAAJ,6Jup3gkAAAAJ,Andreas Rietbrock,Karlsruhe Institue of Technology
UUfZjBYAAAAJ,ehJPOEIAAAAJ,Gerald H. Haug,Max-Planck-Institute for Chemistry and ETH Zürich
Phqz2PYAAAAJ,27oYl3QAAAAJ,Ricardo Villalba,IANIGLA
Phqz2PYAAAAJ,tiRt8OsAAAAJ,Mariano S. Morales,CONICET
Phqz2PYAAAAJ,134gvMcAAAAJ,Jonathan Barichivich,Climatic Research Unit
Phqz2PYAAAAJ,0EUiosEAAAAJ,Ariel A. Muñoz,"Profesor Instituto de Geografía, Pontificia Universidad Católica de Valparaiso"
Phqz2PYAAAAJ,HgAZcHYAAAAJ,Álvaro González-Reyes,"Instituto de Ciencias de la Tierra (ICT), Universidad Austral de Chile"
Phqz2PYAAAAJ,Li7lgskAAAAJ,Juan Carlos Aravena,Universidad de Magallanes
Phqz2PYAAAAJ,XNYtQyUAAAAJ,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile"
Phqz2PYAAAAJ,fYaYVAMAAAAJ,Raphael Neukom,"Oeschger Centre for Climate Change Research & Institute of Geography, University of Bern"
Phqz2PYAAAAJ,Qk3qyJEAAAAJ,Alvaro G. Gutierrez,Universidad de Chile
Phqz2PYAAAAJ,GXh03RwAAAAJ,Ignacio A. Mundo,1) IANIGLA-CONICET; 2) FCEN-UNCuyo
VfZDNC4AAAAJ,PZ32-wcAAAAJ,Carlos Areche,Universidad de Chile
VfZDNC4AAAAJ,ackyf4sAAAAJ,OLIMPO GARCIA BELTRAN,"Facultad de Ciencias Naturales y Matemáticas, Universidad de Ibagué, Carrera 22 Calle 67 …"
VfZDNC4AAAAJ,WZyzNk0AAAAJ,Cristina Quispe,Universidad Arturo Prat
VfZDNC4AAAAJ,0vWcfr0AAAAJ,Andrei M. Mocan,Associate Professor - University of Medicine and Pharmacy Iuliu Hațieganu
VfZDNC4AAAAJ,VBdpI__rUy0C,Edward Kennelly,"Lehman College, City University of New York"
