scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
OKfYDv0AAAAJ,7w57_eQAAAAJ,John P. Blakeslee,NSF's National Optical-Infrared Astronomy Research Laboratory (NOIRLab)
OKfYDv0AAAAJ,tvwRM0MAAAAJ,Gaspar Bakos,Princeton University
OKfYDv0AAAAJ,lpAFRtQAAAAJ,Gregory R. Sivakoff,University of Alberta
OKfYDv0AAAAJ,Stxq64UAAAAJ,Joel D. Hartman,"Associate Research Scholar, Department of Astrophysical Sciences, Princeton University"
OKfYDv0AAAAJ,rAl3x3kAAAAJ,Luigi Mancini,"Department of Physics, University of Rome Tor Vergata"
OKfYDv0AAAAJ,_DbYd7sAAAAJ,Thomas H. Puzia,"Professor of Astrophysics, Pontificia Universidad Catolica de Chile"
OKfYDv0AAAAJ,jTWJYbEAAAAJ,James Jenkins,Universidad de Chile
OKfYDv0AAAAJ,KgE0_U4AAAAJ,Brian Schmidt,"Professor of Astronomy, The Australian National University"
OKfYDv0AAAAJ,AZJzkNAAAAAJ,Susana Eyheramendy,"Professor of Statistics, U Adolfo Ibañez"
OKfYDv0AAAAJ,gOj959UAAAAJ,Simon Casassus,"Full Professor, Universidad de Chile"
OKfYDv0AAAAJ,dcVwfTkAAAAJ,Judith Croston,The Open University
OKfYDv0AAAAJ,WU250ccAAAAJ,Martin Hardcastle,"Professor of Astrophysics, University of Hertfordshire"
OKfYDv0AAAAJ,hbnmYREAAAAJ,Jonathan Fraine,Space Science Institute
OKfYDv0AAAAJ,YrvfjakAAAAJ,Francois Menard,"Directeur de Recherche, IPAG, Grenoble"
OKfYDv0AAAAJ,j9U2cmMAAAAJ,Márcio Catelan,Pontificia Universidad Católica de Chile
OKfYDv0AAAAJ,oYaLSEkAAAAJ,Marat Gilfanov,MPA & IKI
OKfYDv0AAAAJ,GFNGEzYAAAAJ,Julien Girard,Space Telescope Science Institute
OKfYDv0AAAAJ,WoXJelEAAAAJ,Dimitri Mawet,Caltech
OKfYDv0AAAAJ,rS62bIAAAAAJ,Krzysztof G. Hełminiak,
OKfYDv0AAAAJ,9OD-280AAAAJ,L. Drake Deming,"Professor of Astronomy, University of Maryland"
OKfYDv0AAAAJ,uwVKal0AAAAJ,Pablo E. Román,"Postdoc, Center of Mathematical Modeling, University of Chile"
OKfYDv0AAAAJ,C8AVap8AAAAJ,Gerrit van der Plas,"Postdoctoral researcher, IPAG | Institut de Planétologie et d'Astrophysique de Grenoble"
OKfYDv0AAAAJ,ut6VkFYAAAAJ,Tassos Fragos,"Geneva Observatory, University of Geneva"
OKfYDv0AAAAJ,FKIFfHYAAAAJ,Megan Donahue,"Professor of Physics and Astronomy, Michigan State University"
OKfYDv0AAAAJ,-yeXGhUAAAAJ,Natasha Ivanova,Professor University of Alberta
OKfYDv0AAAAJ,4CXLywoAAAAJ,Karen L Masters,"Professor of Astronomy and Physics, Haverford College"
OKfYDv0AAAAJ,yn1RfiEAAAAJ,Andrew W. Howard,"Professor of Astronomy, California Institute of Technology"
OKfYDv0AAAAJ,WHYpdMsAAAAJ,Stephen Zepf,"Professor, Department of Physics and Astronomy, Michigan State University"
OKfYDv0AAAAJ,tbQptOgAAAAJ,G. Mark Voit,"Professor of Physics and Astronomy, Michigan State University"
OKfYDv0AAAAJ,NKLGLsoAAAAJ,John Johnson,"Professor of Astronomy, Harvard University"
OKfYDv0AAAAJ,Ck4Nr_4AAAAJ,Laszlo Kiss,Director General of the Research Centre for Astronomy and Earth Sciences
OKfYDv0AAAAJ,Fh5WPYIAAAAJ,Nicholas M. Ball,Freelance Data Scientist at Paperspace
OKfYDv0AAAAJ,289HcEIAAAAJ,Remco van den Bosch,
OKfYDv0AAAAJ,7AbX6N0AAAAJ,David Merritt,none
OKfYDv0AAAAJ,lD_cPF8AAAAJ,Bence Béky,Harvard University
aShVsHsAAAAJ,6WkHv0kAAAAJ,C. Whan Park,"Robert E. Brooker Professor of Marketing, University of Southern California"
aShVsHsAAAAJ,uURjDVIAAAAJ,H. Jeff Smith,Miami University (Ohio)
aShVsHsAAAAJ,Xx0b8R0AAAAJ,Francisca Sinn,"Associate Professor of Strategy and Family Business, Universidad Adolfo Ibañez"
aShVsHsAAAAJ,zYVrZrEAAAAJ,Margaret S. Clark,Yale University
aShVsHsAAAAJ,q4r4v1QAAAAJ,Ronald Goodstein,"Associate Professor of Marketing, Georgetown University"
aShVsHsAAAAJ,ZxW_BhoAAAAJ,"Constanza Bianchi, PhD",Universidad Adolfo Ibañez - Queensland University of Technology
aShVsHsAAAAJ,4jnrVhoAAAAJ,Susan Fiske,"Eugene Higgins Professor, Psychology & Public Affairs, Princeton University"
aShVsHsAAAAJ,98Zaz2MAAAAJ,Steven Neuberg,Arizona State University
aShVsHsAAAAJ,I8HElSAAAAAJ,Subimal Chatterjee,"Professor of Marketing, Binghamton University"
aShVsHsAAAAJ,cOu6lcEAAAAJ,Javier Palacios Fenech (ORCID: 0000...,
aShVsHsAAAAJ,U00vJGwAAAAJ,Gary Gaeth,University of Iowa
aShVsHsAAAAJ,UgLj1agAAAAJ,Jose Miguel Benavente,Corporación de Fomento de la Producción CORFO
