scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
ZIkl7UgAAAAJ,AlV_fuEAAAAJ,francisco gallardo,Universidad Católica de Chile
ZIkl7UgAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Pontificia Universidad Católica de Chile
ZIkl7UgAAAAJ,JaL6YYIAAAAJ,Martin Giesso,"Senior Instructor, Department of Anthropology, Northeastern Illinois University"
ZIkl7UgAAAAJ,_eK_f0UAAAAJ,Donald Jackson,"Departamento Antropología, Universidad de Chile"
ZIkl7UgAAAAJ,rpd7uCwAAAAJ,Victoria Castro Rojas,Universidad de Chile
3SzLhtAAAAAJ,0tkAf8IAAAAJ,David D. Preiss,"Professor of Psychology, Pontificia Universidad Católica de Chile"
3SzLhtAAAAAJ,sIa8JN8AAAAJ,María Alejandra Energici,Académica Universidad Alberto Hurtado
3SzLhtAAAAAJ,aDuc7eYAAAAJ,Lorena Pía Medina,Pontificia Universidad Católica
3SzLhtAAAAAJ,mcScWqUAAAAJ,Héctor Carvacho,Pontificia Universidad Católica de Chile
cKOW8IEAAAAJ,1_-F8JIAAAAJ,Marcela Román,"Investigadora CIDE- Universidad Alberto Hurtado, Chile"
cKOW8IEAAAAJ,gYbpKlMAAAAJ,Sylvie Didou Aupetit,Investigador
ROCQFAUAAAAJ,onjLq9AAAAAJ,Alejandro Alvarez-Marin,"Departamento de Ingeniería Industrial, Universidad de La Serena"
ROCQFAUAAAAJ,RM0u0yAAAAAJ,Domingo Garcia-Pérez-de-Lema,Profesor de Contabilildad y Finanzas (UPCT)
ROCQFAUAAAAJ,bJpDDeoAAAAJ,Luis Enrique Valdez-Juárez,"Profesor Investigador de Instituto Tecnológico de Sonora, en Guaymas Sonora México"
ROCQFAUAAAAJ,zUMMuRYAAAAJ,Cristian Geldes,Universidad Alberto Hurtado
ROCQFAUAAAAJ,MA4wTfIAAAAJ,Christian Acuña-Opazo,Depto. Ingeniería Industrial - Universidad de La Serena
ROCQFAUAAAAJ,JfWXVVgAAAAJ,J. Ángel Velázquez-Iturbide,Universidad Rey Juan Carlos
V0s0uYUAAAAJ,ZJJ9gOAAAAAJ,Carlos Alberto Cioce Sampaio,FURB. Researcher of the The Brazilian National Council for Scientific and Technological Development
zUMMuRYAAAAJ,lCRutycAAAAJ,Christian Felzensztein,"Chair in Entrepreneurial Leadership, Clarkson University, New York"
zUMMuRYAAAAJ,ROCQFAUAAAAJ,Mauricio Castillo-Vergara,"Facultad de Economía y Negocios, Universidad Alberto Hurtado"
zUMMuRYAAAAJ,cOu6lcEAAAAJ,Javier Palacios Fenech (ORCID: 0000...,
zUMMuRYAAAAJ,TUdwuqoAAAAJ,Marcos Germán Mora González,Universidad de Chile
zUMMuRYAAAAJ,2CanK5wAAAAJ,Aurelia Durand,HEC Montréal
zUMMuRYAAAAJ,OlCoMn0AAAAJ,Ekaterina Turkina,"Professor of business and innovation, HEC Montreal"
zUMMuRYAAAAJ,HMuhIssAAAAJ,Alejandro Jiménez Montecinos,"Facultad de Economía y Negocios, Universidad Alberto Hurtado"
zUMMuRYAAAAJ,onjLq9AAAAAJ,Alejandro Alvarez-Marin,"Departamento de Ingeniería Industrial, Universidad de La Serena"
zUMMuRYAAAAJ,9ONdOmwAAAAJ,Nicolas Magner,UNIVERSIDAD DIEGO PORTALES
