scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
D2g6y38AAAAJ,RZ3OC74AAAAJ,María Sara Rodríguez,Universidad de los Andes
VLin8zEAAAAJ,Szl5kS4AAAAJ,Elena Carletti,"Professor of Finance, Bocconi University"
VLin8zEAAAAJ,8dlIxRQAAAAJ,Eduardo Borensztein,"Regional Economic Advisor, Inter-American Development Bank"
VLin8zEAAAAJ,G9A1Ls8AAAAJ,"Jun ""QJ"" Qian, Professor of Finance an...","Fanhai International School of Finance, Fudan University"
VLin8zEAAAAJ,yiPXPJ8AAAAJ,Robert Cull,World Bank
VLin8zEAAAAJ,NxIHiFwAAAAJ,Eduardo Cavallo,"Principal Economist, Inter-American Development Bank"
VLin8zEAAAAJ,a7ycdK0AAAAJ,Martin Schindler,International Monetary Fund
VLin8zEAAAAJ,UbBAn7oAAAAJ,Eugenia Andreasen,"Facultad de Economía y Negocios, Universidad de Chile"
VLin8zEAAAAJ,FjUdU10AAAAJ,Ronald Fischer,Universidad de Chile
VLin8zEAAAAJ,Uqkv2roAAAAJ,Florencia Borrescio-Higa,"Associate Professor, Business School, Universidad Adolfo Ibañez"
VLin8zEAAAAJ,ouHUK2gAAAAJ,Hugo Nopo,World Bank
VLin8zEAAAAJ,tW8cPncAAAAJ,Matias Braun,"Professor of Financial Economics, ESE Business School, Universidad de los Andes"
VLin8zEAAAAJ,GkgV_AoAAAAJ,Sofia Johan,"Florida Atlantic University, College of Business"
VLin8zEAAAAJ,YJDPOZoAAAAJ,Sebastian Miller,"Senior Economist, Inter American Development Bank"
VLin8zEAAAAJ,z2qPPbMAAAAJ,Federico Droller,Universidad de Santiago de Chile
VLin8zEAAAAJ,lwA2CEEAAAAJ,Mauricio Larrain,Catholic University of Chile
ur_LhQEAAAAJ,pnVP9X8AAAAJ,Nibaldo C. Inestrosa,Pontificia Universidad Catolica de Chile
ur_LhQEAAAAJ,XoS-UzYAAAAJ,Guojun Bu,"Professor of Neuroscience, Mayo Clinic"
ur_LhQEAAAAJ,R3C1wj0AAAAJ,Ginny G Farías,Dr
ur_LhQEAAAAJ,RDDQKZoAAAAJ,Rodrigo  A Quintanilla,"Associate professor, Centro de Investigación Biomédica, Universidad Autónoma de Chile"
ur_LhQEAAAAJ,9QHKQMMAAAAJ,María Paz Marzolo,"Profesor Titular, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile"
ur_LhQEAAAAJ,sr_eelcAAAAJ,Carlos E. Irarrazabal,Universidad de Los Andes
ur_LhQEAAAAJ,NMyQAh4AAAAJ,Sara E. Miller,"Assistant Professor, University of Missouri - St. Louis"
ur_LhQEAAAAJ,Iq4qgh8AAAAJ,Marc I Diamond,"Center for Alzheimer's and Neurodegenerative Diseases, University of Texas Southwestern Medical"
ur_LhQEAAAAJ,8xv3_MIAAAAJ,Ivan Alfaro Cortez,Universidad del Desarrollo
ur_LhQEAAAAJ,8Dti_swAAAAJ,Waldo Cerpa,"Profesor Asociado, Pontificia Universidad Católica de Chile"
