scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
VgRSHRIAAAAJ,sFKzT4IAAAAJ,Alejandra Rasse,Pontificia Unviersidad Católica de Chile
VgRSHRIAAAAJ,C6kivv4AAAAJ,Isabel Brain,"Development Planning Unit, the Bartlett UCL"
VgRSHRIAAAAJ,mtR_C10AAAAJ,Maria TREBILCOCK GAC,Universidad Alberto Hurtado
VgRSHRIAAAAJ,FlCuQzMAAAAJ,Rodrigo Salcedo,"Associate Professor of Sociology, Universidad Católica del Maule"
VgRSHRIAAAAJ,YHCaQtEAAAAJ,Paul A Peters,"Associate Professor, Health Sciences, Carleton University"
VgRSHRIAAAAJ,ibN93PEAAAAJ,Joaquín Prieto,International Inequalities Institute at the LSE
VgRSHRIAAAAJ,0ddepR8AAAAJ,Ricardo Greene,Universidad de las Américas
NF4oLaoAAAAJ,7B-fmIoAAAAJ,"Patricio E. Ramírez Correa, Ph.D.","Full Professor, Universidad Católica del Norte (Chile)"
NF4oLaoAAAAJ,OVdDgRsAAAAJ,Khaled Alshare,"Professor of Information Systems, Qatar University"
NF4oLaoAAAAJ,94MpX58AAAAJ,Ranganathan Chandrasekaran,Professor
NF4oLaoAAAAJ,h4fnF2AAAAAJ,Jorge Arenas Gaitán (ORCID 0000-00...,Catedrático (Full Professor) de la Universidad de Sevilla (https://ror.org/03yxnpp24)
NF4oLaoAAAAJ,co5-_3cAAAAJ,FRANCISCO JAVIER RONDAN-CATA...,FULL PROFESSOR OF MARKETING. UNIVERSITY OF SEVILLE
NF4oLaoAAAAJ,TKzW2oUAAAAJ,Hassan M. Selim,Professor of MIS
NF4oLaoAAAAJ,RMUmamQAAAAJ,Liping Liu,"Professor of Management and Information System, The University of Akron"
NF4oLaoAAAAJ,uEJv2bQAAAAJ,Hani Mesak,"Professor of Quantitative Analysis, Louisiana Tech University"
NF4oLaoAAAAJ,sye3hrIAAAAJ,Beatriz Helena Diaz Pinzon,Profesor Asociado. Facultad de Ciencias Económicas. Universidad Nacional de Colombia
NF4oLaoAAAAJ,GqG5_LQAAAAJ,Suzanne Altobello,"William H. Belk Distinguished Professor of Marketing, University of North Carolina at Pembroke"
