scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
OmsvZIkAAAAJ,9aKslakAAAAJ,Yara Halasa-Rappel,"Visiting Research Scholar, Brandeis University"
OmsvZIkAAAAJ,H9Jf_roAAAAJ,Victoria Reyes-García,ICREA and ICTA-UAB
OmsvZIkAAAAJ,3meNm80AAAAJ,William R. Leonard,"Abraham Harris Professor of Anthropology, Northwestern University"
OmsvZIkAAAAJ,URpg89oAAAAJ,Jeffrey Stanaway,"Assistant Professor, Global Health, IHME, University of Washington"
OmsvZIkAAAAJ,PPe4VvsAAAAJ,Ryan Wallace,US Centers for Disease Control and Prevention
OmsvZIkAAAAJ,tW3qRMAAAAAJ,Jesse Blanton,CDC
OmsvZIkAAAAJ,p_P5DAcAAAAJ,José R. Zubizarreta,"Professor, Harvard University"
OmsvZIkAAAAJ,cJvD6hAAAAAJ,Dan T.A. Eisenberg,"Associate Professor, Department of Anthropology, University of Washington"
OmsvZIkAAAAJ,X84schIAAAAJ,Jere Behrman,"W.R. Kenan, Jr. Professor of Economics and Sociology"
OmsvZIkAAAAJ,OCjffucAAAAJ,Gerardo Chowell,Professor of Epidemiology & Biostatistics - Georgia State University School of Public Health
OmsvZIkAAAAJ,1G-WexgAAAAJ,Ruth Martínez Vega,Universidad de Santander
OmsvZIkAAAAJ,FzFgel8AAAAJ,Jose Ramos,Profesor de virología (INSP)
OmsvZIkAAAAJ,RyOt_00AAAAJ,MARTIN I MELTZER,Centers for Disease Control and Prevention (CDC)
OmsvZIkAAAAJ,Ki2fC48AAAAJ,"Alan Frank Schultz, PhD, MPH",UX Researcher @Google AIUX
OmsvZIkAAAAJ,Ii9CHlkAAAAJ,Julie M. Cleaton,
OmsvZIkAAAAJ,GADOc4IAAAAJ,Cynthia A. Tschampl,Brandeis University
OmsvZIkAAAAJ,RaJZX2IAAAAJ,Cuc H. Tran,Centers for Disease Control and Prevention
