scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
_dRgKD8AAAAJ,kEHKsr8AAAAJ,Francisco Varela,Director Research CNRS
_dRgKD8AAAAJ,rWFLZJMAAAAJ,Jorge Mpodozis Marín,"Departamento de Biología, Facultad de Ciencias, Universidad de Chile"
_dRgKD8AAAAJ,J1zts-cAAAAJ,juan-carlos Letelier,"Professor, Universidad de Chile"
_dRgKD8AAAAJ,kcPN3qEAAAAJ,Kurt Ludewig,Former University of Hamburg and Münster
_dRgKD8AAAAJ,RbKLlHQAAAAJ,Urban Kordeš,"Professor of Cognitive Science , University of Ljubljana"
_dRgKD8AAAAJ,vAHy5jgAAAAJ,Michael W. Eysenck,"Professorial Fellow in Psychology, University of Roehampton"
_dRgKD8AAAAJ,UA5erHEAAAAJ,Francisco Rothhammer,"Professor of Population Genetics, University of Tarapaca and University of Chile"
_fx52FkAAAAJ,v9xULZwAAAAJ,Ricardo Baeza-Yates,"Northeastern Univ. - Univ. Pompeu Fabra - Univ. de Chile; USA, Spain & Chile"
_fx52FkAAAAJ,-sCLLPEAAAAJ,Nieves R. Brisaboa,Catedrática de Lenguajes y Sistemas Informáticos. U. de A Coruña
_fx52FkAAAAJ,jGsexkoAAAAJ,Veli Mäkinen,"Professor of Computer Science, University of Helsinki"
_fx52FkAAAAJ,PpDSd7oAAAAJ,Edgar Chavez,"Senior researcher, Centro de Investigación Científica y de Educación Superior de"
_fx52FkAAAAJ,aFCoq2YAAAAJ,Travis Gagie,Associate Professor at Dalhousie University
_fx52FkAAAAJ,MvZTjYkAAAAJ,Antonio Fariña,University of A Coruña
_fx52FkAAAAJ,OZ2ju_EAAAAJ,Nivio Ziviani,"Professor Emeritus of Computer Science, Univ. Federal de Minas Gerais,  Co-founder of …"
_fx52FkAAAAJ,XS3z1rkAAAAJ,Yakov Nekrich,"Associate Professor, Michigan Technological Univeristy"
_fx52FkAAAAJ,J6BRiDwAAAAJ,Diego Arroyuelo,"Departamento de Informática, Universidad Técnica Federico Santa María"
_fx52FkAAAAJ,IPUq99gAAAAJ,José R. Paramá,Profesor Titular de Universidad de la Universidad de A Coruña
_fx52FkAAAAJ,RUw3dEwAAAAJ,Simon J. Puglisi,"Professor, Department of Computer Science, University of Helsinki"
_fx52FkAAAAJ,_-yV2pMAAAAJ,Kimmo Fredriksson,University of Eastern Finland
_fx52FkAAAAJ,uyCYTT8AAAAJ,Susana Ladra,"University of A Coruña, Centro de investigación CITIC"
_fx52FkAAAAJ,yXsKQQYAAAAJ,Karina Mariela Figueroa Mora,Universidad Michoacana de San Nicolás de Hidalgo
_fx52FkAAAAJ,y4H6FLEAAAAJ,Jouni Sirén,UC Santa Cruz Genomics Institute
_fx52FkAAAAJ,yh2tWLIAAAAJ,Kunihiko Sadakane,"Professor at Department of Mathematical Informatics, The University of Tokyo"
_fx52FkAAAAJ,O-PD_hsAAAAJ,Luis Manuel Silveira Russo,Instituto Superior Tecnico
_fx52FkAAAAJ,gMHGurgAAAAJ,Edleno Silva de Moura,Universidade Federal do Amazonas
_fx52FkAAAAJ,x7L1W0rvHwsC,Jérémy Barbay,Universidad de Concepción
_fx52FkAAAAJ,VRrWT90AAAAJ,Diego Seco,Universidade da Coruña
_fx52FkAAAAJ,JawGexUAAAAJ,Miguel A. Martínez-Prieto (ORCID:0000-0003-4418-561X),"Associate Professor, Department of Computer Science, University of Valladolid, (Segovia …"
_fx52FkAAAAJ,3EILU3MAAAAJ,Paolo Ferragina,"Professor of Algorithms, Dept. Computer Science, University of Pisa"
_fx52FkAAAAJ,BzrOhcYAAAAJ,Alberto Ordóñez Pereira,Pinterest
_fx52FkAAAAJ,bbZWdFUAAAAJ,Benjamin Bustos,"Department of Computer Science, University of Chile"
_fx52FkAAAAJ,d9ZW-YoAAAAJ,Niko Välimäki,"Postdoctoral researcher, University of Helsinki"
_fx52FkAAAAJ,oxmZsFcAAAAJ,Roberto Konow,"eBay, Universidad Diego portales, Universidad de Chile"
_fx52FkAAAAJ,dqtEnaoAAAAJ,Arlindo L Oliveira,"Distinguished Professor, Instituto Superior Técnico / INESC-ID"
_fx52FkAAAAJ,oZepo1cAAAAJ,Juha Kärkkäinen,Department of Computer science
_fx52FkAAAAJ,faPLw84AAAAJ,Daniel Valenzuela,"Research Scientist, Varian Medical Systems"
_fx52FkAAAAJ,pwdQAPEAAAAJ,Sharma V. Thankachan,North Carolina State University
_fx52FkAAAAJ,GyklaXkAAAAJ,Sebastian Maneth,"Professor für Informatik, Universität Bremen"
_fx52FkAAAAJ,ldpdi_gAAAAJ,Johannes Fischer,TU Dortmund
_fx52FkAAAAJ,JMkfK0sAAAAJ,Berthier Ribeiro-Neto,"CS Dept, UFMG & Google Inc"
_fx52FkAAAAJ,OFlBSEEAAAAJ,J. Shane Culpepper,"RMIT University, School of Computing Technologies"
_fx52FkAAAAJ,6hmLQWsAAAAJ,Eric S. Tellez,CONACyT - INFOTEC Centro de Investigación e Innovación en Tecnologías de la …
_fx52FkAAAAJ,RIgvXbAAAAAJ,Ludovic Mé,"Researcher at Inria, member of the Inria/IRISA team CIDRE"
_fx52FkAAAAJ,lCZblDwAAAAJ,Andrew Turpin,Lions Eye Institute and Curtin University
_fx52FkAAAAJ,0xWltyAAAAAJ,Peter Sanders,"Professor of Computer Science, Karlsruhe Institute of Technology"
_07ZLa4AAAAJ,9XSO38QAAAAJ,Patricia Muñoz García,Hospital Gregorio Marañón. IISGM. Universidad Complutense. CIBERES.
_07ZLa4AAAAJ,RymaWmIAAAAJ,Bengt Mannervik,Stockholm University
_07ZLa4AAAAJ,Ar7FIkYAAAAJ,Gabriela Díaz-Véliz,"Facultad de medicina, Universidad de Chile"
_07ZLa4AAAAJ,O9yPOqIAAAAJ,Francisco J Romero,General Hospital Requena
