scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
JGTUORMAAAAJ,fMr-RFAAAAAJ,Ileana  Gonzalez,"Profesor Adjunto, Universidad Católica del Maule"
JGTUORMAAAAJ,-rVs6k8AAAAJ,Ramon Perez-Castro,Universidad Catolica del Maule
JGTUORMAAAAJ,EQeBOusAAAAJ,Ivan Palomo,Universidad de Talca
JGTUORMAAAAJ,02UZy1cAAAAJ,Fernando Delgado Lopez,"Facultad de Medicina, Universidad Catolica del Maule"
JGTUORMAAAAJ,3TviQhUAAAAJ,"Carolina Añazco, Associate Professor",Universidad San Sebastián
JGTUORMAAAAJ,6nyvL-AAAAAJ,deyarina gonzalez,Swansea University
JGTUORMAAAAJ,WVq-npQAAAAJ,Miriam Palacios-Callender,King's College London
JGTUORMAAAAJ,qfNZMq8AAAAJ,Eduardo Fuentes,Universidad de Talca
JGTUORMAAAAJ,ezmEKtkAAAAJ,Maria Beatriz Herrera Sanchez,PhD
JGTUORMAAAAJ,TuIJyEwAAAAJ,Manuel Portero-Otin,IRBLleida UdL
JGTUORMAAAAJ,3JnxvvIAAAAJ,Karel Otero,Senior Scientist at Biogen
JGTUORMAAAAJ,un_qvA8AAAAJ,Rafael Fando Calzada,Centro Nacional de Investigaciones Científicas
JGTUORMAAAAJ,ky2lKZ8AAAAJ,Javier Campos Gómez,"Scientist, University of Alabama at Birmingham"
JGTUORMAAAAJ,GtOvv4YAAAAJ,Sonsoles Hortelano,"Head of Pharmacology Therapies Unit, ISCIII"
JGTUORMAAAAJ,ekKT7-MAAAAJ,Lisardo Bosca,"Senior Research, Instituto de Investigaciones Biomédicas. CSIC"
JGTUORMAAAAJ,xOGOnuwAAAAJ,Sandra Valdes Diaz,"Profesora, Universidad Nacional de Costa Rica"
JGTUORMAAAAJ,UbWBTBsAAAAJ,Massimo Locati,University of Milan
JGTUORMAAAAJ,3uRAVYIAAAAJ,Alberto Mantovani,"Direttore Scientifico, Istituto Clinico Humanitas, Humanitas University"
JGTUORMAAAAJ,0bI7H5UAAAAJ,Silvano Sozzani,"Professor of Pathology, Sapienza University of Rome"
JGTUORMAAAAJ,lHEXo2oAAAAJ,Vicente Andres,Centro Nacional de Investigaciones Cardiovasculares Carlos III (CNIC)
JGTUORMAAAAJ,OSaSiIAAAAAJ,Michal Schnaider Beeri,Associate Professor; The Icahn School of Mediciene at Mount Sinai
JGTUORMAAAAJ,ntKR0x8AAAAJ,Jaime Pereira,"Professor, School of Medicine, Pontificia Universidad catolica de Chile"
JGTUORMAAAAJ,i-Kjq54AAAAJ,Steve Conlan,Swansea University
JGTUORMAAAAJ,Pn51ybEAAAAJ,Anselmo de Jesús Otero-González,"Center for Protein Studies, Havana University, Cuba"
JGTUORMAAAAJ,UYU0UEEAAAAJ,Richard Knowles,Knowles Consulting
JGTUORMAAAAJ,DSzr_OkAAAAJ,Alejandro Gugliucci,"Professor Emeritus of Biochemistry, Touro University California"
pAWGl5IAAAAJ,Ykqe_iAAAAAJ,Carla Muñoz,"Académico, Universidad Católica del Maule"
pAWGl5IAAAAJ,x6-noVkAAAAJ,ANA M NIETO CARRACEDO (ORCID:...,Universidad de Salamanca
pAWGl5IAAAAJ,OWGkJs4AAAAJ,Ilich Silva-Peña,Universidad de Los Lagos - IESED Chile
pAWGl5IAAAAJ,YQquucEAAAAJ,Andrea Precht Gandarillas,Universidad Católica del Maule
