scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
IP0KMQwAAAAJ,9Ln_jBUAAAAJ,Christian HR Nitschelm,"Full professor, Centro de Astronomía (CITEVA), Universidad de Antofagasta, Chile"
IP0KMQwAAAAJ,TcfgAAMAAAAJ,Alexandre Roman-Lopes,Universidad de La Serena
IP0KMQwAAAAJ,VNQ9PaoAAAAJ,Jennifer Sobeck,"Senior Scientist, SDSS-IV Project Manager for APOGEE-2 and LCO Operations, Univ …"
IP0KMQwAAAAJ,c1kfyncAAAAJ,Angeles Pérez-Villegas,Instituto de Astronomia-UNAM
IP0KMQwAAAAJ,WUw8JYAAAAAJ,Kaike Pan,Apache Point Observatory/NMSU
IP0KMQwAAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,"Professor of Physics and Astronomy, Vanderbilt University"
IP0KMQwAAAAJ,RN8sb0oAAAAJ,Javier Alonso-García,"Unidad de Astronomía, Universidad de Antofagasta"
IP0KMQwAAAAJ,CXzV4IgAAAAJ,Ricardo Carrera,INAF-Osservatorio Astronomico di Padova
IP0KMQwAAAAJ,EYmZbjEAAAAJ,Patricia Tissera,"Institute of Astrophysics, Pontificia Universidad Catolica Chle"
IP0KMQwAAAAJ,u11WhKkAAAAJ,Basílio Xavier Santiago,Professor e Pesquisador da Universidade Federal do Rio Grande do Sul
IP0KMQwAAAAJ,EvQE-0UAAAAJ,Kevin Covey,Western Washington Univ.
IP0KMQwAAAAJ,_wSmxLcAAAAJ,Adrian M. Price-Whelan,Flatiron Institute
IP0KMQwAAAAJ,mRjlS-AAAAAJ,Marc Pinsonneault,"Professor of Astronomy, Ohio State University"
IP0KMQwAAAAJ,2H08ubAAAAAJ,Adam J. Burgasser,UC San Diego
IP0KMQwAAAAJ,1Dp-XscAAAAJ,Johanna Teske,Carnegie Institution for Science
IP0KMQwAAAAJ,WkMQLUAAAAAJ,Sara Lucatello,INAF Osservatorio Astronomico di Padova
IP0KMQwAAAAJ,jPQb9SEAAAAJ,Matthias Steinmetz,Director Leibniz Institute for Astrophysics Potsdam (AIP)
