scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
1nTAQfsAAAAJ,S7LDuQ8AAAAJ,Erasmo Macaya Horta,Universidad de Concepción
1nTAQfsAAAAJ,dv8gciwAAAAJ,Nelson Valdivia,Universidad Austral de Chile
1nTAQfsAAAAJ,cY-A0aMAAAAJ,Fadia Tala,Universidad Católica del Norte
1nTAQfsAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo …"
1nTAQfsAAAAJ,2b2tm3oAAAAJ,Eva Rothäusler,University of Turku
1nTAQfsAAAAJ,Wb0BJU4AAAAJ,Andrew Jeffs,"Professor of Marine Science, University of Auckland"
1nTAQfsAAAAJ,ZuEEpw4AAAAJ,Lars Gutow,
1nTAQfsAAAAJ,bA3DSU4AAAAJ,Bridget Green,"Adjunct Associate Professor, Institute for Marine and Antarctic Studies, University of …"
1nTAQfsAAAAJ,d4pIdOYAAAAJ,Caleb Gardner,University of Tasmania
1nTAQfsAAAAJ,Gwyw_mwAAAAJ,J. Antonio Baeza,"Associate Professor, Dept. of Biological Sciences, Clemson University, USA"
1nTAQfsAAAAJ,H3toP-0AAAAJ,Cristian Correa,Universidad Austral de Chile
1nTAQfsAAAAJ,QXLQ_I4AAAAJ,Iván Gómez,Universidad Austral de Chile
1nTAQfsAAAAJ,jI8ORYEAAAAJ,Alonso Vega Reyes,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte
1nTAQfsAAAAJ,pzo1VK8AAAAJ,Chris Harrod,"Universidad de Antofagasta, Instituto Ciencias Naturales Alexander von Humboldt"
1nTAQfsAAAAJ,pwL_3ukAAAAJ,Alejandro H. Buschmann,"Centro i-mar, Universidad de Los Lagos"
1nTAQfsAAAAJ,RXKRg74AAAAJ,Jenni Stanley,"Senior Lecturer, University of Waikato, New Zealand"
1nTAQfsAAAAJ,wFTIxz4AAAAJ,Patricio Hernáez,Universidad de Tarapacá
1nTAQfsAAAAJ,Wuei678AAAAJ,Mauricio Cifuentes Navarro,"PhD student, Victoria University of Wellington"
1nTAQfsAAAAJ,JGCbLoIAAAAJ,Cristina Dorador,University of Antofagasta
1nTAQfsAAAAJ,nVfTXeEAAAAJ,Adrian Linnane,South Australian Research and Development Institute
SaoUt94AAAAJ,hlLlDAMAAAAJ,Roger Hughes,"Emeritus Professor of Zoology, Bangor University"
SaoUt94AAAAJ,VgYNv6gAAAAJ,Bernabé Santelices,Pontificia Universidad Católica deChile
SaoUt94AAAAJ,gQHmbqcAAAAJ,Jose Gallardo Matus,"Profesor adjunto, Escuela de Ciencias del Mar, Pontificia Universidad Católica de Valparaíso."
SaoUt94AAAAJ,rAZT3w0AAAAJ,Dave Lunt,"Biological and Marine Sciences, University of Hull, UK"
SaoUt94AAAAJ,MilfbzwAAAAJ,Gary R Carvalho,"Professor Molecular Ecology, Bangor University"
SaoUt94AAAAJ,oHzhVGwAAAAJ,Africa Gómez,"Senior Lecturer in Evolutionary Biology, University of Hull, UK"
SaoUt94AAAAJ,j9qpO4kAAAAJ,Jorge M. Navarro,Universidad Austral de Chile
SaoUt94AAAAJ,uD2OS1sAAAAJ,Patrick N. Wyse Jackson,"Professor in Geology, Trinity College, Dublin"
SaoUt94AAAAJ,7OUaTBEAAAAJ,Roger D. Sepúlveda,Ecología y Genética Ambiental SPA
SaoUt94AAAAJ,LUdizE8AAAAJ,Marco A. Méndez,"Profesor Titular, Facultad de Ciencias, Universidad de Chile"
SaoUt94AAAAJ,ZizSEH4AAAAJ,Dr. Cristián E. Hernández,"Full Professor, Universidad de Concepción"
SaoUt94AAAAJ,pTVqu9oAAAAJ,Sergio Contreras,Universidad Catolica de la Santisima Concepcion
SaoUt94AAAAJ,JCv1hnQAAAAJ,Christian M. Ibáñez,Universidad Andres Bello
SaoUt94AAAAJ,1t1yTcUAAAAJ,Marcelo A. Flores M.,Departamento de Ecología y Biodiversidad. Facultad de Ecología y Recursos Naturales. Universidad
SaoUt94AAAAJ,l70tt04AAAAJ,Ricardo Guiñez,Profesor Titular Universidad de Antofagasta
pTVqu9oAAAAJ,iMDCwwIAAAAJ,Gaute Lavik,Max Planck Institute for Marine Microbiology
pTVqu9oAAAAJ,1Kl8WN0AAAAJ,Daniel Rincón Martínez,Instituto Colombiano del Petróleo - Ecopetrol
pTVqu9oAAAAJ,Z-3j3nwAAAAJ,Guillaume Leduc,CNRS researcher
pTVqu9oAAAAJ,ZizSEH4AAAAJ,Dr. Cristián E. Hernández,"Full Professor, Universidad de Concepción"
pTVqu9oAAAAJ,joUPUYkAAAAJ,Kai-Uwe Hinrichs,"Professor, University of Bremen, MARUM & Dept. of Geosciences, formerly WHOI"
m4jvShcAAAAJ,9UCD18UAAAAJ,Ivan Arismendi,"Associate Professor, Oregon State University"
m4jvShcAAAAJ,KjGXGeQAAAAJ,Cristian Echeverria,"Professor titular, Universidad de Concepcion"
m4jvShcAAAAJ,ek0cFWMAAAAJ,Rafael Marcé,Catalan Institute for Water Research
m4jvShcAAAAJ,C37h5AMAAAAJ,Brooke E. Penaluna,"Research Fish Biologist, PNW Research Station USDA Forest Service"
m4jvShcAAAAJ,V4QxzYYAAAAJ,Daniel Gomez-Uchida,"Associate Professor at Departamento de Zoología, Universidad de Concepción"
m4jvShcAAAAJ,3GqFm04AAAAJ,David Tecklin,"Research Associate, Universidad Austral de Chile"
m4jvShcAAAAJ,DUsca2wAAAAJ,Ian  A Fleming,Memorial University of Newfoundland
m4jvShcAAAAJ,2lZZB4oAAAAJ,Arnoldo Valle-Levinson,University of Florida
m4jvShcAAAAJ,h39DLB4AAAAJ,Carlos Lara,Universidad Católica de la Santísima Concepción
m4jvShcAAAAJ,27oYl3QAAAAJ,Ricardo Villalba,IANIGLA
m4jvShcAAAAJ,dYeZp8QAAAAJ,Antonio Lara,"Professor Facultad de Ciencias Forestales y Recursos Naturales, Universidad Austral de Chile"
YXOQkJMAAAAJ,iFZFi38AAAAJ,Evelyn Rodriguez,Universidad Católica de la Santísima Concepción
YXOQkJMAAAAJ,7ZA4mzIAAAAJ,Mario Trigiante,Politecnico di Torino
aMXsCrUAAAAJ,XR4vl8cAAAAJ,Carlos Celis-Morales,"Institute of Cardiovascular and Medical Science, Glasgow University, UK"
aMXsCrUAAAAJ,eS_SYGMAAAAJ,Fanny Petermann-Rocha,Universidad Diego Portales
aMXsCrUAAAAJ,tlh0YxkAAAAJ,Carlos Matus Castillo,Universidad Católica de la Santísima Concepción (Chile)
aMXsCrUAAAAJ,WkGN7u4AAAAJ,Claudia Troncoso Pantoja,Universidad Católica de la Santísima Concepción
aMXsCrUAAAAJ,Vx7kPp8AAAAJ,Cristian Alvarez,Universidad Andres Bello
aMXsCrUAAAAJ,eWXIjwwAAAAJ,Carlos Cristi-Montero,Pontificia Universidad Católica de Valparaiso
aMXsCrUAAAAJ,mpFXK6YAAAAJ,Jaime Vásquez-Gómez,Universidad Católica del Maule
aMXsCrUAAAAJ,c9vCxn4AAAAJ,Rodrigo Ramirez-Campillo,Exercise and Rehabilitation Sciences Laboratory. School of Physical Therapy. Faculty of
aMXsCrUAAAAJ,O8xOA28AAAAJ,Fernando Rodriguez-Rodriguez,"Physical Education, Pontificia Universidad Católica de Valparaíso"
aMXsCrUAAAAJ,gBVQKdUAAAAJ,Lorena Mardones Leiva,
aMXsCrUAAAAJ,OiVMzoYAAAAJ,Gabriela Nazar,Universidad de Concepción
aMXsCrUAAAAJ,mBdG3iEAAAAJ,NICOLAS AGUILAR FARIAS,Universidad de La Frontera
aMXsCrUAAAAJ,7UeeIB4AAAAJ,"Robinson Ramírez-Vélez, Ph.D (ORCI...","Department of Health Sciences, Public University of Navarra"
aMXsCrUAAAAJ,px-UtYcAAAAJ,Lewis Steell,"PhD Student, University of Glasgow"
aMXsCrUAAAAJ,WXlYdusAAAAJ,ANA GABRIELA DIAZ MARTINEZ,
aMXsCrUAAAAJ,PjCOCvUAAAAJ,Felipe Abad-Colil ,Académico Facultad de Ciencias de la Actividad Física Universidad San Sebastian 
