scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
XZBjhB4AAAAJ,XClx914AAAAJ,Gerardo Muñoz,Universidad Católica de Temuco
XZBjhB4AAAAJ,ki2cCE8AAAAJ,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco"
XZBjhB4AAAAJ,A9xwJTEAAAAJ,Miguel  Friz-Carrillo,Universidad del Bio-Bio
XZBjhB4AAAAJ,Q-m8fGoAAAAJ,gerard lavoie,"Professeur en sciences de l'éducation, UQAT"
A3LFev0AAAAJ,jpCBuDAAAAAJ,Fernando Borie,Universidad de La Frontera
A3LFev0AAAAJ,QEHPeoUAAAAJ,Alex Seguel,Departamento de Cs. Agronómicas y Rec. Naturales / Facultad de Cs. Agropecuarias y Forestales - UFRO
A3LFev0AAAAJ,EqeZJ10AAAAJ,Edmundo Acevedo,University of Chile
A3LFev0AAAAJ,Pzc_CUAAAAAJ,Antonio Roldan (ORCID 0000-0002-2...,CSIC
A3LFev0AAAAJ,x2YwgB8AAAAJ,Mauricio Schoebitz,Universidad de Concepción
ge68r8wAAAAJ,ez4U4w0AAAAJ,JESÚS BAIGORRI JALÓN,"ex profesor de interpretación, Universidad de Salamanca"
ge68r8wAAAAJ,uDEUDkUAAAAJ,Concepcion Otero Moreno,Universität Hildesheim
ge68r8wAAAAJ,fAtlaFgAAAAJ,Mariachiara Russo,"Professor of Spanish Linguistics and Interpretation, University of Bologna"
ge68r8wAAAAJ,cUznvtgAAAAJ,Fabien Le Bonniec,Departamento de Ciencias Sociales de la Universidad de la Frontera
yjv9clAAAAAJ,ki2cCE8AAAAJ,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco"
yjv9clAAAAAJ,QRRSCXAAAAAJ,Jaime R. Rau,"Profesor Titular, Depto. de Ciencias Biológicas & Biodiversidad, Universidad de Los Lagos, Campus"
yjv9clAAAAAJ,CpaagMwAAAAJ,ESCALONA ULLOA MIGUEL ANTONIO,Universidad Catolica de Temuco. Chile
yjv9clAAAAAJ,8uh_4FcAAAAJ,Daniel Rozas-Vásquez,Universidad Católica de Temuco
