scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
y3s1KhIAAAAJ,tPihtWsAAAAJ,Rafael Araos,"Facultad de Medicina Clinica Alemana, Universidad del Desarrollo, Chile"
y3s1KhIAAAAJ,gA6krWUAAAAJ,George Weinstock,"Director of Microbial Genomics, Professor, Jackson Laboratory"
y3s1KhIAAAAJ,0LC112kAAAAJ,Paul J. Planet,"Assistant Professor, University of Pennsylvania, Children's Hospital of Philadelphia"
y3s1KhIAAAAJ,9xWEVqwAAAAJ,Pablo Vial,Universidad del Desarrollo
y3s1KhIAAAAJ,QSnkktQAAAAJ,Samuel L. Aitken,Michigan Medicine
y3s1KhIAAAAJ,HVtSJJsAAAAJ,Yousif Shamoo,"BioSciences, Rice University"
y3s1KhIAAAAJ,WIJhjssAAAAJ,Apurva Narechania,American Museum of Natural History
y3s1KhIAAAAJ,w3XeJOgAAAAJ,"Lilian Abbo, M.D.","Professor of Clinical Infectious Diseases, University of Miami Miller School of Medicine; Chief"
y3s1KhIAAAAJ,9lK4f1UAAAAJ,Flavia Rossi,H. das Clinicas -Faculdade de Medicina da Universidade de São Paulo
y3s1KhIAAAAJ,KRX5oyEAAAAJ,Federico Perez,Case Western Reserve University School of Medicine and Louis Stokes Cleveland VA Medical Center
y3s1KhIAAAAJ,ii_IqhEAAAAJ,Macarena Rodriguez Vial,"Instituto Nacional del Cancer, Chile /Clinica Alemana UDD"
y3s1KhIAAAAJ,c3d1zQcAAAAJ,"Costi Sifri, MD",Division of Infectious Diseases and International Health
y3s1KhIAAAAJ,BtcDQ2IAAAAJ,Eric Pamer,"Duchossois Family Institute, University of Chicago"
y3s1KhIAAAAJ,qU0oq1MAAAAJ,William Dowhan,"Professor of Biochemistry and Molecular Biology, University of Texas Medical School-Houston"
y3s1KhIAAAAJ,b4DvK3QAAAAJ,Eugenia Mileykovskaya,"Associate Professor of Biochemistry, University of Texas Medical School at Houston"
y3s1KhIAAAAJ,GJ7yapUAAAAJ,"Dimitrios P. Kontoyiannis, MD, ScD, P...",University of Texas MD Anderson Cancer Center
y3s1KhIAAAAJ,21uBWM8AAAAJ,Danielle Garsin,The University of Texas Health Science Center at Houston
y3s1KhIAAAAJ,nlUeDngAAAAJ,Jiwoong Kim,Computational Biologist of UT Southwestern Medical Center
9M10-BwAAAAJ,XjFq3S0AAAAJ,Andrea Slachevsky,Universidad de Chile
