scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
fT99RewAAAAJ,081-PZIAAAAJ,Aníbal Pauchard,Universidad de Concepción
fT99RewAAAAJ,_ERGBOEAAAAJ,LEON A. BRAVO,Universidad de La Frontera
fT99RewAAAAJ,UGheoogAAAAJ,michalet,Professor
fT99RewAAAAJ,R9sCM7IAAAAJ,Zaal Kikvidze,"Professor of Ecology, Ilia State University, Tbilisi, Georgia"
fT99RewAAAAJ,qtTMDv0AAAAJ,Francisco I. Pugnaire,"Research Professor, EEZA-CSIC, Almeria, Spain"
fT99RewAAAAJ,ewgr0xoAAAAJ,Angela Sierra-Almeida,"Botany Department, University of Concepción"
fT99RewAAAAJ,fYERgqsAAAAJ,Jake M. Alexander,ETH Zurich
fT99RewAAAAJ,U2ypDCQAAAAJ,Francisco A. Squeo,Profesor Titular (ULS)
fT99RewAAAAJ,1EJBgD8AAAAJ,Christoph Kueffer,ETH Zurich
fT99RewAAAAJ,WJ_lkGQAAAAJ,Lisa Rew,Montana State University
fT99RewAAAAJ,4IETlnEAAAAJ,Fabien Anthelme,Institut de recherche pour le Développement (IRD)
fT99RewAAAAJ,U4i7qWQAAAAJ,Tim Seipel,Montana State University
fT99RewAAAAJ,2D9ZitUAAAAJ,patricia saez,"Facultad de Ciencias Forestales, Universidad de Concepción"
fT99RewAAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and …"
fT99RewAAAAJ,XIaSoXMAAAAJ,Susana Gómez-González,Universidad de Cádiz
fT99RewAAAAJ,LZd9fu8AAAAJ,Ramiro O Bustamante,"Full Professor, Universidad de Chile"
fT99RewAAAAJ,OVFS0L0AAAAJ,Sylvia Haider,"Assistant Professor, Geobotany, Martin Luther University Halle-Wittenberg"
fT99RewAAAAJ,kNfUrYYAAAAJ,Frida Piper,"Instituto de Ciencias Biológicas, Universidad de Talca"
fT99RewAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
fT99RewAAAAJ,SlIUBF4AAAAJ,Georges Kunstler,INRAE Grenoble
fT99RewAAAAJ,k45xDSEAAAAJ,Pierre Liancourt,State Museum of Natural History Stuttgart
fT99RewAAAAJ,NWb5izYAAAAJ,Cristina Armas,"Tenure Scientist, Estacion Experimental de Zonas Aridas-CSIC"
fT99RewAAAAJ,5zReziUAAAAJ,Angélica Casanova-Katny,Universidad Católica de Temuco
fT99RewAAAAJ,hgmc9vAAAAAJ,Fernando T. Maestre (ORCID: 0000-0002-7434-4856),"Distinguised Researcher, Universidad de Alicante (ROR 05t8bcz72)"
fT99RewAAAAJ,Fie2YHAAAAAJ,Justin Travis,Professor of Ecology and Evolution
fT99RewAAAAJ,mThwj0MAAAAJ,Alfonso Valiente-Banuet,"Institute of Ecology, UNAM"
fT99RewAAAAJ,GpHgL6EAAAAJ,carlos baeza perry,profesor de botánica
fT99RewAAAAJ,R9ntLLQAAAAJ,Ernesto Gianoli,"Professor, Universidad de La Serena, Chile"
fT99RewAAAAJ,89DB5TMAAAAJ,Antoine Guisan,University of Lausanne
fT99RewAAAAJ,C_PrZOQAAAAJ,J. Baird Callicott,"Professor of Philosophy, University of North Texas"
fT99RewAAAAJ,1XCeE1YAAAAJ,juli g. pausas (ORCID:0000-0003-3533-5786),CIDE-CSIC (ROR:02gfc7t72)
fT99RewAAAAJ,QLTz61oAAAAJ,Alexander G Ivanov,Uiversity of Western Ontario
fT99RewAAAAJ,my-JKiQAAAAJ,Claudio Latorre,"Professor, Departamento de Ecología, Pontificia Universidad Católica de Chile"
fT99RewAAAAJ,GTfW2ngAAAAJ,Alex Fajardo,Universidad de Talca
081-PZIAAAAJ,ajiHSOEAAAAJ,Martin A. Nuñez,"Grupo de Ecologia de Invasiones, Dep Bio & Biochem, University of Houston/ INIBIOMA …"
081-PZIAAAAJ,fT99RewAAAAJ,Lohengrin Cavieres,Universidad de Concepcion
081-PZIAAAAJ,Rdfu4uoAAAAJ,David M. Richardson,"Distinguished Professor, Centre for Invasion Biology, Stellenbosch University, South Africa"
081-PZIAAAAJ,1EJBgD8AAAAJ,Christoph Kueffer,ETH Zurich
081-PZIAAAAJ,fYERgqsAAAAJ,Jake M. Alexander,ETH Zurich
081-PZIAAAAJ,WJ_lkGQAAAAJ,Lisa Rew,Montana State University
081-PZIAAAAJ,JDrmuaEAAAAJ,Rafael A. García,"Instituto de Ecología y Biodiversidad (IEB), Universidad de Concepción"
081-PZIAAAAJ,p987Z70AAAAJ,Franz Essl,"Department of Conservation, Vegetatation and Landscape Ecology"
081-PZIAAAAJ,OVFS0L0AAAAJ,Sylvia Haider,"Assistant Professor, Geobotany, Martin Luther University Halle-Wittenberg"
081-PZIAAAAJ,N_D4gnUAAAAJ,Petr Pyšek,"Professor of Ecology, Institute of Botany, Czech Academy of Sciences, Pruhonice"
081-PZIAAAAJ,NRsyuDwAAAAJ,Bárbara Langdon,"Postdoctorado, Universidad de Concpeción"
081-PZIAAAAJ,LZd9fu8AAAAJ,Ramiro O Bustamante,"Full Professor, Universidad de Chile"
081-PZIAAAAJ,MmOD7jMAAAAJ,Jonas J. Lembrechts,"Postdoctoral researcher, University of Antwerp"
081-PZIAAAAJ,U4i7qWQAAAAJ,Tim Seipel,Montana State University
081-PZIAAAAJ,91a04yQAAAAJ,Bruce Maxwell,"Professor of Weed Ecology, Montana State University"
081-PZIAAAAJ,Xx52nH4AAAAJ,Jonathan Lenoir,Chargé de Recherche (CR1) CNRS
081-PZIAAAAJ,ErbigE0AAAAJ,Daniel Simberloff,"Professor of Ecology and Evolutionary Biology, University of Tennessee"
081-PZIAAAAJ,zsptDjcAAAAJ,Rafael D. Zenni,Universidade Federal de Lavras
081-PZIAAAAJ,YoGDr2YAAAAJ,José Ramón Arévalo Sierra,UNIVERSIDAD DE LA LAGUNA
081-PZIAAAAJ,25-Vqw0AAAAJ,Romina D. Dimarco,CONICET-INTA / University of Houston
081-PZIAAAAJ,5FfLX_4AAAAJ,Brian W. van Wilgen,"Professor, Centre for Invasion Biology, Stellenbosch University, South Africa"
081-PZIAAAAJ,upH2_xQAAAAJ,Jacob N. Barney,Virginia Tech
081-PZIAAAAJ,bkMmaJ4AAAAJ,Rüdiger Otto,Investigador
081-PZIAAAAJ,5x2zSqgAAAAJ,Elizabete Marchante,"Centre for Functional Ecology - Science for People & the Planet, University of Coimbra"
081-PZIAAAAJ,A_KoUbQAAAAJ,Kimberley T Davis,"USDA Forest Service, Rocky Mountain Research Station, Missoula Fire Sciences Lab"
081-PZIAAAAJ,89DB5TMAAAAJ,Antoine Guisan,University of Lausanne
081-PZIAAAAJ,sXpY0CUAAAAJ,Katriona Shea,"Professor of Biology, Penn State University"
YPM6KxAAAAAJ,dHG-J2cAAAAJ,Majeed M. Hayat,"Professor and Department Chair, Electrical & Computer Engineering, Marquette University"
YPM6KxAAAAAJ,NJcglwYAAAAJ,Sebastián E. Godoy,"Associate Professor, University of Concepcion, CHILE"
Wk2naEgAAAAJ,ki2DjVkAAAAJ,Carlos R. Baier,"Departamento de Ingeniería Eléctrica, Universidad de Talca"
Wk2naEgAAAAJ,YwQuZr0AAAAJ,Javier Munoz,Universidad de Talca
Wk2naEgAAAAJ,010wbxAAAAAJ,Pedro E. Melín C.,Department of Electrical and Electronic Engineering - University of Bío-Bío
Wk2naEgAAAAJ,FOKLmaQAAAAJ,Marco Esteban Rivera Abarca,"Full Professor, Universidad de Talca - University of Nottingham UK"
Wk2naEgAAAAJ,EwIjpU4AAAAJ,Luis Morán,Concepcion University
Wk2naEgAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Universidad Tecnica Federico Santa Maria
Wk2naEgAAAAJ,wdTi3S0AAAAJ,Geza Joos,"Professor of Electrical Engineering, McGill University"
Wk2naEgAAAAJ,c9ql-BAAAAAJ,Marcelo A. Perez,Universidad Tecnica Federico Santa Maria
Wk2naEgAAAAJ,xMmVZ4sAAAAJ,Johan Guzman,Profesor Asociado Departamento de Ingeniería Eléctrica Universidad del Bío Bío
Wk2naEgAAAAJ,aa-NCokAAAAJ,Jaime Addin Rohten,Universidad del Bío-Bío
Wk2naEgAAAAJ,zKVI7EIAAAAJ,"Dixon, Juan W.","Ingeniería Eléctrica, Pontificia Universidad Catolica de Chile"
Wk2naEgAAAAJ,b1UsMiEAAAAJ,Daniel G. Sbarbaro-Hofer,Professor
Wk2naEgAAAAJ,SyIr8FUAAAAJ,Pericle Zanchetta,"Professor, University of Nottingham, UK"
Wk2naEgAAAAJ,8z38R2MAAAAJ,Pat Wheeler,University of Nottingham
Wk2naEgAAAAJ,R-2faK0AAAAJ,roberto ramirez,University of Talca
Wk2naEgAAAAJ,_ZXZKREAAAAJ,Eduardo Espinosa Neira,Universidad Católica de la Santísima Concepción - Depto. de Ing. Eléctrica - Profesor …
Wk2naEgAAAAJ,c1VhcpIAAAAJ,Marian P. Kazmierkowski,Profesor in Power Electronics and Drives
Wk2naEgAAAAJ,-0gRNgsAAAAJ,Cesar Silva,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile"
Wk2naEgAAAAJ,ImrRuDsAAAAJ,Pablo Lezana,Universidad Técnica Federico Santa Maria
Wk2naEgAAAAJ,6O2aO7IAAAAJ,Miguel Torres,"Instituto de Ciencias de la Ingeniería, Universidad de O'Higgins"
Wk2naEgAAAAJ,0EMhA8AAAAAJ,Johann Kolar,"Professor für Leistungselektronik, ETH Zürich"
Wk2naEgAAAAJ,gggnQKsAAAAJ,Haithem Abu-Rub,"Professor, IEEE Fellow"
Wk2naEgAAAAJ,Absa1W8AAAAJ,Alan Hjalmar Wilson Veas,Ph.D. student at Dresden University of Technology
Wk2naEgAAAAJ,67H3HyIAAAAJ,ruben pena,"university of nottingham, university of magallanes, university of concepcion"
Wk2naEgAAAAJ,vo5bd2UAAAAJ,Victor Cardenas,"Universidad Autonoma de San Luis Potosi, Facultad de Ingeniería"
Wk2naEgAAAAJ,4SUUMGIAAAAJ,Hector Young,"Universidad de La Frontera, Temuco, Chile"
Wk2naEgAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff …"
