scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
TX3te0QAAAAJ,Zt2tX04AAAAJ,Gregory Elacqua,"Principal Economist, Education Division, Inter-American Development Bank"
TX3te0QAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
TX3te0QAAAAJ,ZsnY-40AAAAJ,Julio Labraña,Universidad de Tarapacá
TX3te0QAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile)
TX3te0QAAAAJ,7oWeNF0AAAAJ,Felipe Salazar,Pontificia Universidad Católica de Chile
TX3te0QAAAAJ,9b8DoS8AAAAJ,Cristián Cox,"Professor, Universidad Diego Portales"
TX3te0QAAAAJ,NxwSFJ4AAAAJ,Lauritz Holm-Nielsen,Aarhus Universitet
TX3te0QAAAAJ,PcV0JIQAAAAJ,Juan Carlos Tedesco,"Educador y pedagogo argentino. Docente de Historia de la Educación, UNLP"
TX3te0QAAAAJ,Nn04VVcAAAAJ,Lea Velho,Professora De Estudos Sociais de Ciência e daTecnologia
TX3te0QAAAAJ,vd6kqSwAAAAJ,Jocelyne Gacel-Avila,Universidad de Guadalajara
TX3te0QAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca
TX3te0QAAAAJ,LDGnkcsAAAAJ,Jamil Salmi,Independent expert
TX3te0QAAAAJ,2Luja0YAAAAJ,Cristóbal Villalobos Dintrans,"Centro de Políticas y Prácticas en Educación (CEPPE UC), Pontificia Universidad Católica …"
TX3te0QAAAAJ,Kv2jEKQAAAAJ,Ana García Fanelli,CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas)  con lugar de …
TX3te0QAAAAJ,JrpilR0WTPcC,Simon Schwartzman,Academia Brasileira de Ciências
TX3te0QAAAAJ,m6CivY4AAAAJ,Alejandro Tiana (ORCID: 0000 0002 3696 8748),"Catedrático de Teoría e Historia de la Educación, UNED"
TX3te0QAAAAJ,ZLPWLJgAAAAJ,Oscar Valiente,"Senior Lecturer, University of Glasgow"
TX3te0QAAAAJ,hmVvmsoAAAAJ,Guy Eugene HAUG,Universitat Politècnica de València
TX3te0QAAAAJ,kexoFjAAAAAJ,Ludolfo Paramio,"Profesor de Investigación, CSIC"
TX3te0QAAAAJ,bvP-eQoAAAAJ,Nestor Garcia Canclini,"Filósofo, Antropólogo, Profesor, Crítico cultural, Profesor Extraordinario de la UNLP"
