scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
3VcPRHYAAAAJ,xLf156UAAAAJ,Gabriela Briceño Muñoz,Universidad de La Frontera
3VcPRHYAAAAJ,QyCzrYcAAAAJ,MARA XIMENA CEA LEMUS,"Profesor Asistente, Universidad de La Frontera"
3VcPRHYAAAAJ,254iajwAAAAJ,Nelson Durán,"Instituto de Química, Universidade Estadual de Campinas,"
3VcPRHYAAAAJ,PWgiRgIAAAAJ,Amedea B. Seabra,"Professora, Universidade Federal do ABC"
3VcPRHYAAAAJ,Wuj4gxoAAAAJ,gladys vidal,"Professor, Environmental Sience Faculty & EULA-Chile Center. Universidad de Concepción"
3VcPRHYAAAAJ,j9y8b9YAAAAJ,Maria Julia Amoroso,PROIMI
3VcPRHYAAAAJ,OnzrDoIAAAAJ,Ureta-Zañartu María Soledad,"Dpto Ciencias del Ambiente, Facultad de Química y Biología USACh"
3VcPRHYAAAAJ,V4XPplAAAAAJ,Nelson Lima,"CEB, Biological Engineering Centre, Minho University"
3VcPRHYAAAAJ,IeQOCjoAAAAJ,Dimitrios Karpouzas,"Associate Prof. Environmental Microbiology and Biotechnology, University of Thessaly"
mb_L_nwAAAAJ,r2RJt9IAAAAJ,Daniel Menezes-Blackburn,"Department of Soils, Water and Agricultural Engineering,  CAMS, SQU (Oman)"
mb_L_nwAAAAJ,hysL_o4AAAAJ,Carlos Riquelme,Universidad de Antofagasta Chile
mb_L_nwAAAAJ,wdH7UekAAAAJ,"Rengel, Zed",The University of Western Australia
mb_L_nwAAAAJ,swJMQBgAAAAJ,Alan E Richardson,CSIRO Agriculture & Food
mb_L_nwAAAAJ,dQVRZlEAAAAJ,Dr. Vinod Kumar,"CCS Haryana Agricultural University, Hisar, INDIA"
mb_L_nwAAAAJ,loLH1lQAAAAJ,Dr Shaharoona,California Department of Food and Agriculture
mb_L_nwAAAAJ,KEVe6N4AAAAJ,Surinder Saggar,"Senior Scientist, Land Use  & Ecosystems"
mb_L_nwAAAAJ,1KqHoEQAAAAJ,Andrés I. Ávila,"Centro de Modelación y Computación Científica, Universidad de La Frontera"
mb_L_nwAAAAJ,Jbov_hkAAAAJ,PRASHANT SINGH,"Research Scholar, G B Pant University of Agriculture & Technology"
lo7-Fg4AAAAJ,GNDlGfsAAAAJ,Ricardo Felmer,Universidad de La Frontera
lo7-Fg4AAAAJ,4-XJKDAAAAAJ,PAMELA URIBE CATALAN,"Universidad de La Frontera, Temuco - Chile"
lo7-Fg4AAAAJ,pvSMySsAAAAJ,OSVALDO SEGUNDO MERINO PAINEN,Centro de Excelencia de Biotecnología en Reproducción
lo7-Fg4AAAAJ,EST1ZtEAAAAJ,Ralf Henkel,"Professor of Reproductive Biology, University of the Western Cape"
