scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
pwL_3ukAAAAJ,rWf6oDkAAAAJ,Max Troell,"Beijer Institute, Royal Swedish Academy of Science; Stockholm Resilience Centre …"
pwL_3ukAAAAJ,0V_ugkQAAAAJ,Carolina Camus Torres,"Researcher, Centro i-mar, Universidad de Los Lagos"
pwL_3ukAAAAJ,rdQcyDwAAAAJ,Thierry Chopin,University of New Brunswick
pwL_3ukAAAAJ,O0ZEvrwAAAAJ,"Amir Neori, Ph.D., a Research Fellow of Marine Biology and Aquaculture","Morris Kahn Marine Research Station, Department of Marine Biology. Leon Charney School …"
pwL_3ukAAAAJ,tlr2fqkAAAAJ,Charles Yarish,"Professor of Ecology & Evolutionary Biology, University of Connecticut"
pwL_3ukAAAAJ,Q_FuTD8AAAAJ,Julio A Vásquez,"Prof. Titular Departamento de Biología Marina, Universidad Católica del Norte"
pwL_3ukAAAAJ,X-63wtoAAAAJ,Sandra V. Pereda,Centro i-mar Universidad de Los Lagos
pwL_3ukAAAAJ,a6cSVp4AAAAJ,Juan A. Correa,"Professor Departamento de Ecología, Facultad de Ciencias Biológicas, Pontificia …"
pwL_3ukAAAAJ,8e8yNDoAAAAJ,Isabel Sousa Pinto,"Centre for Marine and Environmental Research and FCUP, University of Porto"
pwL_3ukAAAAJ,jI8ORYEAAAAJ,Alonso Vega Reyes,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte
pwL_3ukAAAAJ,aWsv7hUAAAAJ,Michael H Graham,"Professor of Marine Ecology, Moss Landing Marine Labs"
pwL_3ukAAAAJ,2Va4AUEAAAAJ,George P. Kraemer,Purchase College (SUNY)
pwL_3ukAAAAJ,zl6IebwAAAAJ,Javier Infante Rosselot,Patagonia Seaweeds SpA.
pwL_3ukAAAAJ,fYcWbSwAAAAJ,Luis Filun Villablanca,Universidad de Los Lagos
pwL_3ukAAAAJ,SUa9XUYAAAAJ,Dane Klinger,Stanford University
pwL_3ukAAAAJ,Tgosdx4AAAAJ,Shawn Robinson,Scientist at Fisheries and Oceans Canada
pwL_3ukAAAAJ,h07etS4AAAAJ,Sylvain Faugeron,Pontificia Universidad Catolica de Chile
pwL_3ukAAAAJ,-r4W6-QAAAAJ,Jose A. Zertuche-Gonzalez,PROFESOR DE BOTANICA MARINA
pwL_3ukAAAAJ,gbLAY8sAAAAJ,Christopher D Neefus,"Professor of Plant Biology, University of New Hampshire"
pwL_3ukAAAAJ,24VmCxwAAAAJ,Pamela A. Fernández,"centro i-mar, Universidad de Los Lagos"
pwL_3ukAAAAJ,aQIdT6YAAAAJ,Martha Hengst,Universidad Católica del Norte
