scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
Auy6bPcAAAAJ,45VmLhAAAAAJ,david bromwich,"Professor of Geography, Ohio State University "
Auy6bPcAAAAJ,epaC64oAAAAJ,Raul R. Cordero Carrasco,
Auy6bPcAAAAJ,EWEXBMIAAAAJ,Alessandro Damiani,
Auy6bPcAAAAJ,SqIBtpoAAAAJ,Georg Kaser,"Professor i.R. für Klima und Kryosphärenforschung, Universität Innsbruck"
Auy6bPcAAAAJ,ANPRUlQAAAAJ,Philip Mote,"Vice Provost and Dean of the Graduate School, Oregon State University"
Auy6bPcAAAAJ,WrJapmUAAAAJ,Peter Lemke,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research"
Auy6bPcAAAAJ,IEEkR3gAAAAJ,Eric Rignot,"Department of Earth System Science, University of California Irvine"
Auy6bPcAAAAJ,lCRxvb0AAAAJ,David Vaughan,British Antarctic Survey
Auy6bPcAAAAJ,OtzTNwkAAAAJ,Ron Kwok,"Applied Physics Lab, University of Washington"
Auy6bPcAAAAJ,1GIeOdEAAAAJ,Gustavo Olivares,"Air Quality Scientist, National Institute of Water and Atmospheric Research"
oOGdikAAAAAJ,my-JKiQAAAAJ,Claudio Latorre,"Professor, Departamento de Ecología, Pontificia Universidad Católica de Chile"
oOGdikAAAAAJ,Tt9_KS4AAAAJ,Pierre Sabatier,"Lecturer in Earth Sciences, Laboratoire EDYTEM - UMR 5204 - Université de Savoie"
oOGdikAAAAAJ,PR928gIAAAAJ,Daniel M. Sigman,"Dusenbury Professor of Geological and Geophysical Sciences, Princeton University"
oOGdikAAAAAJ,X8Vr2BwAAAAJ,Andrés Holz,"Associate Professor, Department of Geography, Portland State University"
qPpX7jgAAAAJ,tTMtjNUAAAAJ,Patricio I. Moreno,Universidad de Chile
qPpX7jgAAAAJ,2BTxUj4AAAAJ,Jean-Pierre Francois,"Departamento de Ciencias Geográficas, Universidad de Playa Ancha"
qPpX7jgAAAAJ,MLyJqq4AAAAJ,Christopher M. Moy,"Associate Professor, Geology Department, University of Otago"
qPpX7jgAAAAJ,Abd-0bQAAAAJ,ESTEBAN SAGREDO,
qPpX7jgAAAAJ,P2AY7oEAAAAJ,Robert B. Dunbar,"Keck Professor of Earth Sciences, Stanford University"
qPpX7jgAAAAJ,oOGdikAAAAAJ,Ricardo De Pol-Holz,"Centro de Investigación GAIA-Antártica (CIGA), Universidad de Magallanes"
qPpX7jgAAAAJ,uPQmef4AAAAJ,Antonio Maldonado,CEAZA
qPpX7jgAAAAJ,my-JKiQAAAAJ,Claudio Latorre,"Professor, Departamento de Ecología, Pontificia Universidad Católica de Chile"
qPpX7jgAAAAJ,slfQrd0AAAAJ,maisa rojas,Universidad de Chile
qPpX7jgAAAAJ,Li7lgskAAAAJ,Juan Carlos Aravena,Universidad de Magallanes
qPpX7jgAAAAJ,oVQU3ToAAAAJ,Blas L. Valero Garcés,"Research Professor, Pyrenean Institute of Ecology, Spanish National Research Council"
qPpX7jgAAAAJ,kYToqLcAAAAJ,Mario Pino,UNIVERSIDAD AUSTRAL DE CHILE
qPpX7jgAAAAJ,W4uku38AAAAJ,Macarena L. Cárdenas,Earthwatch Europe
qPpX7jgAAAAJ,XNYtQyUAAAAJ,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile"
qPpX7jgAAAAJ,JO_ltQoAAAAJ,Sven N. Nielsen,"Full Professor of Paleontology and Historical Geology, Universidad Austral de Chile"
qPpX7jgAAAAJ,JpmK018AAAAJ,Daniel Ariztegui,"Professor, University of Geneva"
SvAEiwsAAAAJ,B5jnLdYAAAAJ,Jimena Torres,Universidad de Magallanes
SvAEiwsAAAAJ,_AVEpIoAAAAJ,Robert McCulloch,Centro de Investigación en Ecosistemas de la Patagonia
SvAEiwsAAAAJ,s4TCF_gAAAAJ,Manuel Arroyo-Kalin,Associate Professor
SvAEiwsAAAAJ,8jkdO00AAAAJ,C. A. Mansilla,Universidad de Magallanes
SvAEiwsAAAAJ,zRbDZTwAAAAJ,Rodolfo M. SALAS-GISMONDI,"Researcher, PalEo-V Lab, Universidad Peruana Cayetano Heredia, Lima, Perú"
SvAEiwsAAAAJ,zSlox0oAAAAJ,Ludovic Orlando,"Centre for Anthropobiology & Genomics of Toulouse, CNRS/Univ Paul Sabatier"
SvAEiwsAAAAJ,MEspMVsAAAAJ,Alan Cooper,BlueSkyGenetics
SvAEiwsAAAAJ,mBW7bZMAAAAJ,Jessica L. Metcalf,"Associate Professor, Colorado State University, Fort Collins, CO"
SvAEiwsAAAAJ,bz5xd4cAAAAJ,Arleen Garcia-Herbst,"Principal Archaeologist, Spindrift Archaeological Consulting"
SvAEiwsAAAAJ,oOGdikAAAAAJ,Ricardo De Pol-Holz,"Centro de Investigación GAIA-Antártica (CIGA), Universidad de Magallanes"
