scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
v3jx2KQAAAAJ,jzt0JowAAAAJ,Marco A. Molina-Montenegro,Full Professor
v3jx2KQAAAAJ,nd_c5D8AAAAJ,claudio bonghi,"associate professor, University of Padova"
v3jx2KQAAAAJ,tJbvaqMAAAAJ,Livio Trainotti,University of Padua
v3jx2KQAAAAJ,htlQDikAAAAJ,Ann Callahan,"Research Geneticist, USDA-ARS, Appalachian Fruit Research Station"
v3jx2KQAAAAJ,W1PO3esAAAAJ,Chris Dardick,USDA ARS Appalachian Fruit Research Station
2KDirZQAAAAJ,7cR6uVQAAAAJ,Pedro Buc Calderon,université catholique de Louvain
sjoUeIcAAAAJ,8qmxol8AAAAJ,Ricard Marcos,Universitat Autonoma de Barcelona
sjoUeIcAAAAJ,iX50-m4AAAAJ,G. Recio-Sánchez,Universidad de San sebastián
sjoUeIcAAAAJ,_jPlxJUAAAAJ,Jorge Parodi,Tonalli ltda
sjoUeIcAAAAJ,OjoSgUYAAAAJ,MARJORIE MARIANELA REYES DIAZ,"Profesor, Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera"
sjoUeIcAAAAJ,MM0fzDkAAAAJ,Ricardo Tighe-Neira,"Ingeniero Agrónomo, Universidad Católica de Temuco"
sjoUeIcAAAAJ,wdH7UekAAAAJ,"Rengel, Zed",The University of Western Australia
sjoUeIcAAAAJ,up7dV9YAAAAJ,FELIPE CAREVIC,Universidad Arturo Prat
sjoUeIcAAAAJ,r74Km1YAAAAJ,Laura Rubio,Universitat Autònoma de Barcelona (UAB)
sjoUeIcAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo, Chile"
sjoUeIcAAAAJ,f9J2-zsAAAAJ,Allisson Astuya Villalón,Universidad de Concepción
sjoUeIcAAAAJ,COYUI04AAAAJ,"Elk Kossatz, PhD",IMIM-Hospital del Mar Research Institute
sjoUeIcAAAAJ,QQDQF20AAAAJ,Wilser Andrés García Quispes,"Docente Auxiliar, Universidad Nacional Mayor de San Marcos"
sjoUeIcAAAAJ,gEXTESQAAAAJ,Hector Pesenti,Universidad Católica de Temuco
sjoUeIcAAAAJ,2CzDBjIAAAAJ,Jacobo Hernandez-Montelongo,
dpu22_gAAAAJ,siGiupwAAAAJ,Leonel Rojo,PROFESSOR UNIVERSIDAD DE SANTIAGO DE CHILE
dpu22_gAAAAJ,up7dV9YAAAAJ,FELIPE CAREVIC,Universidad Arturo Prat
dpu22_gAAAAJ,Y-KJRwoAAAAJ,Philip W. Rundel,"Ecology and Evolutionary Biology, University of California"
dpu22_gAAAAJ,rzsW90EAAAAJ,Harold Mooney,"Professor of Biology Emeritus,  Stanford University"
dpu22_gAAAAJ,90FEwyoAAAAJ,James Ehleringer,University of Utah
qRDjOuYAAAAJ,pLQd6tQAAAAJ,Luis A. Cubillos,Universidad de Concepción
