scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
qUMntLgAAAAJ,uEJ-9rMAAAAJ,Derek Lovley,"University of Massachusetts-Amherst USA and Northeastern University, Shenyang, China"
qUMntLgAAAAJ,QVlArfAAAAAJ,Ludovic Giloteaux,"Research Associate, Cornell University"
qUMntLgAAAAJ,Ra-Y6WgAAAAJ,Amelia-Elena Rotaru,"Professor of Microbial Physiology & Biochemistry, University of Southern Denmark"
qUMntLgAAAAJ,9a6pYC4AAAAJ,Ashley Franks,"Department of Microbiology, La Trobe University"
qUMntLgAAAAJ,FYM9qOsAAAAJ,Kelly Nevin,University of Massachusetts Amherst
qUMntLgAAAAJ,pWQGJWEAAAAJ,Philip E. Long,Lawrence Berkeley National Laboratory
qUMntLgAAAAJ,IuorTJ0AAAAJ,Michael Wilkins,Colorado State University
tU0-kcwAAAAJ,DD-JMw4AAAAJ,Gustavo Chiang,"Universidad Andrés Bello, Facultad de Ciencias de la Vida, Departamento de Ecología y Biodiversidad"
tU0-kcwAAAAJ,guvQyH8AAAAJ,Kelly Munkittrick,University of Calgary
tU0-kcwAAAAJ,IL5BaR0AAAAJ,Christopher Martyniuk,University of Florida
tU0-kcwAAAAJ,s4LktlMAAAAJ,Winfred E. Espejo Contreras,Universidad de Concepción
tU0-kcwAAAAJ,L0UwGEgAAAAJ,Mark McMaster,Environment Canada
tU0-kcwAAAAJ,jAOsN6IAAAAJ,JOSE ENRIQUE CELIS HIDALGO,Universidad de Concepcion
tU0-kcwAAAAJ,AAMayFIAAAAJ,Ricardo O. Barra,"Professor, University of Concepcion, Faculty of Environmental Sciences and EULA CHILE Centre"
tU0-kcwAAAAJ,RifBHIsAAAAJ,Karen A Kidd,"Jarislowsky Chair in Environment and Health & Professor, Biology, McMaster University"
tU0-kcwAAAAJ,1lb5Y_AAAAAJ,Rodrigo Orrego PhD.,"University of Antofagasta, Chile."
tU0-kcwAAAAJ,HPiUBjkAAAAJ,Ana M Garcia-Cegarra,"PhD, Instituto de Ciencias Naturales Alexander von Humboldt, Facultad de Ciencias del Mar y Recursos"
tU0-kcwAAAAJ,IUOwXXwAAAAJ,Nelson J O'Driscoll,Department of Earth and Environmental Science; Acadia University
n1qKMYwAAAAJ,rM8qFkwAAAAJ,Dominik Hartmann,"Federal University of Santa Catarina (UFSC), Department of Economics and International Relations"
