scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
vjUabgsAAAAJ,C_DBAdcAAAAJ,Kenneth Ikechukwu Ozoemena,Research Professor & SARChI Chair: University of the Witwatersrand
vjUabgsAAAAJ,dG2WqtgAAAAJ,Maritza Paez,UNIVERSIDAD DE SANTIAGO DE CHILE
vjUabgsAAAAJ,YYOj1q0AAAAJ,Bedioui Fethi,"Directeur de recherche, CNRS"
vjUabgsAAAAJ,QUpAXHcAAAAJ,Tebello Nyokong,"Professor of Chemistry, Rhodes University"
vjUabgsAAAAJ,HilfBwMAAAAJ,Jorge Pavez,"Materials Chemistry Department, Universidad de Santiago de Chile"
vjUabgsAAAAJ,DK0NF-YAAAAJ,Prof Mkhulu Mathe,Unisa - CSET
vjUabgsAAAAJ,RPH9EHYAAAAJ,Gloria Cardenas-Jiron,"Universidad de Santiago de Chile, Faculty of Chemistry and Biology"
vjUabgsAAAAJ,Jap3tXYAAAAJ,Juan Costamagna,Profesor de Química 
vjUabgsAAAAJ,uPiDtIAAAAAJ,Bolade Agboola,"Associate Professor of Chemistry, American University of Nigeria"
vjUabgsAAAAJ,u2dxUjsAAAAJ,F Javier Recio,Universidad Autónoma de Madrid
vjUabgsAAAAJ,H69T0x8AAAAJ,Federico Tasca,"Associate Professor, Universidad de Santiago de Chile"
vjUabgsAAAAJ,S7oAfJQAAAAJ,Ingrid Ponce,Universidad de Santiago de Chile
vjUabgsAAAAJ,gfEYw3YAAAAJ,Ricardo Venegas,Universidad de Santiago de Chile
vjUabgsAAAAJ,OnzrDoIAAAAJ,Ureta-Zañartu María Soledad,"Dpto Ciencias del Ambiente, Facultad de Química y Biología USACh"
vjUabgsAAAAJ,5ZV73tgAAAAJ,Abolanle S Adekunle,"Department of Chemistry, Obafemi Awolowo University, Ile-Ife, Nigeria"
vjUabgsAAAAJ,GxlMz4IAAAAJ,Kumar Raju,University of Cambridge
vjUabgsAAAAJ,dFGxB8EAAAAJ,JF Marco,"Instituto de Química-Física ""Rocasolano"""
