scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
TcfgAAMAAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,"Professor of Physics and Astronomy, Vanderbilt University"
TcfgAAMAAAAJ,ZOSXByoAAAAJ,Gabriel A. P. Franco,"Departamento de Fisica, ICEx, UFMG"
TcfgAAMAAAAJ,bdl7BsgAAAAJ,Jacques Lepine,"Professor of Astronomy, University of Sao Paulo"
TcfgAAMAAAAJ,5OP39wwAAAAJ,Roberto Ortiz,"Professor de Astronomia, Universidade de São Paulo"
TcfgAAMAAAAJ,SIUFK0kAAAAJ,Alberto Rodríguez-Ardila,Laboratório Nacional de Astrofísica
TcfgAAMAAAAJ,iG_BJ8cAAAAJ,Diego Falceta-Gonçalves,Full Professor at the University of São Paulo
TcfgAAMAAAAJ,5U4toWkAAAAJ,Benoit Neichel,Laboratoire d'Astrophysique de Marseille
FcH8Zc8AAAAJ,kXhEFMkAAAAJ,Domingo Anibal Garcia Hernandez,"Científico Titular, Instituto de Astrofísica de Canarias, Universidad de La Laguna"
FcH8Zc8AAAAJ,IP0KMQwAAAAJ,José G. Fernández-Trincado,Universidad Católica del Norte (Chile)
FcH8Zc8AAAAJ,36p6QzkAAAAJ,David R. Law,STScI
FcH8Zc8AAAAJ,Yr5IIFEAAAAJ,Joel R. Brownstein,University of Utah
FcH8Zc8AAAAJ,A49XqFYAAAAJ,Carlos G. Román-Zúñiga,"Investigador Titular, Instituto de Astronomía, Universidad Nacional Autónoma de México"
FcH8Zc8AAAAJ,nQ_TNGwAAAAJ,Keivan G. Stassun,"Professor of Physics and Astronomy, Vanderbilt University"
FcH8Zc8AAAAJ,wLhyxFAAAAAJ,Renbin Yan,The Chinese University of Hong Kong
tuNjt5gAAAAJ,4Ip8XzkAAAAJ,Laura Pentericci,INAF
tuNjt5gAAAAJ,HuG4B4oAAAAJ,Nimish P. Hathi,Space Telescope Science Institute (STScI)
tuNjt5gAAAAJ,mq6cQ3QAAAAJ,Anton M. Koekemoer,Space Telescope Science Institute
tuNjt5gAAAAJ,PQyB-zEAAAAJ,Jose M. Vilchez,"Research Professor - Instituto de Astrofisica de Andalucia (CSIC, Spain)"
tuNjt5gAAAAJ,QOn-wRYAAAAJ,Lucia Guaita,Universidad Andres Bello
tuNjt5gAAAAJ,o0z1qgQAAAAJ,Fergus Cullen,"Postdoctoral Associate, University of Edinburgh"
tuNjt5gAAAAJ,XWDJxcAAAAAJ,Sandro Bardelli,INAF-Osservatorio di Astrofisica e Scienza dello Spazio
