scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
X5xPjmkAAAAJ,-sul52cAAAAJ,Leopoldo García Franquelo,"Professor Dept. of Electronics Engineering, Universidad de Sevilla (University of Seville) …"
X5xPjmkAAAAJ,c9ql-BAAAAAJ,Marcelo A. Perez,Universidad Tecnica Federico Santa Maria
X5xPjmkAAAAJ,3itZwbsAAAAJ,Patricio Cortes,"Universidad Tecnica Federico Santa Maria, Chile"
X5xPjmkAAAAJ,7kF1RSMAAAAJ,Sebastian Rivera,Technische Universiteit Delft
X5xPjmkAAAAJ,9WeLp14AAAAJ,Venkata Yaramasu,"Associate Professor of Electrical Engineering, SICCS, Northern Arizona University, Flagstaff …"
X5xPjmkAAAAJ,h9hPvFMAAAAJ,Sergio Vazquez,Associate Professor (Universidad de Sevilla)
X5xPjmkAAAAJ,nv4fvLcAAAAJ,Mariusz Malinowski,Warsaw University of Technology (Politechnika Warszawska)
X5xPjmkAAAAJ,U1_r_C4AAAAJ,Christian Rojas,Universidad Tecnica Federico Santa Maria
X5xPjmkAAAAJ,-m31jK4AAAAJ,Ramon Portillo,Universidad de Sevilla
X5xPjmkAAAAJ,I2XhAOsAAAAJ,Navid Zargari,Rockwell Automation
X5xPjmkAAAAJ,w2atQtwAAAAJ,Dmitri Vinnikov,"Research Professor, Head of Power Electronics Group at TalTech, IEEE Fellow"
X5xPjmkAAAAJ,iAaZ5igAAAAJ,MEYNARD Thierry,Laboratoire LAPLACE - Université de Toulouse
X5xPjmkAAAAJ,uQ16sMcAAAAJ,Ricardo Lizana,Universidad Catolica de la Santisima Concepción
X5xPjmkAAAAJ,DevuWQQAAAAJ,Salvador Alepuz,Tecnocampus Mataró-Maresme (Universitat Pompeu Fabra)
X5xPjmkAAAAJ,TnbzESMAAAAJ,Maria Angeles Martin Prats,Associate Professor at University of Seville (Spain)
X5xPjmkAAAAJ,gggnQKsAAAAJ,Haithem Abu-Rub,"Professor, IEEE Fellow"
X5xPjmkAAAAJ,ImrRuDsAAAAJ,Pablo Lezana,Universidad Técnica Federico Santa Maria
X5xPjmkAAAAJ,04ViXpUAAAAJ,Nicolás Müller,"Assistant Professor, Universidad Austral de Chile"
X5xPjmkAAAAJ,zvLGLNgAAAAJ,Jaime Zapata Amores,Infineon Technologies
X5xPjmkAAAAJ,nTjCGdsAAAAJ,Josep Pou,Nanyang Technological University
X5xPjmkAAAAJ,onKbDaIAAAAJ,Margarita Norambuena,"Research-Professor, Universidad Tecnica Federico Santa Maria"
X5xPjmkAAAAJ,-0gRNgsAAAAJ,Cesar Silva,"Departamento de Electrónica, Universidad Técnica Federico Santa María, Chile"
X5xPjmkAAAAJ,innpWecAAAAJ,Freddy Flores-Bahamonde,Assistant Professor at Universidad Andrés Bello
X5xPjmkAAAAJ,0pPswyQAAAAJ,Apparao Dekka,"Assistant Professor, Lakehead University, Thunder Bay, Canada"
X5xPjmkAAAAJ,Ki0RnYIAAAAJ,Mario Duran,Universidad de Malaga
X5xPjmkAAAAJ,22sNqagAAAAJ,Gopakumar K,"Professor, Indian Institute of Science"
X5xPjmkAAAAJ,M-z9y1gAAAAJ,Mokhtar Aly,"Faculty of Engineering, Aswan University, 81542 Aswan, Egypt"
X5xPjmkAAAAJ,j-jb_N4AAAAJ,Juan Manuel Carrasco Solís,"Profesor Ingeniería Electrónica, Universidad de Sevilla"
