scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
J3Durw8AAAAJ,pSY7g_YAAAAJ,Alfredo Guillermo Criollo,"Research Institute of Dental Science  Faculty of Dentistry, University of Chile"
J3Durw8AAAAJ,OU05Q_MAAAAJ,Guido Kroemer,"Université de Paris Cité, Hôpital Européen George Pompidou - AP-HP, Gustave Roussy Cancer Campus"
J3Durw8AAAAJ,UmxSTswAAAAJ,Lorenzo Galluzzi,Weill Cornell Medical College
J3Durw8AAAAJ,sb3J6p4AAAAJ,Oliver Kepp,INSERM UMR1138 / Gustave Roussy Cancer Center
J3Durw8AAAAJ,afQKKl8AAAAJ,Nektarios Tavernarakis,"Professor, Medical School, University of Crete & IMBB - FORTH"
J3Durw8AAAAJ,ufyJPQ0AAAAJ,Guillermo Mariño,University of Oviedo
J3Durw8AAAAJ,a-R0vSQAAAAJ,Shensi Shen,CNRS
J3Durw8AAAAJ,IR_E41QAAAAJ,Nicolas Tajeddine,Université catholique de Louvain
J3Durw8AAAAJ,QYyrxzsAAAAJ,Laurence Zitvogel,"Institut Gustave Roussy, Université de Paris Saclay, INSERM"
J3Durw8AAAAJ,RQhN_XEAAAAJ,Antoine Tesniere,"Université Paris Descartes, iLumens"
J3Durw8AAAAJ,vhxTSrUAAAAJ,Thierry soussi,Professor of Molecular Biology
J3Durw8AAAAJ,KEQb4vkAAAAJ,Tobias Eisenberg,"Associate Professor, University of Graz"
J3Durw8AAAAJ,2IUWCD8AAAAJ,Michael Neinast,Princeton University
J3Durw8AAAAJ,DoF46k8AAAAJ,Matthias Tschöp,Helmholtz Zentrum München
J3Durw8AAAAJ,Siwb1J4AAAAJ,Philippe Hupé,Institut Curie
J3Durw8AAAAJ,2WqWPMoAAAAJ,Gyorgy Szabadkai,"Professor of Phyisology, University College London; Associate Professor, University of Padua"
J3Durw8AAAAJ,m6Te4qEAAAAJ,Jose M. Fuentes Rodríguez (ORCID: 0...,Universidad de Extremadura (ROR 0174shg90). CIBERNED. D. Bioquimica. Fac. Enfermeria. Cáceres SPAIN
J3Durw8AAAAJ,YiJyXtYAAAAJ,Andrew V. Jones,"Vector Software, Inc."
cE4i7RwAAAAJ,Svu2s9AAAAAJ,Andrea Soza,Universidad San Sebastián
cE4i7RwAAAAJ,5Z6nbs0AAAAJ,Alfonso González,Facultad de Medicina y Ciencia. Universidad San Sebastián
cE4i7RwAAAAJ,IABqgksAAAAJ,María Isabel Yuseff,P. Universidad Catolica de Chile
cE4i7RwAAAAJ,OXIu3owAAAAJ,Alfredo Caceres,INIMEC CONICET
cE4i7RwAAAAJ,9QHKQMMAAAAJ,María Paz Marzolo,"Profesor Titular, Facultad de Ciencias Biológicas, Pontificia Universidad Católica de Chile"
cE4i7RwAAAAJ,gxXlprUAAAAJ,Gonzalo Cordova,Springer Nature editor in Biomedicine
cE4i7RwAAAAJ,kKBp14AAAAAJ,Carolina Otero,Associate Professor
RnMVg4QAAAAJ,Ep523tAAAAAJ,"Emmanuel Rotimi Sadiku, BSc (Hons.), PhD, FPIN, FMSN, Pr. Nat. Sci.","Prof. of Polymer Science, Tshwane University of Technology, South Africa"
RnMVg4QAAAAJ,pEFA170AAAAJ,Tippabattini Jayaramudu,"UofMemphis, CMPW PAN, Universidad de Talca, Inha University, TUT, SK University"
RnMVg4QAAAAJ,p8k7iq0AAAAJ,Murali Yallapu,"Associate Professor, University of Texas Rio Grande Valley"
RnMVg4QAAAAJ,Aibb0JwAAAAJ,Jayaramudu Jarugala,"Principal Scientist,CSIR North East Institute of Science and Technology"
RnMVg4QAAAAJ,YH-65CcAAAAJ,Sreedhar Bojja,"Chief Scientist, CSIR-Indian Institute of Chemical Technology"
RnMVg4QAAAAJ,gMOfcHcAAAAJ,SJ Owonubi,SARChI Research Fellow
RnMVg4QAAAAJ,v8FeGAgAAAAJ,Patricio Oyarzún,"Director de Investigación, Facultad de Ingeniería y Tecnología, Universidad San Sebastián"
RnMVg4QAAAAJ,4Q3wGgMAAAAJ,Amalraj John,"Professor, Institute of Chemistry, Universidad de Talca"
RnMVg4QAAAAJ,McpBBXgAAAAJ,MANGALARAJA Ramalinga Viswanathan,"Professor of Materials Science and Engineering, University of Adolfo Ibanez, Santiago …"
RnMVg4QAAAAJ,2gI4XwcAAAAJ,Ali Akbari-Fakhrabadi,"Advanced Materials Laboratory (AmLab), Department of Mechanical Engineering,University …"
RnMVg4QAAAAJ,-_n7774AAAAJ,K. Koteshwara Reddy,IdentifySensors Biologics
RnMVg4QAAAAJ,_KczDL0AAAAJ,Radha Devi pyarasani,"Assistant professor, universidad catolica del maule,Talca,Chile"
RnMVg4QAAAAJ,mk5cmTAAAAAJ,Dr. AS HAJA HAMEED,"Associate Professor, Jamal Mohamed College, DST-SERB Young Scientist,"
RnMVg4QAAAAJ,OJq9hUAAAAAJ,Oluranti Agboola,Covenant University
RnMVg4QAAAAJ,wa34c6EAAAAJ,Victoria Oluwaseun Fasiku,"University of The Free State, South Africa"
RnMVg4QAAAAJ,mf7nwusAAAAJ,Juliano Denardin,Universidad de Santiago
