scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
Uc0yu3EAAAAJ,1l57nMQAAAAJ,Jiaqian Qin,"Metallurgy and Materials Science Research Institute, Chulalongkorn University"
Uc0yu3EAAAAJ,vSRsxk4AAAAJ,Tuan K. A. Hoang,"Senior Researcher, Hydro-Québec Research Institute"
Uc0yu3EAAAAJ,XlulJR0AAAAJ,Professor Ir Ts Dr Pau-Loke Show,"Khalifa University, Abu Dhabi, UAE; University of Nottingham, Malaysia"
Uc0yu3EAAAAJ,awbKaREAAAAJ,Aishah Abdul Jalil,Professor Dr.
Uc0yu3EAAAAJ,ouWAEXAAAAAJ,Rabah Boukherroub,CNRS & University Lille1
Uc0yu3EAAAAJ,Z9D4CQgAAAAJ,Dionysios (Dion) D. Dionysiou,University of Cincinnati
Uc0yu3EAAAAJ,Ekm_G-0AAAAJ,Lalitha Gnanasekaran,"Universidad De Tarapaca, Arica, Chile"
oaqR2GoAAAAJ,t8hdQjYAAAAJ,Calogero M. Santoro,Universidad de Tarapaca
oaqR2GoAAAAJ,Ba79q50AAAAJ,Siân E. Halcrow,University of Otago
oaqR2GoAAAAJ,DexghF0AAAAJ,Jane E. Buikstra,"Professor of Bioarchaeology, School of Human Evolution and Social Change, Arizona State University"
oaqR2GoAAAAJ,3LFRpqYAAAAJ,M Thomas P Gilbert,University of Copenhagen
oaqR2GoAAAAJ,E_DHqIcAAAAJ,Felipe  Guhl,Universidad de los Andes  CIMPAT
oaqR2GoAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
oaqR2GoAAAAJ,vuwDboYAAAAJ,Adauto Araujo,"Researcher, Escola Nacional de Saude Publica, Fundação Oswaldo Cruz"
oaqR2GoAAAAJ,Qu0U_LkAAAAJ,Iván Muñoz Ovalle,Universidad de Tarapacá
oaqR2GoAAAAJ,dTtnOeYAAAAJ,Jorge Yañez,University of Concepcion
oaqR2GoAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Pontificia Universidad Católica de Chile
oaqR2GoAAAAJ,4fjf1H4AAAAJ,Sam Byrne,Asst. Professor: Middlebury College
oaqR2GoAAAAJ,UA5erHEAAAAJ,Francisco Rothhammer,"Professor of Population Genetics, University of Tarapaca and University of Chile"
t8hdQjYAAAAJ,my-JKiQAAAAJ,Claudio Latorre,"Professor, Departamento de Ecología, Pontificia Universidad Católica de Chile"
t8hdQjYAAAAJ,HPpN_m8AAAAJ,Daniela Valenzuela,Full Professor at Universidad de Tarapacá; Adjunct Graduate Faculty Member at Trent University
t8hdQjYAAAAJ,B0JgDB4AAAAJ,Pablo A. Marquet,"Professor of Ecology, Pontificia Universidad Catolica de Chile & The Santa Fe Institute"
t8hdQjYAAAAJ,rFmauuwAAAAJ,Marcela Sepulveda Retamal,Pontificia Universidad Católica de Chile
t8hdQjYAAAAJ,_eK_f0UAAAAJ,Donald Jackson,"Departamento Antropología, Universidad de Chile"
t8hdQjYAAAAJ,qwmY4R4AAAAJ,Jorge Hidalgo Lehuedé,"Profesor, Departamento de Ciencias Históricas, Universidad de Chile"
ATFF7ikAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile)
ATFF7ikAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca
ATFF7ikAAAAJ,TX3te0QAAAAJ,Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile"
ATFF7ikAAAAJ,8yWzaaAAAAAJ,Nancy Alarcon Henríquez,Universidad de Los Lagos
ATFF7ikAAAAJ,b6DDNIoAAAAJ,Patricio Viancos González,Universidad de Tarapacá
ATFF7ikAAAAJ,xoykbToAAAAJ,Wendolin Suarez-Amaya,Universidad Tecnológica Metropolitana
ATFF7ikAAAAJ,GF_IzmgAAAAJ,Adolfo Ignacio Calderón,Professor titular  do Programa de Pós-graduação em Educação da PUC-Campinas
OSSLHcAAAAAJ,FgEMtxQAAAAJ,Liliana Pedraja Rejas,Profesora Titular Universidad de Tarapaca
OSSLHcAAAAAJ,zak53CYAAAAJ,Juan Jesus Rodriguez,"Staff Profesional, Universidad de Tarapacá"
OSSLHcAAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
OSSLHcAAAAAJ,_mR2Ky8AAAAJ,carmen araneda guirriman,Universidad de Tarapacá
OSSLHcAAAAAJ,OjP1gWgAAAAJ,Nicolas Fleet,"Departamento de Sociología, Universidad Alberto Hurtado"
OSSLHcAAAAAJ,hp4_Yu0AAAAJ,Andres Bernasconi,"Facultad de Educación, Pontificia Universidad Católica de Chile"
OSSLHcAAAAAJ,v4UCYN8AAAAJ,Hector Gaete-Feres,Universidad del Bío-Bío
9SvW7BUAAAAJ,0CDmtxAAAAAJ,Noel McGinn,"Professor Emeritus, Harvard University Graduate School of Education"
9SvW7BUAAAAJ,WQESPTMAAAAJ,Eduardo Santa Cruz Grau,Universidad Bernardo O' Higgins
9SvW7BUAAAAJ,DXDfvwMAAAAJ,Gustavo Gregorutti,Andrews University 
9SvW7BUAAAAJ,9oV68QsAAAAJ,Maria Jacqueline Rojas Rios,"académica, Universidad de Playa Ancha"
9SvW7BUAAAAJ,s5zIVz8AAAAJ,Maria Luisa Granda,Escuela Superior Politecnica del Litoral
9SvW7BUAAAAJ,aoKFzKgAAAAJ,José Sánchez-Santamaría (Orcid: 000...,Associated Professor. GRIOCE. Universidad de Castilla-La Mancha
9SvW7BUAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile)
9SvW7BUAAAAJ,sjPGq8UAAAAJ,César Tello,Profesor
9SvW7BUAAAAJ,g6LidUcAAAAJ,Boris A. López,"Departamento de Acuicultura y Recursos Agroalimentarios, Universidad de Los Lagos"
9SvW7BUAAAAJ,_dGhO2MAAAAJ,Jorge Gorostiaga,Universidad Nacional de San Martín - CONICET
9SvW7BUAAAAJ,NXWX-aYAAAAJ,Eugenio Rivera Urrutia,Fundación Chile 21
9SvW7BUAAAAJ,I7qlRKMAAAAJ,silvia sarzoza,Universidad de Playa Ancha
9SvW7BUAAAAJ,gUQTwWQAAAAJ,Jefferson Mainardes,Universidade Estadual de Ponta Grossa
FgEMtxQAAAAJ,OSSLHcAAAAAJ,Emilio Rodríguez Ponce,Profesor Titular - Universidad de Tarapacá (Chile)
FgEMtxQAAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
FgEMtxQAAAAJ,OjP1gWgAAAAJ,Nicolas Fleet,"Departamento de Sociología, Universidad Alberto Hurtado"
FgEMtxQAAAAJ,hp4_Yu0AAAAJ,Andres Bernasconi,"Facultad de Educación, Pontificia Universidad Católica de Chile"
p86gQo0AAAAJ,NcYc-y0AAAAJ,María Fernanda Stang,"Centro de Investigación en Ciencias Sociales y Juventud (CISJU), Universidad Silva …"
p86gQo0AAAAJ,HBNt2d8AAAAJ,Menara Guizardi,Instituto de Altos Estudios Sociales - Universidad Nacional de San Martín (Argentina) y …
p86gQo0AAAAJ,3xvKfmYAAAAJ,Herminia Gonzálvez Torralbo,Académica e Investigadora Universidad Central de Chile
p86gQo0AAAAJ,YmRgHnwAAAAJ,Andrea  Riedemann Fuentes,Académica de la Universidad Central
p86gQo0AAAAJ,AOqp3aQAAAAJ,Macarena Bonhomme,"Assistant Professor, Universidad Autónoma de Chile. Investigadora Adjunta COES. PhD in …"
p86gQo0AAAAJ,4q7IDBMAAAAJ,Carolina Ramirez,"Centro de Investigación Social y Juventud (CISJU), Universidad Católica Silva Henríquez"
p86gQo0AAAAJ,ATKDiHsAAAAJ,Bela Feldman-Bianco,"Professora de Antropologia, UNICAMP"
p86gQo0AAAAJ,cKOW8IEAAAAJ,Javier Corvalán,Universidad Alberto Hurtado
p86gQo0AAAAJ,0Uh71HwAAAAJ,Eleonora López Contreras,"Profesora Paradígmas Sociológicos, Pontificia Univesidad Católica de Chile"
p86gQo0AAAAJ,VHq1JT8AAAAJ,Alice Blukacz,PROESSA Universidad del Desarrollo. Chile
p86gQo0AAAAJ,yQQSbZ0AAAAJ,Baltica Cabieses,Prof. Social Epidemiology (UDD); Visiting scholar (UoYork); Board member Lancet Migration …
p86gQo0AAAAJ,FJPZ-FMAAAAJ,Maria Teresa Rojas Fabris,Académica Universidad Alberto Hurtado
p86gQo0AAAAJ,t4S0QNMAAAAJ,Carol Chan,University of Hong Kong
p86gQo0AAAAJ,h_eQpcAAAAAJ,Francisca Márquez Belloni,Universidad Alberto Hurtado
p86gQo0AAAAJ,smN3oyMAAAAJ,ALEXANDRA OBACH,"Profesora asociada, Universidad del Desarrollo"
p86gQo0AAAAJ,0PI5qSEAAAAJ,Alejandra Carreño C.,"PROGRAMA ESTUDIOS SOCIALES EN SALUD, UDD"
p86gQo0AAAAJ,6vlY1ugAAAAJ,Andrea Avaria,Universidad Autónoma de Chile
p86gQo0AAAAJ,lKLort4AAAAJ,Lorena Núñez Carrasco,University of the Witwatersrand
p86gQo0AAAAJ,C1JXrV8AAAAJ,M.Beatriz Fernández,Universidad de Chile
p86gQo0AAAAJ,6g8y44oAAAAJ,Pablo Andrés Astudillo Lizama,"Profesor Departamento de Política Educativa, Universidad Alberto Hurtado"
p86gQo0AAAAJ,COZ6-VIAAAAJ,Paulo Salinas Pérez,Pontificia Universidad Católica de Valparaíso
p86gQo0AAAAJ,agqX9ugAAAAJ,Walter Alejandro Imilan,Universidad Central de Chile
p86gQo0AAAAJ,cX9G2roAAAAJ,Carol Chan,Universidad Mayor
p86gQo0AAAAJ,qWjxAxEAAAAJ,Isabel Rada,Universidad del Desarrollo
